episode,total_reward,loss
1,-331133.0,6552910848.0
2,-354409.0,8634872832.0
3,-331364.0,6426951168.0
4,-317170.0,6341106688.0
5,-308075.0,6263063552.0
6,-364085.0,8895479808.0
7,-336044.0,6623987712.0
8,-314615.0,5496629760.0
9,-327473.0,6581038080.0
10,-329289.0,6587808256.0
11,-347535.0,7422127104.0
12,-350303.0,8217065984.0
13,-317590.0,6054529024.0
14,-358779.0,8284420096.0
15,-322927.0,6319794176.0
16,-305240.0,5504963584.0
17,-328134.0,6363392000.0
18,-336472.0,6727598592.0
19,-337650.0,6873072640.0
20,-350592.0,8124499456.0
21,-334815.0,6839544832.0
22,-320111.0,6606718464.0
23,-363178.0,8338872832.0
24,-354182.0,7635025920.0
25,-325518.0,5982882816.0
26,-354959.0,7858933760.0
27,-297343.0,5427329024.0
28,-321631.0,6133814784.0
29,-305767.0,5552532480.0
30,-305872.0,5966294528.0
31,-339938.0,6818648576.0
32,-350220.0,9022766080.0
33,-342061.0,7861768704.0
34,-307365.0,5569811456.0
35,-312668.0,6097660928.0
36,-331960.0,7045710336.0
37,-330358.0,6663042560.0
38,-327537.0,6087324160.0
39,-354454.0,8431444480.0
40,-353444.0,8181864960.0
41,-321472.0,6642467840.0
42,-326464.0,6159157760.0
43,-336359.0,6899579904.0
44,-316107.0,5964927488.0
45,-329441.0,6585668096.0
46,-320529.0,6551181312.0
47,-350628.0,7920132096.0
48,-347608.0,8072782848.0
49,-342307.0,7580590592.0
50,-363004.0,8565578752.0
51,-328194.0,6885344768.0
52,-340908.0,7243481600.0
53,-306666.0,5499326976.0
54,-348040.0,7384529408.0
55,-316005.0,6247981056.0
56,-360025.0,8747293696.0
57,-303359.0,5617041920.0
58,-305865.0,5946349568.0
59,-324506.0,6060770816.0
60,-352963.0,8145961984.0
61,-374019.0,9733868544.0
62,-318364.0,5903354368.0
63,-304837.0,5492212736.0
64,-343114.0,6916453376.0
65,-335122.0,6309798912.0
66,-332763.0,6971156992.0
67,-356571.0,8490961408.0
68,-288394.0,4732672512.0
69,-307099.0,5687947776.0
70,-346378.0,7330355200.0
71,-344722.0,8486833152.0
72,-350712.0,7439411200.0
73,-306454.0,5670427648.0
74,-300270.0,5720070144.0
75,-286054.0,4535813632.0
76,-292163.0,5228092416.0
77,-314476.0,5821058560.0
78,-322550.0,6441393152.0
79,-336187.0,7793141760.0
80,-282733.0,4570630656.0
81,-308052.0,5193501184.0
82,-298068.0,4618852352.0
83,-320116.0,6083981824.0
84,-325703.0,6495800832.0
85,-337804.0,7081220096.0
86,-314900.0,6280522752.0
87,-295696.0,5082603520.0
88,-363032.0,8705018880.0
89,-314926.0,5801416704.0
90,-317982.0,5657882624.0
91,-313592.0,6154421248.0
92,-336232.0,6561139200.0
93,-343906.0,7879463936.0
94,-302478.0,5260829696.0
95,-297648.0,5833632768.0
96,-318647.0,6821922816.0
97,-344949.0,7195168256.0
98,-320537.0,7233652224.0
99,-326742.0,6586307584.0
100,-299752.0,4998439936.0
101,-321371.0,6409226240.0
102,-315699.0,5821473792.0
103,-320848.0,6259597312.0
104,-318932.0,5913835008.0
105,-310453.0,5805385216.0
106,-330807.0,6925268480.0
107,-317416.0,5823472640.0
108,-321855.0,6323205120.0
109,-298804.0,5383440384.0
110,-324374.0,6194576896.0
111,-307001.0,5462938112.0
112,-326919.0,6705443328.0
113,-316256.0,6281757696.0
114,-287117.0,5145500160.0
115,-306247.0,5665861632.0
116,-317475.0,6047169536.0
117,-302126.0,5723993600.0
118,-329024.0,6404816384.0
119,-309656.0,6146099200.0
120,-297781.0,5257981952.0
121,-326763.0,6337455616.0
122,-312421.0,6281224704.0
123,-303536.0,5926672384.0
124,-308638.0,5627296256.0
125,-325191.0,6299587072.0
126,-282100.0,4780965888.0
127,-306791.0,5653254656.0
128,-321605.0,7120792576.0
129,-330373.0,6430722560.0
130,-363255.0,8176309248.0
131,-332923.0,7193446400.0
132,-326947.0,6481333760.0
133,-327376.0,6508626944.0
134,-327662.0,6339340800.0
135,-284837.0,5206565888.0
136,-320038.0,7038587904.0
137,-306111.0,6296785920.0
138,-319644.0,6459302912.0
139,-284052.0,4671774720.0
140,-324207.0,6788857856.0
141,-306934.0,5796114432.0
142,-301010.0,5178035712.0
143,-286232.0,4555319296.0
144,-289166.0,4738098176.0
145,-305114.0,5864551424.0
146,-308472.0,5943605248.0
147,-292202.0,5296242176.0
148,-301387.0,5327109632.0
149,-321973.0,6361760256.0
150,-307468.0,5406043136.0
151,-335664.0,6818100736.0
152,-316885.0,5368991232.0
153,-303226.0,5317771776.0
154,-336584.0,6515212800.0
155,-280704.0,4618634752.0
156,-290876.0,5284342272.0
157,-314076.0,6318394880.0
158,-300642.0,5042584576.0
159,-275309.0,3993358592.0
160,-260077.0,3767444736.0
161,-245096.0,3058951680.0
162,-1043804.0,81823162368.0
163,-263005.0,3744310272.0
164,-304763.0,5158603264.0
165,-261918.0,3095835392.0
166,-262780.0,3226793728.0
167,-266884.0,3311748096.0
168,-301015.0,5204811264.0
169,-284614.0,4701469184.0
170,-304465.0,5501699584.0
171,-291834.0,4353977344.0
172,-283741.0,4219776768.0
173,-298236.0,4479057408.0
174,-261902.0,3439182848.0
175,-292469.0,4466419712.0
176,-284836.0,4273026560.0
177,-292770.0,4731127296.0
178,-258500.0,3078228224.0
179,-271047.0,3587024384.0
180,-291992.0,4599142400.0
181,-291363.0,4106412032.0
182,-251092.0,2841707008.0
183,-270066.0,3082207744.0
184,-235223.0,2616334336.0
185,-261467.0,3040073984.0
186,-246803.0,2504970752.0
187,-253835.0,2900697600.0
188,-219220.0,1970109056.0
189,-244207.0,2625965824.0
190,-250055.0,2699072000.0
191,-224346.0,2008487296.0
192,-229831.0,2259520512.0
193,-262866.0,3126158080.0
194,-227551.0,1901081856.0
195,-230606.0,2255288832.0
196,-221077.0,1925721216.0
197,-224822.0,2211622656.0
198,-214511.0,1739768832.0
199,-234422.0,2217300992.0
200,-228779.0,1997192064.0
201,-224278.0,2115150720.0
202,-225632.0,1952021888.0
203,-235173.0,2302342144.0
204,-226215.0,2205095936.0
205,-207025.0,1591075968.0
206,-229173.0,2076205312.0
207,-221629.0,1994983680.0
208,-234858.0,2072470400.0
209,-221214.0,1952547456.0
210,-226252.0,2024572544.0
211,-211489.0,1849711744.0
212,-219024.0,1929599616.0
213,-230825.0,2103062912.0
214,-217604.0,1750039168.0
215,-216815.0,1816146304.0
216,-224306.0,1937584512.0
217,-202064.0,1520621952.0
218,-216355.0,1819980160.0
219,-218876.0,1885833600.0
220,-224657.0,1939033344.0
221,-215533.0,1780916608.0
222,-220897.0,1941413120.0
223,-230705.0,2087712000.0
224,-221379.0,1757452288.0
225,-220943.0,1920626048.0
226,-213913.0,1700816256.0
227,-224708.0,1987871488.0
228,-204922.0,1529428096.0
229,-211404.0,1689052544.0
230,-217414.0,1897042048.0
231,-223279.0,1966977024.0
232,-214075.0,1755380480.0
233,-212380.0,1624234496.0
234,-220737.0,1893526528.0
235,-215137.0,1843385088.0
236,-212834.0,1660155392.0
237,-219568.0,1793357568.0
238,-219083.0,1839627520.0
239,-221896.0,1804427648.0
240,-215089.0,1861458048.0
241,-222760.0,1929312000.0
242,-233370.0,2220155392.0
243,-220092.0,1909898368.0
244,-196997.0,1451296256.0
245,-206231.0,1659803392.0
246,-212266.0,1770644224.0
247,-208013.0,1641185536.0
248,-216858.0,1864809216.0
249,-214199.0,1709645312.0
250,-229274.0,1941434112.0
251,-221124.0,1859221760.0
252,-222506.0,1868251520.0
253,-212834.0,1674140416.0
254,-199065.0,1460338816.0
255,-207675.0,1626537344.0
256,-211780.0,1715659008.0
257,-212834.0,1689154944.0
258,-209851.0,1576211456.0
259,-216752.0,1681246848.0
260,-198336.0,1436958976.0
261,-220479.0,1835407616.0
262,-217875.0,1800771840.0
263,-213492.0,1767303808.0
264,-215052.0,1737081984.0
265,-225145.0,1921670656.0
266,-212392.0,1680877184.0
267,-198336.0,1436697088.0
268,-206261.0,1577761408.0
269,-198336.0,1436620032.0
270,-198336.0,1436581120.0
271,-198336.0,1449368448.0
272,-215985.0,1739092224.0
273,-198336.0,1462114432.0
274,-212834.0,1688232192.0
275,-198336.0,1436383488.0
276,-205943.0,1540349568.0
277,-198336.0,1449126784.0
278,-216752.0,1665576448.0
279,-215768.0,1654149632.0
280,-210200.0,1647046272.0
281,-215533.0,1731538432.0
282,-198336.0,1436096512.0
283,-198336.0,1448876544.0
284,-215167.0,1739466368.0
285,-198336.0,1435970048.0
286,-198336.0,1436395392.0
287,-198336.0,1435884288.0
288,-206950.0,1647584000.0
289,-198336.0,1448643328.0
290,-217631.0,1808836864.0
291,-208904.0,1596472320.0
292,-219650.0,1744492160.0
293,-198336.0,1461257600.0
294,-198336.0,1435576832.0
295,-204226.0,1503358464.0
296,-198336.0,1448303744.0
297,-197835.0,1459167872.0
298,-207006.0,1588488576.0
299,-198336.0,1435350144.0
300,-221413.0,1746056448.0
301,-214056.0,1610767232.0
302,-198336.0,1435210880.0
303,-216067.0,1701061632.0
304,-198336.0,1435116928.0
305,-209630.0,1688844032.0
306,-198336.0,1435021696.0
307,-198336.0,1434973952.0
308,-198336.0,1434925568.0
309,-201438.0,1488444288.0
310,-198336.0,1434828416.0
311,-198336.0,1447590144.0
312,-217676.0,1764167168.0
313,-198336.0,1434681088.0
314,-198336.0,1434631296.0
315,-198336.0,1434581248.0
316,-198336.0,1434530944.0
317,-213856.0,1636826624.0
318,-198336.0,1434429568.0
319,-198336.0,1434378624.0
320,-198336.0,1434327424.0
321,-198336.0,1447081856.0
322,-198336.0,1434224000.0
323,-198336.0,1434171904.0
324,-198336.0,1434119552.0
325,-198336.0,1446870912.0
326,-198336.0,1434014080.0
327,-211032.0,1648326144.0
328,-202827.0,1531374464.0
329,-215533.0,1744458496.0
330,-198336.0,1433799808.0
331,-198336.0,1433745536.0
332,-201438.0,1487234048.0
333,-216491.0,1740279040.0
334,-198336.0,1446380928.0
335,-198336.0,1433526016.0
336,-198336.0,1433470464.0
337,-198336.0,1433414528.0
338,-198336.0,1433358464.0
339,-198336.0,1433301888.0
340,-198336.0,1433245312.0
341,-198336.0,1433188608.0
342,-198336.0,1445926912.0
343,-198336.0,1433073664.0
344,-198336.0,1433016064.0
345,-198336.0,1432957952.0
346,-198336.0,1432899840.0
347,-198336.0,1445634048.0
348,-198336.0,1432782080.0
349,-198336.0,1432722944.0
350,-198336.0,1432663424.0
351,-198336.0,1432603904.0
352,-198336.0,1445334272.0
353,-198336.0,1432483328.0
354,-198336.0,1432422912.0
355,-198336.0,1432361984.0
356,-198336.0,1445089152.0
357,-198336.0,1432239360.0
358,-198336.0,1432177920.0
359,-209682.0,1636380928.0
360,-198336.0,1432053504.0
361,-198336.0,1431991040.0
362,-198336.0,1431928064.0
363,-198336.0,1444649472.0
364,-198336.0,1431801600.0
365,-198336.0,1444521344.0
366,-198336.0,1431673856.0
367,-198336.0,1431609472.0
368,-198336.0,1431544832.0
369,-198336.0,1431479936.0
370,-198336.0,1431414784.0
371,-198336.0,1431349248.0
372,-198336.0,1431283584.0
373,-198336.0,1431243008.0
374,-198336.0,1431151104.0
375,-198336.0,1431084544.0
376,-213741.0,1681585024.0
377,-198336.0,1430950272.0
378,-198336.0,1430882816.0
379,-198336.0,1430814976.0
380,-198336.0,1430746880.0
381,-198336.0,1430678528.0
382,-198336.0,1430609536.0
383,-198336.0,1430540544.0
384,-198336.0,1430471296.0
385,-198336.0,1430401664.0
386,-198336.0,1430331648.0
387,-198336.0,1430261504.0
388,-198336.0,1430190848.0
389,-198336.0,1430120192.0
390,-198336.0,1430049024.0
391,-198336.0,1429977344.0
392,-198336.0,1429905664.0
393,-198336.0,1429833728.0
394,-198336.0,1429761280.0
395,-198336.0,1429688576.0
396,-198336.0,1429615616.0
397,-198336.0,1429542272.0
398,-198336.0,1429468672.0
399,-198336.0,1429394944.0
400,-198336.0,1429320448.0
401,-198336.0,1429246208.0
402,-198336.0,1429171200.0
403,-198336.0,1429096064.0
404,-198336.0,1429020672.0
405,-198336.0,1428944896.0
406,-198336.0,1428868864.0
407,-198336.0,1428792320.0
408,-198336.0,1428715520.0
409,-198336.0,1428638720.0
410,-198336.0,1428561152.0
411,-198336.0,1428483584.0
412,-198336.0,1428405504.0
413,-198336.0,1428327168.0
414,-198336.0,1428248576.0
415,-198336.0,1428169728.0
416,-198336.0,1428090368.0
417,-198336.0,1428010752.0
418,-198336.0,1427931008.0
