episode,total_reward,loss
1,-349719.0,7074902016.0
2,-325331.0,6779174912.0
3,-359770.0,8725297152.0
4,-351466.0,8084521984.0
5,-371598.0,10142310400.0
6,-344205.0,7663234560.0
7,-379133.0,9094386688.0
8,-320618.0,6319564800.0
9,-392648.0,10501571584.0
10,-349827.0,7650624512.0
11,-371500.0,8985862144.0
12,-346891.0,8294409728.0
13,-359128.0,8704116736.0
14,-329459.0,6174539264.0
15,-365500.0,8836894720.0
16,-402509.0,9165230080.0
17,-385394.0,9310903296.0
18,-325328.0,6404608512.0
19,-302805.0,5544613376.0
20,-368697.0,8753926144.0
21,-343989.0,7073581568.0
22,-341068.0,6800262656.0
23,-366023.0,9051776000.0
24,-403913.0,11455718400.0
25,-332513.0,6831926784.0
26,-369093.0,9780891648.0
27,-337256.0,6795872256.0
28,-332539.0,6656314880.0
29,-343961.0,7405116928.0
30,-327178.0,6755856384.0
31,-340038.0,7089647616.0
32,-389408.0,9404514304.0
33,-372075.0,9012033536.0
34,-380817.0,9456900096.0
35,-332090.0,6954528256.0
36,-340339.0,7969660416.0
37,-361687.0,7662317056.0
38,-329161.0,6716331008.0
39,-331806.0,8382797824.0
40,-350298.0,7822685184.0
41,-375961.0,9240009728.0
42,-342978.0,7147442176.0
43,-368822.0,8344809984.0
44,-326921.0,6159493632.0
45,-297812.0,5156915200.0
46,-344941.0,6955698176.0
47,-329683.0,6552050176.0
48,-297949.0,5520945664.0
49,-374766.0,8267743744.0
50,-322309.0,6163568640.0
51,-324332.0,6207905280.0
52,-352500.0,7820991488.0
53,-305384.0,5083961344.0
54,-341064.0,6421952000.0
55,-339085.0,6907352576.0
56,-318229.0,6251382784.0
57,-334411.0,6848503808.0
58,-303215.0,5446419968.0
59,-319587.0,5881799680.0
60,-378183.0,8245925376.0
61,-319791.0,6772935680.0
62,-358550.0,6950589440.0
63,-311674.0,5242296832.0
64,-355330.0,7936126976.0
65,-295556.0,4624951296.0
66,-310140.0,5031400448.0
67,-291394.0,4552442368.0
68,-338618.0,6155468800.0
69,-332903.0,6487464448.0
70,-374507.0,7890263040.0
71,-335673.0,7234507776.0
72,-324280.0,5932802560.0
73,-348792.0,7276760576.0
74,-306049.0,5444305920.0
75,-294672.0,4395532800.0
76,-263936.0,3870197248.0
77,-341104.0,6586822144.0
78,-277715.0,3626863872.0
79,-277292.0,3736061184.0
80,-290668.0,4496634368.0
81,-270547.0,3895874304.0
82,-304925.0,4606149120.0
83,-275631.0,4137597696.0
84,-299737.0,5031936000.0
85,-270530.0,3288032512.0
86,-281105.0,3690611712.0
87,-314751.0,5505860608.0
88,-307460.0,5048324096.0
89,-295216.0,4481603584.0
90,-279950.0,3772670976.0
91,-289235.0,4142522880.0
92,-331937.0,6015887872.0
93,-295582.0,4495806976.0
94,-277975.0,3342228992.0
95,-294310.0,4134537216.0
96,-265572.0,3108595456.0
97,-271350.0,3507465984.0
98,-253637.0,3240485376.0
99,-283666.0,4158215168.0
100,-276595.0,3091929856.0
101,-252435.0,2939257344.0
102,-318293.0,4814054400.0
103,-286542.0,4311013376.0
104,-284607.0,4117045504.0
105,-315750.0,4645581824.0
106,-296703.0,4141364480.0
107,-257235.0,2881910784.0
108,-263653.0,3175166720.0
109,-269356.0,3032095488.0
110,-278295.0,3890175488.0
111,-254783.0,2695579904.0
112,-271143.0,3295801600.0
113,-236611.0,2296747776.0
114,-267620.0,3426413824.0
115,-260019.0,2693507584.0
116,-243581.0,2689207552.0
117,-245359.0,2496819712.0
118,-257633.0,3053049856.0
119,-262832.0,2747851008.0
120,-263493.0,3338147072.0
121,-222755.0,2355662848.0
122,-236268.0,2431548416.0
123,-253382.0,2751203584.0
124,-238086.0,2332445696.0
125,-253539.0,2744620032.0
126,-264664.0,2918766592.0
127,-233516.0,2321475072.0
128,-223777.0,1991157376.0
129,-237605.0,2202181120.0
130,-235781.0,2394116864.0
131,-226556.0,2390286336.0
132,-239072.0,2167682816.0
133,-252437.0,2602070784.0
134,-234805.0,2085186176.0
135,-238570.0,2101302912.0
136,-218382.0,1792639488.0
137,-230111.0,2110046592.0
138,-221296.0,2021762176.0
139,-216448.0,1810106880.0
140,-254744.0,2402791680.0
141,-226457.0,2088181248.0
142,-202408.0,1525834240.0
143,-239912.0,2395218176.0
144,-233339.0,2139182848.0
145,-234163.0,2348084480.0
146,-216514.0,2185805824.0
147,-212648.0,1792107264.0
148,-246462.0,2457958912.0
149,-210720.0,1731921024.0
150,-231454.0,1945727616.0
151,-233702.0,2070935552.0
152,-219576.0,1916034688.0
153,-233849.0,2193144064.0
154,-220256.0,1990394368.0
155,-228647.0,2034569728.0
156,-219170.0,1871877888.0
157,-238618.0,2401997568.0
158,-222084.0,1800790784.0
159,-223419.0,1917361664.0
160,-235746.0,2301706496.0
161,-245243.0,2306326016.0
162,-218850.0,1812256512.0
163,-230645.0,1901091456.0
164,-237100.0,2180376320.0
165,-231638.0,2062375552.0
166,-225243.0,1934344576.0
167,-202395.0,1495812992.0
168,-237003.0,2116729088.0
169,-219170.0,1836966272.0
170,-230646.0,2145698432.0
171,-232333.0,2093729920.0
172,-240485.0,2267757824.0
173,-211735.0,1567302016.0
174,-225835.0,1987986816.0
175,-240633.0,2352948480.0
176,-215131.0,1690721920.0
177,-207799.0,1622622976.0
178,-219415.0,1866111360.0
179,-217206.0,1821373952.0
180,-240189.0,2149637376.0
181,-223201.0,1957413888.0
182,-222324.0,1828132224.0
183,-228408.0,2028887552.0
184,-224224.0,1853018240.0
185,-212997.0,1771720576.0
186,-222292.0,1896863872.0
187,-219170.0,1853890176.0
188,-226534.0,1932188672.0
189,-221974.0,1759154176.0
190,-224868.0,1897220224.0
191,-219115.0,1828657536.0
192,-221129.0,1859565696.0
193,-212116.0,1659142400.0
194,-212116.0,1659119232.0
195,-218666.0,1787300608.0
196,-219415.0,1865692928.0
197,-232585.0,2039267200.0
198,-219218.0,1787691520.0
199,-237570.0,2096694272.0
200,-225331.0,1823318656.0
201,-214656.0,1781937280.0
202,-221107.0,1735232640.0
203,-219415.0,1865512192.0
204,-219115.0,1812141440.0
205,-228846.0,2028050688.0
206,-193588.0,1525596288.0
207,-221146.0,1719798016.0
208,-193588.0,1525544832.0
209,-201415.0,1527009152.0
210,-219415.0,1882279040.0
211,-221107.0,1734999936.0
212,-200005.0,1535449088.0
213,-219218.0,1787278336.0
214,-221107.0,1734918784.0
215,-219415.0,1899719552.0
216,-215131.0,1703758208.0
217,-222815.0,1890370688.0
218,-201350.0,1601161728.0
219,-219170.0,1835681792.0
220,-226534.0,1931294848.0
221,-219218.0,1787037952.0
222,-242321.0,2195499520.0
223,-209014.0,1633451776.0
224,-193588.0,1525105152.0
225,-193588.0,1525075712.0
226,-221107.0,1734575232.0
227,-219218.0,1786848256.0
228,-201415.0,1539118336.0
229,-214656.0,1781125376.0
230,-221107.0,1734454016.0
231,-193588.0,1524895488.0
232,-237771.0,2119296256.0
233,-242321.0,2195109376.0
234,-214656.0,1780961536.0
235,-221107.0,1734296960.0
236,-212116.0,1657966592.0
237,-201415.0,1538849664.0
238,-219170.0,1835046912.0
239,-221107.0,1734167040.0
240,-219115.0,1811026432.0
241,-214656.0,1780721664.0
242,-226534.0,1914042752.0
243,-219115.0,1810919680.0
244,-219218.0,1786262272.0
245,-218666.0,1785788672.0
246,-221107.0,1733931008.0
247,-200005.0,1534373888.0
248,-200005.0,1534339072.0
249,-214656.0,1780433408.0
250,-242321.0,2194442752.0
251,-228408.0,1991157760.0
252,-193588.0,1524199424.0
253,-193588.0,1524163712.0
254,-201415.0,1538294016.0
255,-193588.0,1524091648.0
256,-225331.0,1821531392.0
257,-218666.0,1785337856.0
258,-214656.0,1780090240.0
259,-221107.0,1733462272.0
260,-226534.0,1913341440.0
261,-228408.0,1990746880.0
262,-198336.0,1437020928.0
263,-218666.0,1785099264.0
264,-228408.0,1990618368.0
265,-219218.0,1785438464.0
266,-198336.0,1436879360.0
267,-224180.0,1887180032.0
268,-193588.0,1523600384.0
269,-193588.0,1523560960.0
270,-198336.0,1436734464.0
271,-214656.0,1779558912.0
272,-242321.0,2193461760.0
273,-228408.0,1990218752.0
274,-201415.0,1537557248.0
275,-228408.0,1990127104.0
276,-218666.0,1784550656.0
277,-219170.0,1833456000.0
278,-200005.0,1533184896.0
279,-214656.0,1779210752.0
280,-225331.0,1820533504.0
281,-198336.0,1436317184.0
282,-219170.0,1833222656.0
283,-226534.0,1912323328.0
284,-208139.0,1655185152.0
285,-193588.0,1522896640.0
286,-221107.0,1732359808.0
287,-225331.0,1820213632.0
288,-214656.0,1778797824.0
289,-226534.0,1912032896.0
290,-215131.0,1701121920.0
291,-221107.0,1732134400.0
292,-219170.0,1832733440.0
293,-242321.0,2211967488.0
294,-198336.0,1435785728.0
295,-224180.0,1885884032.0
296,-201415.0,1536634880.0
297,-219218.0,1783957632.0
298,-219170.0,1832424448.0
299,-198336.0,1435569024.0
300,-201415.0,1536452736.0
301,-225331.0,1819528832.0
302,-214656.0,1778105856.0
303,-225331.0,1819426048.0
304,-242321.0,2191773184.0
305,-200005.0,1531944448.0
306,-208139.0,1654139392.0
307,-193588.0,1521865728.0
308,-219170.0,1831882496.0
309,-225331.0,1819109632.0
310,-218666.0,1782887424.0
311,-218666.0,1782832896.0
312,-212116.0,1654830848.0
313,-208139.0,1653775744.0
314,-242321.0,2191172352.0
315,-207799.0,1603420032.0
316,-219415.0,1860970624.0
317,-207799.0,1603313536.0
318,-198336.0,1434682624.0
319,-219415.0,1860800512.0
320,-225331.0,1818500352.0
321,-219415.0,1860685824.0
322,-218666.0,1782212992.0
323,-225331.0,1818327552.0
324,-207799.0,1602930432.0
325,-200005.0,1530884352.0
326,-207799.0,1602818304.0
327,-201415.0,1535103232.0
328,-219115.0,1806876928.0
329,-207799.0,1602647936.0
330,-218666.0,1781738112.0
331,-219218.0,1782031232.0
332,-201415.0,1534830080.0
333,-218666.0,1781554688.0
334,-219115.0,1806507264.0
335,-242321.0,2189795584.0
336,-218666.0,1781368064.0
337,-225331.0,1817483008.0
338,-219115.0,1806254336.0
339,-219170.0,1829991808.0
340,-198336.0,1433531648.0
341,-219115.0,1806061056.0
342,-219218.0,1781326976.0
343,-221107.0,1729343488.0
344,-242321.0,2189157376.0
345,-208139.0,1651922176.0
346,-218666.0,1780726272.0
347,-201415.0,1533967616.0
348,-214656.0,1775393536.0
349,-201415.0,1533847808.0
350,-242321.0,2188715520.0
351,-218666.0,1780393088.0
352,-201415.0,1533665792.0
353,-219218.0,1780583168.0
354,-219218.0,1780513536.0
355,-200005.0,1529066240.0
356,-198336.0,1432609792.0
357,-215131.0,1697458176.0
358,-200005.0,1528869376.0
359,-193588.0,1518850816.0
360,-193588.0,1518784640.0
361,-225331.0,1815888896.0
362,-207799.0,1600591616.0
363,-225331.0,1815747968.0
364,-193588.0,1518517504.0
365,-219170.0,1828157952.0
366,-198336.0,1431997312.0
367,-219415.0,1857686016.0
368,-207799.0,1600181760.0
369,-215131.0,1696659584.0
370,-200005.0,1528053504.0
371,-224180.0,1881098496.0
372,-207799.0,1599902208.0
373,-193588.0,1517898496.0
374,-200005.0,1527771392.0
375,-228408.0,1983867904.0
376,-198336.0,1431356160.0
377,-198336.0,1431290624.0
378,-219218.0,1778743040.0
379,-219415.0,1856789760.0
380,-219415.0,1856712960.0
381,-219170.0,1826914816.0
382,-228408.0,1983301376.0
383,-219218.0,1778349696.0
384,-215131.0,1695598592.0
385,-219115.0,1802889728.0
386,-219170.0,1826508032.0
387,-225331.0,1813950976.0
388,-242321.0,2185613824.0
389,-219415.0,1856005888.0
390,-221107.0,1726106880.0
391,-225331.0,1813632640.0
392,-200005.0,1526439424.0
393,-219115.0,1802242816.0
394,-200005.0,1526284800.0
395,-219115.0,1802077568.0
396,-215131.0,1694698624.0
397,-218666.0,1776943360.0
398,-218666.0,1776860288.0
399,-224180.0,1878848768.0
400,-214656.0,1771500032.0
401,-226534.0,1904421376.0
402,-200005.0,1525653248.0
403,-200005.0,1525572864.0
404,-224180.0,1878417920.0
405,-219115.0,1801230080.0
406,-212116.0,1648612352.0
407,-207799.0,1597236480.0
408,-224180.0,1878066688.0
409,-224180.0,1877978112.0
410,-198336.0,1428956928.0
411,-201415.0,1529538560.0
412,-226534.0,1903439360.0
413,-242321.0,2183274752.0
414,-207799.0,1596654848.0
415,-219170.0,1823970560.0
416,-219170.0,1823877632.0
417,-214656.0,1770026496.0
418,-201415.0,1528976896.0
