episode,total_reward,loss
1,-696054.0,14743534592.0
2,-615116.0,11571108864.0
3,-673717.0,13442751488.0
4,-702649.0,14101408768.0
5,-617655.0,10732716032.0
6,-647283.0,12175979520.0
7,-641286.0,12168260608.0
8,-621783.0,11124185088.0
9,-551279.0,9148424192.0
10,-822047.0,21109225472.0
11,-641256.0,12117372928.0
12,-1004520.0,33246103552.0
13,-568662.0,9276396544.0
14,-707818.0,14831485952.0
15,-609788.0,11148431360.0
16,-707130.0,15041641472.0
17,-691318.0,13524682752.0
18,-611277.0,10616576000.0
19,-838331.0,23126548480.0
20,-700965.0,14441189376.0
21,-721300.0,15483953152.0
22,-579319.0,10343576576.0
23,-657807.0,12777412608.0
24,-669436.0,12623123456.0
25,-761373.0,16749253632.0
26,-722718.0,16530785280.0
27,-779185.0,19154376704.0
28,-629840.0,12135369728.0
29,-619604.0,10683807744.0
30,-801644.0,21271173120.0
31,-521606.0,7572848128.0
32,-799762.0,20429445120.0
33,-897005.0,26459838464.0
34,-648182.0,12348515328.0
35,-1072815.0,34008809472.0
36,-650029.0,12692645888.0
37,-655595.0,13524248576.0
38,-654767.0,12978135040.0
39,-704176.0,13625147392.0
40,-586540.0,10164031488.0
41,-848395.0,22237411328.0
42,-633288.0,12738706432.0
43,-574175.0,10002166784.0
44,-591179.0,10632518656.0
45,-686780.0,15077692416.0
46,-646742.0,13061404672.0
47,-687330.0,14553842688.0
48,-618697.0,11103792128.0
49,-583772.0,9984695296.0
50,-734111.0,17129952256.0
51,-564464.0,9326095360.0
52,-733697.0,16361476096.0
53,-733237.0,15479061504.0
54,-529625.0,7857159168.0
55,-842394.0,21889955840.0
56,-558427.0,9107019776.0
57,-593183.0,10945888256.0
58,-694633.0,13783725056.0
59,-660607.0,13175224320.0
60,-582916.0,9661048832.0
61,-648263.0,13138154496.0
62,-601425.0,11020851200.0
63,-592924.0,11361643520.0
64,-599601.0,10634490880.0
65,-668293.0,14162106368.0
66,-633753.0,13020731392.0
67,-703712.0,16855863296.0
68,-751979.0,18430287872.0
69,-679376.0,14601503744.0
70,-602441.0,11045668864.0
71,-546637.0,9525148672.0
72,-580580.0,10619280384.0
73,-866497.0,23966707712.0
74,-690314.0,14465394688.0
75,-625686.0,11456979968.0
76,-663891.0,14423200768.0
