episode,total_reward,loss
1,-723630.0,16271862784.0
2,-595074.0,10586574848.0
3,-504689.0,7177988608.0
4,-472877.0,6642624000.0
5,-645163.0,12666803200.0
6,-1034983.0,37055508480.0
7,-564260.0,9041595392.0
8,-571794.0,10212679680.0
9,-918011.0,25619734528.0
10,-534013.0,8160058368.0
11,-619814.0,11566925824.0
12,-800679.0,18989146112.0
13,-782783.0,18024048640.0
14,-709614.0,15024578560.0
15,-619199.0,10997745664.0
16,-1054737.0,40040493056.0
17,-627363.0,11628429312.0
18,-540881.0,8198777856.0
19,-643740.0,11103808512.0
20,-671138.0,13403471872.0
21,-510920.0,7358507520.0
22,-679286.0,13968088064.0
23,-671728.0,12887081984.0
24,-744915.0,16356316160.0
25,-532231.0,7901947392.0
26,-710369.0,16204413952.0
27,-680174.0,13403438080.0
28,-761272.0,17856176128.0
29,-970821.0,27688079360.0
30,-593555.0,9894945792.0
31,-727573.0,14879170560.0
32,-760838.0,17604702208.0
33,-558955.0,8825003008.0
34,-538510.0,8583499776.0
35,-671136.0,12689183744.0
36,-542534.0,9071874048.0
37,-1016162.0,31080478720.0
38,-748342.0,16381923328.0
39,-566819.0,8943343616.0
40,-653601.0,12018403328.0
41,-514654.0,8019161600.0
42,-650496.0,12733137920.0
43,-591905.0,10566180864.0
44,-636624.0,10990111744.0
45,-499309.0,7076503040.0
46,-940771.0,27163998208.0
47,-587265.0,9690088448.0
48,-649082.0,11886585856.0
49,-586462.0,9564115968.0
50,-782140.0,18355965952.0
51,-717377.0,14221284352.0
52,-606380.0,10607783936.0
53,-629199.0,11482067968.0
54,-626339.0,11215703040.0
55,-625483.0,12040743936.0
56,-589165.0,10132257792.0
57,-648058.0,11537628160.0
58,-542399.0,8813521920.0
59,-580800.0,9660043264.0
60,-1023674.0,35983790080.0
61,-548423.0,8164758016.0
62,-1289733.0,56971984896.0
63,-588343.0,8837598208.0
64,-565038.0,8420319232.0
65,-1201587.0,44925288448.0
66,-705584.0,13438987264.0
67,-536997.0,7768073216.0
68,-879493.0,21341290496.0
69,-750454.0,16840445952.0
70,-679483.0,12504616960.0
71,-660051.0,11721279488.0
72,-541745.0,7642853376.0
73,-642542.0,11390897152.0
74,-633362.0,10825673728.0
75,-524542.0,6560381952.0
76,-590665.0,9805508608.0
77,-606015.0,9731395584.0
78,-648073.0,10983299072.0
79,-1095865.0,36450217984.0
80,-537956.0,7384929792.0
81,-506967.0,6542612480.0
82,-582298.0,8985012224.0
83,-600920.0,9172611072.0
84,-589033.0,9177422848.0
85,-514045.0,6927147520.0
86,-524163.0,7320287744.0
87,-834562.0,19575183360.0
88,-891964.0,21385910272.0
89,-499810.0,6419514368.0
90,-725977.0,13187415040.0
91,-529021.0,6731181568.0
92,-605297.0,9657779200.0
93,-461504.0,5421303808.0
94,-458150.0,5172387840.0
95,-476477.0,5227653632.0
96,-632530.0,10240329728.0
97,-581057.0,7973745152.0
98,-682536.0,11654500352.0
99,-492147.0,5797645312.0
100,-528888.0,6777986560.0
101,-527111.0,6336433664.0
102,-476950.0,5258083840.0
103,-496585.0,5742708224.0
104,-478216.0,5240179712.0
105,-451717.0,4861227520.0
106,-741357.0,14226063360.0
107,-906727.0,22158675968.0
108,-456318.0,4734449152.0
109,-748469.0,13403153408.0
110,-585482.0,7468584960.0
111,-518885.0,6277198336.0
112,-446070.0,4491067904.0
113,-499376.0,5409422336.0
114,-495514.0,5481737216.0
115,-437871.0,4299323392.0
116,-526659.0,5627514368.0
117,-530129.0,6521158656.0
118,-583172.0,7329531904.0
119,-513151.0,6036465152.0
120,-447466.0,4138842624.0
121,-429930.0,3928943616.0
122,-434456.0,3646410752.0
123,-483318.0,4952530944.0
124,-481289.0,4618946048.0
125,-544453.0,6193027072.0
126,-487358.0,5302609408.0
127,-562261.0,6757625856.0
128,-732898.0,12309142528.0
129,-459313.0,4070589184.0
130,-455199.0,4418824704.0
131,-569296.0,6695796736.0
132,-439673.0,4050095872.0
133,-482143.0,4655105024.0
134,-454352.0,4151503616.0
135,-506275.0,5281010176.0
136,-666110.0,8976400384.0
137,-449255.0,3919373568.0
138,-474641.0,4152214784.0
139,-463839.0,4319616512.0
140,-415982.0,3248427008.0
141,-427595.0,3333064192.0
142,-588085.0,6561333760.0
143,-777908.0,11294379008.0
144,-484848.0,4396699648.0
145,-468962.0,4393261568.0
146,-474493.0,4531906048.0
147,-409672.0,3199456256.0
148,-452499.0,3856228864.0
149,-472333.0,4124403968.0
150,-415778.0,3301934080.0
151,-505713.0,5212335104.0
152,-600529.0,7013804032.0
153,-556091.0,5931965952.0
154,-456172.0,3933208832.0
155,-484555.0,4489449472.0
156,-477977.0,4258263808.0
157,-392316.0,2816480768.0
158,-469827.0,4043995904.0
159,-455717.0,3871678976.0
160,-335562.0,1887984640.0
161,-437959.0,3661014784.0
162,-410419.0,3030900224.0
163,-374606.0,2527216384.0
164,-448780.0,3639401728.0
165,-330731.0,1865392384.0
166,-376811.0,2388590592.0
167,-471005.0,3914254336.0
168,-392727.0,2625512192.0
169,-535137.0,4736268288.0
170,-413566.0,3007255552.0
171,-470369.0,3705155840.0
172,-431598.0,3290038784.0
173,-355053.0,2066288128.0
174,-558430.0,5488068608.0
175,-516760.0,4612878848.0
176,-687173.0,8201001472.0
177,-492826.0,3870518528.0
178,-495549.0,3908103680.0
179,-580121.0,5436392960.0
180,-423796.0,3098223360.0
181,-443759.0,3141921280.0
182,-435216.0,3153588480.0
183,-391604.0,2614039040.0
184,-714719.0,9626533888.0
185,-417781.0,2930042880.0
186,-366525.0,2318456832.0
187,-533169.0,4991752192.0
188,-519450.0,4702129152.0
189,-362198.0,2221529856.0
190,-391110.0,2576029440.0
191,-359976.0,2174382592.0
192,-375538.0,2494217472.0
193,-371550.0,2469426432.0
194,-406477.0,3105614848.0
195,-387981.0,2534910720.0
196,-359521.0,2193959168.0
197,-387054.0,2577384448.0
198,-431639.0,3155102976.0
199,-475413.0,3813284864.0
200,-724809.0,9832508416.0
201,-361773.0,2246823424.0
202,-464223.0,3759022080.0
203,-304868.0,1510645248.0
204,-416770.0,2771285248.0
