episode,total_reward,loss
1,-372417.0,9691204608.0
2,-396678.0,11528311808.0
3,-355504.0,8111071744.0
4,-300219.0,6111098368.0
5,-412138.0,11068169216.0
6,-363250.0,9164621824.0
7,-491207.0,16514936832.0
8,-318690.0,6127881728.0
9,-355693.0,8964176896.0
10,-381793.0,8689102848.0
11,-426688.0,12978564096.0
12,-432710.0,10612340736.0
13,-468001.0,14889839616.0
14,-276054.0,4527483904.0
15,-398409.0,11509256192.0
16,-344952.0,7972949504.0
17,-299618.0,5705904640.0
18,-474019.0,13128352768.0
19,-373021.0,9451116544.0
20,-426918.0,12352712704.0
21,-353461.0,7972514304.0
22,-340795.0,7721680896.0
23,-338556.0,7207143424.0
24,-370057.0,8078077952.0
25,-464330.0,15219895296.0
26,-326096.0,7353488384.0
27,-404816.0,10795345920.0
28,-426477.0,12865868800.0
29,-511785.0,18266097664.0
30,-348291.0,7248725504.0
31,-297644.0,6130643456.0
32,-293012.0,5178221568.0
33,-402769.0,10375535616.0
34,-365646.0,8162589696.0
35,-394242.0,10151531520.0
36,-364378.0,8226307584.0
37,-377395.0,7813854208.0
38,-283582.0,5697785344.0
39,-518758.0,17837230080.0
40,-421248.0,11465190400.0
41,-473194.0,16206053376.0
42,-348304.0,8327350272.0
43,-359251.0,8614321152.0
44,-366400.0,8828470272.0
45,-378874.0,8203513344.0
46,-455710.0,15767870464.0
47,-321511.0,7393780736.0
48,-356588.0,7099363840.0
49,-434472.0,13010362368.0
50,-311348.0,5767638528.0
51,-366150.0,8675152896.0
52,-317716.0,6031082496.0
53,-318816.0,6826021888.0
54,-330902.0,6355897856.0
55,-398703.0,9948028928.0
56,-311088.0,6265875456.0
57,-428328.0,12357442560.0
58,-268346.0,4393290240.0
59,-306065.0,5812761600.0
60,-322843.0,6642558976.0
61,-319949.0,6313335296.0
62,-357940.0,7478642688.0
63,-299962.0,5501517312.0
64,-318025.0,6780081152.0
65,-310889.0,5906052096.0
66,-261513.0,4050130944.0
67,-351393.0,8543208960.0
68,-273696.0,4326005248.0
69,-352928.0,7188012544.0
70,-320187.0,6458619392.0
71,-341345.0,7249723904.0
72,-275301.0,4370785280.0
73,-352753.0,7578072576.0
74,-379773.0,8796018688.0
75,-311042.0,6201442816.0
76,-314194.0,6365155840.0
77,-274284.0,4313217024.0
78,-350797.0,7670168576.0
79,-340855.0,7335214080.0
80,-319043.0,6417687552.0
81,-272725.0,4064110848.0
82,-274445.0,4717124096.0
83,-272943.0,4079481856.0
84,-315050.0,5991857664.0
85,-338143.0,6337004032.0
86,-278417.0,4532756480.0
87,-385302.0,10819378176.0
88,-333071.0,6949963776.0
89,-319074.0,5834948608.0
90,-293490.0,4730573824.0
91,-329824.0,7048080896.0
92,-300624.0,4635564544.0
93,-326388.0,6000151552.0
94,-287406.0,4933787136.0
95,-271676.0,4323027968.0
96,-261311.0,4141005056.0
97,-285392.0,4542186496.0
98,-287021.0,4897591296.0
99,-335662.0,6366942208.0
100,-245296.0,3529845248.0
101,-254981.0,3464496128.0
102,-308795.0,5862487552.0
103,-235710.0,3206161920.0
104,-278910.0,4238118400.0
105,-271732.0,4067769344.0
106,-242577.0,3290877184.0
107,-226852.0,2838240000.0
108,-295300.0,4634916352.0
109,-303054.0,5637886464.0
110,-244988.0,3262084608.0
111,-242803.0,3113099776.0
112,-268986.0,4122384640.0
113,-215296.0,2376883200.0
114,-284387.0,3638047744.0
115,-247137.0,3482752000.0
116,-233613.0,2771331840.0
117,-248765.0,3516105472.0
118,-250466.0,3464975360.0
119,-253525.0,3248434176.0
120,-267557.0,3698430208.0
121,-260596.0,3663162880.0
122,-252351.0,3359927296.0
123,-234252.0,2861964544.0
124,-216091.0,2520963840.0
125,-255092.0,3457709312.0
126,-278203.0,4460833280.0
127,-251887.0,3437014272.0
128,-241402.0,3208534272.0
129,-271365.0,3946963200.0
130,-268338.0,4023385344.0
131,-231809.0,2860663808.0
132,-222069.0,2622571264.0
133,-244530.0,3383208704.0
134,-238845.0,3063020544.0
135,-225234.0,2702247936.0
136,-232766.0,2982999552.0
137,-256001.0,3787076864.0
138,-250031.0,3416380672.0
139,-250873.0,3296359168.0
140,-238539.0,3134672896.0
141,-235823.0,3035473664.0
142,-249643.0,3372220160.0
143,-245835.0,3342237952.0
144,-243694.0,3217092608.0
145,-249696.0,3497984000.0
146,-253920.0,3532868864.0
147,-255097.0,3556574976.0
148,-254992.0,3361784320.0
149,-237077.0,3081993216.0
150,-241362.0,3320468736.0
151,-237341.0,3094550784.0
152,-253393.0,3336479488.0
153,-238487.0,3031916544.0
154,-252297.0,3520153088.0
155,-241839.0,3044940800.0
156,-242194.0,3173510656.0
157,-248557.0,3437254400.0
158,-214840.0,2494212864.0
159,-258085.0,3676330496.0
160,-229498.0,2852576256.0
161,-234055.0,2929512192.0
162,-238490.0,3056302848.0
163,-218987.0,2533572864.0
164,-235305.0,2961901568.0
165,-225272.0,2752004352.0
166,-232697.0,2898560512.0
167,-232697.0,2898535168.0
168,-232697.0,2898509312.0
169,-257588.0,3483984384.0
170,-233377.0,2836372992.0
171,-218987.0,2533384192.0
172,-235494.0,2933367808.0
173,-230872.0,2862062336.0
174,-222133.0,2609846016.0
175,-232697.0,2933667840.0
176,-271777.0,3812560384.0
177,-232697.0,2864564992.0
178,-232697.0,2898237440.0
179,-232697.0,2898208768.0
180,-217423.0,2489774336.0
181,-259901.0,3553822976.0
182,-232697.0,2898120704.0
183,-232697.0,2898090496.0
184,-232697.0,2933402624.0
185,-232697.0,2896890624.0
186,-261597.0,3682705408.0
187,-210556.0,2280186368.0
188,-230058.0,2825089536.0
189,-255209.0,3643500800.0
190,-232697.0,2933211904.0
191,-232697.0,2933179392.0
192,-232697.0,2897806592.0
193,-232697.0,2897773312.0
194,-232697.0,2864044800.0
195,-232697.0,2897705728.0
196,-220046.0,2556818688.0
197,-252664.0,3326822144.0
198,-232697.0,2897601280.0
199,-232697.0,2897565440.0
200,-232697.0,2932865536.0
201,-232697.0,2897494016.0
202,-232697.0,2897457408.0
203,-232697.0,2897420544.0
204,-232697.0,2932717824.0
205,-232697.0,2897346048.0
206,-232697.0,2897308160.0
207,-232697.0,2932602368.0
208,-232697.0,2897231616.0
209,-232697.0,2897192704.0
210,-232697.0,2897153792.0
211,-232697.0,2897114368.0
212,-232697.0,2897074432.0
213,-212143.0,2356754176.0
214,-232697.0,2896993792.0
215,-232697.0,2896953344.0
216,-232697.0,2896911872.0
217,-232697.0,2896870400.0
218,-232697.0,2896828928.0
219,-232697.0,2896786688.0
220,-232697.0,2932070912.0
221,-232697.0,2896701440.0
222,-232952.0,2864604416.0
223,-232697.0,2896614656.0
224,-232697.0,2931895296.0
225,-232697.0,2896526848.0
226,-232697.0,2896482048.0
227,-232697.0,2896437248.0
228,-232697.0,2896392192.0
229,-232697.0,2896346368.0
230,-232697.0,2896300800.0
231,-232697.0,2896254464.0
232,-232697.0,2896207872.0
233,-232697.0,2896160768.0
234,-232697.0,2896113664.0
235,-232697.0,2896066304.0
236,-232697.0,2896018176.0
237,-232697.0,2897613312.0
238,-232697.0,2895921152.0
239,-232697.0,2895872512.0
240,-232697.0,2895823360.0
241,-232697.0,2895773440.0
242,-232697.0,2895723520.0
243,-232697.0,2895673344.0
244,-232697.0,2895622656.0
245,-232697.0,2895571456.0
246,-232697.0,2895520256.0
247,-232697.0,2895468544.0
248,-232697.0,2895416320.0
249,-232697.0,2895364096.0
250,-232697.0,2895311616.0
251,-232697.0,2895258112.0
252,-232697.0,2895204864.0
253,-232697.0,2895151104.0
254,-232697.0,2895096832.0
255,-232697.0,2895042560.0
256,-232697.0,2894987264.0
257,-232697.0,2894931968.0
258,-232697.0,2894876672.0
259,-232697.0,2894820864.0
260,-232697.0,2894764544.0
261,-232697.0,2894707712.0
262,-232697.0,2894650880.0
263,-232697.0,2894593536.0
264,-232697.0,2894535936.0
265,-232697.0,2894477824.0
266,-232697.0,2894419456.0
267,-232697.0,2894360576.0
268,-232697.0,2894301184.0
269,-232697.0,2894242048.0
270,-232697.0,2894182400.0
271,-232697.0,2894121984.0
272,-232697.0,2894061312.0
273,-232697.0,2894000384.0
274,-232697.0,2893939200.0
275,-232697.0,2893877248.0
276,-232697.0,2893815552.0
277,-232697.0,2893753344.0
278,-232697.0,2893690368.0
279,-232697.0,2893627392.0
280,-232697.0,2893563648.0
281,-232697.0,2893499904.0
282,-232697.0,2893435904.0
283,-232697.0,2893371392.0
284,-232697.0,2893306112.0
285,-232697.0,2893240832.0
286,-232697.0,2893175296.0
287,-232697.0,2893109248.0
288,-232697.0,2893042688.0
289,-232697.0,2892975872.0
290,-232697.0,2892908544.0
291,-232697.0,2892841216.0
292,-232697.0,2892772864.0
293,-232697.0,2892704768.0
294,-232697.0,2892636160.0
295,-232697.0,2892567040.0
296,-232697.0,2892497408.0
297,-232697.0,2892427264.0
298,-232697.0,2892357376.0
299,-232697.0,2892285952.0
300,-232697.0,2892214272.0
301,-232697.0,2892142080.0
302,-232697.0,2892069632.0
303,-232697.0,2891996416.0
304,-232697.0,2891922688.0
305,-232697.0,2891848704.0
306,-232697.0,2891774208.0
307,-232697.0,2891699200.0
308,-232697.0,2891623424.0
309,-232697.0,2891547136.0
310,-232697.0,2891470848.0
311,-232697.0,2891393792.0
312,-232697.0,2891316224.0
313,-232697.0,2891238144.0
314,-232697.0,2891159552.0
315,-232697.0,2891080704.0
316,-232697.0,2891001088.0
317,-232697.0,2890921216.0
318,-232697.0,2890841088.0
319,-232697.0,2890760192.0
320,-232697.0,2890678272.0
321,-232697.0,2890596608.0
322,-232697.0,2890514176.0
323,-232697.0,2890431488.0
324,-232697.0,2890348032.0
325,-232697.0,2890264064.0
326,-232697.0,2890179584.0
327,-232697.0,2890095104.0
328,-232697.0,2890009856.0
329,-232697.0,2889924096.0
330,-232697.0,2889837568.0
331,-232697.0,2889751040.0
332,-232697.0,2889664000.0
333,-232697.0,2889575936.0
334,-232697.0,2889487872.0
335,-232697.0,2889398784.0
336,-232697.0,2889310208.0
337,-232697.0,2889220352.0
338,-232697.0,2889130496.0
339,-232697.0,2889039360.0
340,-232697.0,2888948736.0
341,-232697.0,2888856832.0
342,-232697.0,2888764928.0
343,-232697.0,2888672256.0
344,-232697.0,2888579584.0
345,-232697.0,2888485376.0
346,-232697.0,2888391680.0
347,-232697.0,2888297472.0
348,-232697.0,2888202240.0
349,-232697.0,2888107008.0
350,-232697.0,2888011264.0
351,-232697.0,2887914496.0
352,-232697.0,2887817728.0
353,-232697.0,2887720192.0
354,-232697.0,2887622144.0
355,-232697.0,2887523840.0
356,-232697.0,2887425280.0
357,-232697.0,2887325696.0
358,-232697.0,2887226112.0
359,-232697.0,2887125760.0
360,-232697.0,2887024896.0
361,-232697.0,2886923264.0
362,-232697.0,2886821888.0
363,-232697.0,2886719488.0
364,-232697.0,2886617088.0
365,-232697.0,2886513408.0
366,-232697.0,2886409728.0
367,-232697.0,2886305792.0
368,-232697.0,2886200832.0
369,-232697.0,2886095872.0
370,-232697.0,2885989888.0
371,-232697.0,2885883904.0
372,-232697.0,2885777152.0
373,-232697.0,2885669888.0
374,-232697.0,2885562624.0
375,-232697.0,2885454336.0
376,-232697.0,2885345792.0
377,-232697.0,2885236736.0
378,-232697.0,2885126912.0
379,-232697.0,2885016576.0
380,-232697.0,2884905984.0
381,-232697.0,2884794880.0
382,-232697.0,2884683264.0
383,-232697.0,2884571136.0
384,-232697.0,2884458496.0
385,-232697.0,2884345344.0
386,-232697.0,2884231680.0
387,-232697.0,2884117760.0
388,-232697.0,2884003072.0
389,-232697.0,2883887872.0
390,-232697.0,2883772160.0
391,-232697.0,2883656192.0
392,-232697.0,2883539456.0
393,-232697.0,2883422208.0
394,-232697.0,2883304448.0
395,-232697.0,2883186432.0
396,-232697.0,2883067904.0
397,-232697.0,2882948608.0
398,-232697.0,2882828800.0
399,-232697.0,2882708992.0
400,-232697.0,2882588160.0
401,-232697.0,2882467072.0
402,-232697.0,2882345472.0
403,-232697.0,2882223104.0
404,-232697.0,2882100224.0
405,-232697.0,2881977088.0
406,-232697.0,2881853440.0
407,-232697.0,2881729024.0
408,-232697.0,2881604352.0
409,-232697.0,2881478912.0
410,-232697.0,2881353216.0
411,-232697.0,2881226752.0
412,-232697.0,2881099776.0
413,-232697.0,2880972288.0
414,-232697.0,2880844800.0
415,-232697.0,2880716288.0
416,-232697.0,2880587264.0
417,-232697.0,2880457728.0
418,-232697.0,2880327680.0
419,-232697.0,2880197376.0
420,-232697.0,2880066304.0
421,-232697.0,2879934720.0
422,-232697.0,2879802624.0
423,-232697.0,2879669760.0
424,-232697.0,2879537152.0
425,-232697.0,2879403520.0
426,-232697.0,2879268864.0
427,-232697.0,2879134208.0
428,-232697.0,2878999040.0
429,-232697.0,2878863360.0
