episode,total_reward,loss
1,-522645.0,16915747840.0
2,-411599.0,11516012544.0
3,-501003.0,16706850816.0
4,-415319.0,9935451136.0
5,-364911.0,8037118976.0
6,-500576.0,17688367104.0
7,-477491.0,16719199232.0
8,-390090.0,9909989376.0
9,-478242.0,16820102144.0
10,-414319.0,10102144000.0
11,-424073.0,10869586944.0
12,-590399.0,24840900608.0
13,-400003.0,10680152064.0
14,-427813.0,10899887104.0
15,-406426.0,10954723328.0
16,-440208.0,13965218816.0
17,-373494.0,8684331008.0
18,-421110.0,12634222592.0
19,-525972.0,18159839232.0
20,-323006.0,6454242304.0
21,-387319.0,8421675520.0
22,-531215.0,19291000832.0
23,-416089.0,11960584192.0
24,-462888.0,15388463104.0
25,-373927.0,9399019520.0
26,-363552.0,8031253504.0
27,-362640.0,7597886464.0
28,-536911.0,19393331200.0
29,-439826.0,12920923136.0
30,-365970.0,9518423040.0
31,-379579.0,8948002816.0
32,-322847.0,6659548160.0
33,-363345.0,8196749824.0
34,-369495.0,8388920832.0
35,-360543.0,8419787264.0
36,-465303.0,12938510336.0
37,-438445.0,13907289088.0
38,-401791.0,10256382976.0
39,-357981.0,7876694016.0
40,-361666.0,7634411520.0
41,-348464.0,8302103040.0
42,-407756.0,11252486144.0
43,-318404.0,6111311360.0
44,-336567.0,7317886976.0
45,-357436.0,7878153216.0
46,-320884.0,6018112000.0
47,-541298.0,19287781376.0
48,-339642.0,6835964928.0
49,-302876.0,5036069376.0
50,-369113.0,8425489408.0
51,-520887.0,20236773376.0
52,-410315.0,10505627648.0
53,-328902.0,6442644992.0
54,-449380.0,12901680128.0
55,-457002.0,13067934720.0
56,-405829.0,10527489024.0
57,-446890.0,13280401408.0
58,-532576.0,17456795648.0
59,-365429.0,8832615424.0
60,-364083.0,8316773888.0
61,-373745.0,8210331136.0
62,-384331.0,8624987136.0
63,-337373.0,6812977664.0
64,-504116.0,18067046400.0
65,-487982.0,16299887616.0
66,-369875.0,7801627136.0
67,-319261.0,6845539840.0
68,-366252.0,8780654592.0
69,-440883.0,13185016832.0
70,-358814.0,8734474240.0
71,-310698.0,5876079616.0
72,-395700.0,9465945088.0
73,-331715.0,7185838592.0
74,-355576.0,7523682816.0
75,-563099.0,20798081024.0
76,-520176.0,16954470400.0
77,-392197.0,9528713216.0
78,-416307.0,11604741120.0
79,-428021.0,10835234816.0
80,-514827.0,17327779840.0
81,-350604.0,7744445952.0
82,-484420.0,12999483392.0
83,-337273.0,7210220544.0
84,-328216.0,6437275648.0
85,-327132.0,6050410496.0
86,-322781.0,6508506112.0
87,-400261.0,9586617344.0
88,-366429.0,8725113856.0
89,-394859.0,9906084864.0
90,-387400.0,8812569600.0
91,-416854.0,10573204480.0
92,-463467.0,13667706880.0
93,-384439.0,9533547520.0
94,-401914.0,9921398784.0
95,-347148.0,7097141760.0
96,-501821.0,15599728640.0
97,-388970.0,9269587968.0
98,-312126.0,6063792128.0
99,-308928.0,6646309376.0
100,-391681.0,9141600256.0
101,-310717.0,5136454144.0
102,-440684.0,12569432064.0
103,-369372.0,8136669696.0
104,-410797.0,9623927808.0
105,-343233.0,6816381440.0
106,-275269.0,3626254592.0
107,-380709.0,8672321536.0
108,-293980.0,4259935744.0
109,-349005.0,7627064832.0
110,-295478.0,5227526144.0
111,-430566.0,10770190336.0
112,-375253.0,7951782912.0
113,-336945.0,6517181440.0
114,-370769.0,8465616384.0
115,-287738.0,4094469120.0
116,-555964.0,19117668352.0
117,-388542.0,8024899584.0
118,-301857.0,4933091840.0
119,-327220.0,6279170048.0
120,-336706.0,5561326080.0
121,-414242.0,10085703680.0
122,-302098.0,4719928320.0
123,-264731.0,3994963712.0
124,-349140.0,6459057152.0
125,-329904.0,4902401024.0
126,-389501.0,9260999680.0
127,-368824.0,6975239168.0
128,-349054.0,6886617088.0
129,-322377.0,5502448128.0
130,-457455.0,10561256448.0
131,-391079.0,8012518400.0
132,-290429.0,4477307392.0
133,-283759.0,4387341312.0
134,-372304.0,8167045120.0
135,-266498.0,3936200704.0
136,-321024.0,5621176320.0
137,-284716.0,4175996416.0
138,-267577.0,3729440512.0
139,-334298.0,5494019072.0
140,-295371.0,4456616448.0
141,-292297.0,4979169792.0
142,-351520.0,6753659904.0
143,-318535.0,5482373120.0
144,-265770.0,3588400128.0
145,-291508.0,3932640256.0
146,-221995.0,2563588352.0
147,-278409.0,4229335296.0
148,-309671.0,5195384320.0
149,-261875.0,3405278208.0
150,-271377.0,3926093312.0
151,-412172.0,9197351936.0
152,-362546.0,7011789824.0
153,-277663.0,3546031104.0
154,-245228.0,2753827840.0
155,-295947.0,4668180992.0
156,-279302.0,4271563264.0
157,-281445.0,3948524032.0
158,-253198.0,3328372224.0
159,-255607.0,3185552384.0
160,-308085.0,5314375168.0
161,-366705.0,7150107648.0
162,-281525.0,4250597376.0
