episode,total_reward,loss
1,-1813512.0,189387046912.0
2,-1250227.0,96269139968.0
3,-1151610.0,92536799232.0
4,-1322887.0,103551770624.0
5,-1251351.0,93051985920.0
6,-1656623.0,160847659008.0
7,-1572404.0,129675026432.0
8,-1296627.0,100055949312.0
9,-1876067.0,207449751552.0
10,-1200692.0,87948083200.0
11,-928641.0,56638836736.0
12,-1359066.0,113480343552.0
13,-1700266.0,169146023936.0
14,-1026718.0,67187982336.0
15,-1047075.0,65377095680.0
16,-1331816.0,104535236608.0
17,-1324612.0,101138898944.0
18,-1241365.0,86071869440.0
19,-1215012.0,99935846400.0
20,-1013279.0,60541911040.0
21,-1083228.0,74019397632.0
22,-1113682.0,74598350848.0
23,-1170013.0,73519939584.0
24,-1199313.0,93075513344.0
25,-1495151.0,134951100416.0
26,-965201.0,64712945664.0
27,-1304512.0,102009806848.0
28,-1024628.0,69402157056.0
29,-1681440.0,174090125312.0
30,-1406547.0,116538793984.0
31,-1378603.0,117364326400.0
32,-1076174.0,69036769280.0
33,-1232007.0,94474674176.0
34,-1069016.0,81697415168.0
35,-1518513.0,138878697472.0
36,-1543209.0,161996587008.0
37,-1668912.0,181492367360.0
38,-1319488.0,94186577920.0
39,-1004849.0,56760332288.0
40,-1447786.0,125877501952.0
41,-953901.0,57559805952.0
42,-1386107.0,111031468032.0
43,-1232214.0,104170332160.0
44,-1040512.0,79003770880.0
45,-1258188.0,107554299904.0
46,-1161958.0,90613473280.0
47,-1418906.0,130548703232.0
48,-1296896.0,105473073152.0
49,-1483076.0,133478154240.0
50,-1802262.0,150315630592.0
51,-1118328.0,80356589568.0
52,-1295087.0,100186046464.0
53,-955840.0,58322644992.0
54,-1405340.0,137534898176.0
55,-1609342.0,134832193536.0
56,-1330798.0,122284457984.0
57,-1219388.0,89428656128.0
58,-1303479.0,93082640384.0
59,-1454158.0,118754639872.0
60,-1398518.0,97852645376.0
61,-1176837.0,85500092416.0
62,-1162048.0,92668002304.0
63,-1509328.0,140253904896.0
64,-1101368.0,76373090304.0
65,-1416380.0,114204991488.0
66,-1443520.0,152143724544.0
67,-1403511.0,103980851200.0
68,-1593588.0,116613365760.0
69,-1182679.0,85777645568.0
70,-1114331.0,76628910080.0
71,-1109012.0,66137657344.0
72,-1367114.0,107709128704.0
73,-1090456.0,55853690880.0
74,-991072.0,56380256256.0
75,-1319252.0,107510104064.0
76,-1091483.0,59420491776.0
77,-1331974.0,88665473024.0
78,-1086208.0,70449348608.0
79,-900720.0,48026042368.0
80,-991146.0,57352024064.0
81,-1069422.0,64458006528.0
82,-1405386.0,114304942080.0
83,-1335268.0,93515972608.0
84,-1498351.0,133450776576.0
85,-1230436.0,78736064512.0
86,-1233459.0,74673496064.0
87,-853856.0,40694161408.0
88,-1507415.0,117707259904.0
89,-1293599.0,81730600960.0
90,-1378842.0,97891901440.0
91,-1177073.0,67682271232.0
92,-1582138.0,134303916032.0
93,-1638430.0,123334393856.0
94,-788106.0,28751806464.0
95,-1093545.0,60294123520.0
96,-1248237.0,79363457024.0
97,-1171524.0,66132574208.0
98,-978978.0,51112304640.0
99,-1117911.0,59009748992.0
100,-1241430.0,74175913984.0
101,-1301113.0,73236193280.0
102,-1220130.0,64937717760.0
103,-864367.0,36776177664.0
104,-1211658.0,66772955136.0
105,-1024256.0,46602719232.0
106,-951603.0,45170651136.0
107,-1029996.0,47156494336.0
108,-1398219.0,73934422016.0
109,-1251445.0,68825047040.0
110,-740205.0,25390643200.0
111,-1055026.0,47851974656.0
112,-1127531.0,52459929600.0
113,-923057.0,40066289664.0
114,-866732.0,34619219968.0
115,-1062971.0,56588402688.0
116,-896628.0,30952556544.0
117,-1108110.0,52107702272.0
118,-846053.0,29537853440.0
119,-890151.0,32467939328.0
120,-901263.0,32921042944.0
121,-794604.0,29593466880.0
122,-989399.0,41609125888.0
123,-1263419.0,60332351488.0
124,-632090.0,17868210176.0
125,-898153.0,31839285248.0
126,-888299.0,35987705856.0
127,-791002.0,22573821952.0
128,-499963.0,9830611968.0
129,-561629.0,13389198336.0
130,-893174.0,30605064192.0
131,-790670.0,25524025344.0
132,-794340.0,22284822528.0
133,-493324.0,9083936768.0
134,-747624.0,21701664768.0
135,-525081.0,10836524032.0
136,-543708.0,11009750016.0
137,-591503.0,13533148160.0
138,-523895.0,11388669952.0
139,-528773.0,10839278592.0
140,-530383.0,11576923136.0
141,-796181.0,23898372096.0
142,-571565.0,11286519808.0
143,-581915.0,12573662208.0
144,-541422.0,11289294848.0
145,-818794.0,24539033600.0
146,-738484.0,20255277056.0
147,-665225.0,18692579328.0
148,-608111.0,14950771712.0
149,-506002.0,7412287488.0
150,-720053.0,18400765952.0
151,-547331.0,11279512576.0
152,-567653.0,11260090368.0
153,-552596.0,12060881920.0
154,-558198.0,11169397760.0
155,-500365.0,8970571776.0
156,-506978.0,9363300352.0
157,-481825.0,8783837184.0
158,-519577.0,9968905216.0
159,-484327.0,6884510720.0
160,-619530.0,14354414592.0
161,-609951.0,15309934592.0
162,-639844.0,16900581376.0
163,-609859.0,14400664576.0
164,-533062.0,10717186048.0
165,-523591.0,10777014272.0
166,-526771.0,9020850176.0
167,-464003.0,8299669504.0
168,-506978.0,9360235520.0
169,-455293.0,7748795904.0
170,-546267.0,11133352960.0
171,-477142.0,8525986304.0
172,-481825.0,8779149312.0
173,-584271.0,11666191360.0
174,-497982.0,8847766528.0
175,-520912.0,10102755328.0
176,-455293.0,7609892352.0
177,-455293.0,7609814528.0
178,-546267.0,10734878720.0
179,-572900.0,10877947904.0
180,-492446.0,8851983360.0
181,-546057.0,11975919616.0
182,-455060.0,7743216128.0
183,-422104.0,6594997248.0
184,-455293.0,7609247744.0
185,-455293.0,7609163776.0
186,-394552.0,5767164416.0
187,-468680.0,8015175168.0
188,-455293.0,7676841472.0
189,-455293.0,7608820736.0
190,-455104.0,7529081344.0
191,-390354.0,5720466432.0
192,-546267.0,10639030272.0
193,-477142.0,8601782272.0
194,-475057.0,8358195200.0
195,-455293.0,7676216832.0
196,-455293.0,7608189440.0
197,-455293.0,7608096256.0
198,-478881.0,8476321280.0
199,-386300.0,5353152512.0
200,-455293.0,7607810560.0
201,-457405.0,7664125440.0
202,-459095.0,7435355136.0
203,-455293.0,7607517696.0
204,-455293.0,7607419392.0
205,-455293.0,7607319552.0
206,-455293.0,7675135488.0
207,-437029.0,5901981696.0
208,-455293.0,7607014912.0
209,-426653.0,6492033024.0
210,-455293.0,7674732032.0
211,-455293.0,7606704640.0
212,-455293.0,7674509824.0
213,-451103.0,7617659392.0
214,-455293.0,7606386688.0
215,-455293.0,7606279168.0
216,-455293.0,7606170624.0
217,-455293.0,7606061056.0
218,-455293.0,7605950976.0
219,-479036.0,8345610240.0
220,-455293.0,7673631744.0
221,-455293.0,7605616640.0
222,-455293.0,7605502976.0
223,-455293.0,7605389312.0
224,-455293.0,7673171456.0
225,-455293.0,7605157888.0
226,-455293.0,7605042176.0
227,-455293.0,7604924416.0
228,-455293.0,7604805632.0
229,-455293.0,7672592384.0
230,-455293.0,7604567040.0
231,-455293.0,7604446208.0
232,-455293.0,7604323840.0
233,-455293.0,7672089600.0
234,-506978.0,9188633600.0
235,-455293.0,7603954688.0
236,-455293.0,7603830784.0
237,-455293.0,7603703808.0
238,-455293.0,7603576832.0
239,-455293.0,7603449856.0
240,-455293.0,7603320832.0
241,-455293.0,7603190784.0
242,-455293.0,7603061760.0
243,-455293.0,7602930688.0
244,-455293.0,7602798592.0
245,-455293.0,7602665472.0
246,-455293.0,7602532352.0
247,-455293.0,7602397696.0
248,-455293.0,7602262528.0
249,-455293.0,7602125824.0
250,-455293.0,7601989632.0
251,-455293.0,7601851392.0
252,-365681.0,4972063232.0
253,-455293.0,7601572352.0
254,-455293.0,7601431552.0
255,-455293.0,7601289728.0
256,-455293.0,7601147904.0
257,-455293.0,7601004544.0
258,-455293.0,7600860160.0
259,-455293.0,7600714752.0
260,-455293.0,7600569344.0
261,-455293.0,7600421888.0
262,-455293.0,7600273408.0
263,-455293.0,7600124928.0
264,-455293.0,7599975424.0
265,-455293.0,7599824896.0
266,-455293.0,7599672320.0
267,-455293.0,7599520768.0
268,-455293.0,7599367168.0
269,-455293.0,7599212544.0
270,-455293.0,7599056896.0
271,-455293.0,7598900736.0
272,-455293.0,7598743552.0
273,-455293.0,7598585856.0
274,-455293.0,7598426112.0
275,-455293.0,7598266368.0
276,-455293.0,7598105600.0
277,-455293.0,7597943808.0
278,-455293.0,7597779968.0
279,-455293.0,7597616640.0
280,-455293.0,7597451264.0
281,-455293.0,7597285888.0
282,-455293.0,7597119488.0
283,-455293.0,7596951552.0
284,-455293.0,7596782080.0
285,-455293.0,7596612608.0
286,-455293.0,7596441600.0
287,-455293.0,7596270592.0
288,-455293.0,7596097024.0
289,-455293.0,7595923968.0
290,-455293.0,7595748864.0
291,-455293.0,7595573248.0
292,-455293.0,7595396096.0
293,-455293.0,7595218432.0
294,-455293.0,7595039744.0
295,-455293.0,7594859520.0
296,-455293.0,7594679296.0
297,-455293.0,7594497024.0
298,-455293.0,7594313728.0
299,-455293.0,7594129408.0
300,-455293.0,7593944064.0
301,-455293.0,7593757696.0
302,-455293.0,7593570304.0
303,-455293.0,7593381888.0
304,-455293.0,7593192960.0
305,-455293.0,7593003008.0
306,-455293.0,7592810496.0
307,-455293.0,7592617472.0
308,-455293.0,7592422912.0
309,-455293.0,7592227328.0
310,-455293.0,7592031232.0
311,-455293.0,7591834624.0
312,-455293.0,7591634944.0
313,-455293.0,7591435264.0
314,-455293.0,7591234560.0
315,-455293.0,7591031808.0
316,-455293.0,7590828544.0
317,-455293.0,7590623744.0
318,-455293.0,7590417920.0
319,-455293.0,7590211584.0
320,-455293.0,7590002688.0
321,-455293.0,7589793792.0
322,-455293.0,7589582848.0
323,-455293.0,7589370880.0
324,-455293.0,7589157888.0
325,-455293.0,7588943360.0
326,-455293.0,7588727808.0
327,-455293.0,7588510208.0
328,-455293.0,7588292608.0
329,-455293.0,7588073472.0
330,-455293.0,7587852288.0
331,-455293.0,7587630080.0
332,-455293.0,7587407872.0
333,-455293.0,7587183616.0
334,-455293.0,7586957824.0
335,-455293.0,7586731008.0
336,-455293.0,7586502656.0
337,-455293.0,7586273792.0
338,-455293.0,7586042880.0
339,-455293.0,7585810432.0
340,-455293.0,7585577984.0
341,-455293.0,7585343488.0
342,-455293.0,7585107456.0
343,-455293.0,7584870400.0
344,-455293.0,7584631808.0
345,-455293.0,7584392192.0
346,-455293.0,7584152576.0
347,-455293.0,7583909888.0
348,-455293.0,7583666688.0
349,-455293.0,7583421952.0
350,-455293.0,7583175680.0
351,-455293.0,7582928384.0
352,-455293.0,7582680064.0
353,-455293.0,7582430208.0
354,-455293.0,7582179328.0
355,-455293.0,7581926912.0
356,-455293.0,7581673472.0
357,-455293.0,7581418496.0
358,-455293.0,7581161472.0
359,-455293.0,7580904448.0
360,-455293.0,7580645376.0
361,-455293.0,7580386304.0
362,-455293.0,7580124160.0
363,-455293.0,7579861504.0
364,-455293.0,7579597312.0
365,-455293.0,7579331584.0
366,-455293.0,7579065856.0
367,-455293.0,7578796544.0
368,-455293.0,7578527744.0
369,-455293.0,7578256896.0
370,-455293.0,7577985024.0
371,-455293.0,7577712128.0
372,-455293.0,7577437184.0
373,-455293.0,7577161216.0
374,-455293.0,7576884224.0
375,-455293.0,7576605696.0
376,-455293.0,7576326144.0
377,-455293.0,7576044544.0
378,-455293.0,7575761920.0
379,-455293.0,7575478272.0
380,-455293.0,7575193600.0
381,-455293.0,7574906368.0
382,-455293.0,7574618112.0
383,-455293.0,7574329344.0
384,-455293.0,7574038528.0
385,-455293.0,7573746688.0
386,-455293.0,7573453824.0
387,-455293.0,7573158912.0
388,-455293.0,7572862976.0
389,-455293.0,7572566016.0
390,-455293.0,7572267008.0
391,-455293.0,7571968000.0
392,-455293.0,7571664896.0
393,-455293.0,7571363840.0
394,-455293.0,7571059712.0
395,-455293.0,7570754560.0
396,-455293.0,7570446336.0
397,-455293.0,7570139136.0
398,-455293.0,7569829376.0
399,-455293.0,7569518592.0
400,-455293.0,7569206272.0
401,-455293.0,7568892928.0
402,-455293.0,7568577536.0
403,-455293.0,7568261120.0
404,-455293.0,7567943680.0
405,-455293.0,7567623680.0
406,-455293.0,7567303680.0
407,-455293.0,7566982144.0
408,-455293.0,7566659072.0
409,-455293.0,7566333952.0
410,-455293.0,7566008320.0
411,-455293.0,7565680128.0
412,-455293.0,7565351424.0
413,-455293.0,7565021184.0
414,-455293.0,7564689408.0
415,-455293.0,7564356096.0
416,-455293.0,7564022272.0
417,-455293.0,7563685888.0
418,-455293.0,7563348992.0
419,-455293.0,7563010048.0
420,-455293.0,7562670080.0
421,-455293.0,7562328064.0
422,-455293.0,7561985536.0
423,-455293.0,7561641472.0
424,-455293.0,7561294848.0
425,-455293.0,7560947712.0
426,-455293.0,7560599552.0
427,-455293.0,7560248832.0
428,-455293.0,7559897088.0
429,-455293.0,7559544832.0
430,-455293.0,7559190528.0
431,-455293.0,7558834176.0
432,-455293.0,7558476800.0
433,-455293.0,7558118400.0
434,-455293.0,7557757952.0
435,-455293.0,7557396480.0
436,-455293.0,7557032960.0
437,-455293.0,7556668416.0
438,-455293.0,7556302848.0
439,-455293.0,7555935232.0
440,-455293.0,7555566080.0
441,-455293.0,7555195904.0
442,-455293.0,7554824192.0
443,-455293.0,7554451456.0
444,-455293.0,7554075648.0
445,-455293.0,7553699840.0
446,-455293.0,7553321472.0
447,-455293.0,7552943104.0
448,-455293.0,7552562176.0
449,-455293.0,7552179200.0
450,-455293.0,7551795200.0
451,-455293.0,7551411200.0
452,-455293.0,7551024128.0
453,-455293.0,7550636032.0
454,-455293.0,7550246400.0
455,-455293.0,7549855744.0
456,-455293.0,7549462528.0
457,-455293.0,7549069312.0
458,-455293.0,7548672512.0
459,-455293.0,7548275712.0
460,-455293.0,7547877376.0
461,-455293.0,7547476480.0
462,-455293.0,7547075072.0
463,-455293.0,7546671616.0
464,-455293.0,7546266624.0
465,-455293.0,7545861120.0
466,-455293.0,7545452544.0
467,-455293.0,7545043968.0
468,-455293.0,7544632832.0
469,-455293.0,7544219648.0
470,-455293.0,7543806464.0
471,-455293.0,7543391232.0
472,-455293.0,7542974464.0
