episode,total_reward,loss
1,-1223588.0,104136990720.0
2,-1091117.0,76795281408.0
3,-1123649.0,74641104896.0
4,-1408200.0,112233209856.0
5,-1095908.0,66090897408.0
6,-1173146.0,82224914432.0
7,-1380184.0,114011168768.0
8,-1387542.0,121072156672.0
9,-1067235.0,74411261952.0
10,-1729778.0,185548587008.0
11,-1223133.0,90331291648.0
12,-1243118.0,90865172480.0
13,-1313096.0,105953329152.0
14,-1223662.0,95085912064.0
15,-1227865.0,92797140992.0
16,-957058.0,60452454400.0
17,-1240054.0,93047488512.0
18,-900743.0,51774439424.0
19,-1380837.0,112951189504.0
20,-1249673.0,98157207552.0
21,-1722624.0,178264604672.0
22,-1245758.0,103310770176.0
23,-1432518.0,124008898560.0
24,-1283722.0,88158158848.0
25,-1126324.0,90506387456.0
26,-1299340.0,90023510016.0
27,-1290376.0,94351286272.0
28,-1253211.0,104114282496.0
29,-1335667.0,117448515584.0
30,-1496897.0,147771080704.0
31,-1282761.0,80923656192.0
32,-1486089.0,127824879616.0
33,-1432784.0,109686349824.0
34,-1439697.0,118802817024.0
35,-1446733.0,107616370688.0
36,-1523291.0,129424982016.0
37,-1634701.0,160132857856.0
38,-1353535.0,115307659264.0
39,-1305028.0,96462544896.0
40,-1187204.0,74664640512.0
41,-1503739.0,124683714560.0
42,-1062599.0,63789871104.0
43,-928118.0,41048793088.0
44,-1143737.0,68266393600.0
45,-1328655.0,111883493376.0
46,-1339689.0,92977807360.0
47,-1103418.0,67525763072.0
48,-1216108.0,76426215424.0
49,-864658.0,43692675072.0
50,-1015174.0,55223275520.0
51,-1156504.0,72299110400.0
52,-872870.0,39548899328.0
53,-895919.0,53518942208.0
54,-1168989.0,73495486464.0
55,-1116670.0,66683523072.0
56,-1079067.0,67973931008.0
57,-1481320.0,123410055168.0
58,-777785.0,36239794176.0
59,-769954.0,36089974784.0
60,-953726.0,47761854464.0
61,-1007298.0,54430388224.0
62,-983856.0,50466324480.0
63,-938714.0,41847627776.0
64,-1009976.0,67218993152.0
65,-830468.0,36270338048.0
66,-1063687.0,61855100928.0
67,-993566.0,45786525696.0
68,-1039260.0,63588098048.0
69,-1105179.0,55606480896.0
70,-895358.0,47432269824.0
71,-1094741.0,51161051136.0
72,-1076545.0,52817752064.0
73,-1059392.0,60323446784.0
74,-1148313.0,61677289472.0
75,-761677.0,29409302528.0
76,-1331504.0,78690689024.0
77,-920368.0,45952163840.0
78,-1146766.0,69625651200.0
79,-738990.0,28462759936.0
80,-703324.0,26262646784.0
81,-848055.0,44583067648.0
82,-640710.0,24395630592.0
83,-742857.0,25503535104.0
84,-1110054.0,64255369216.0
85,-636932.0,19482228736.0
86,-726850.0,25633288192.0
87,-853779.0,38100676608.0
88,-1015110.0,52579749888.0
89,-772309.0,28203802624.0
90,-837579.0,33167480832.0
91,-661364.0,22690705408.0
92,-620334.0,17957787648.0
93,-900262.0,36754305024.0
94,-759096.0,30922342400.0
95,-644633.0,22247069696.0
96,-1058519.0,58135564288.0
97,-764926.0,29674620928.0
98,-974246.0,44848955392.0
99,-844641.0,36420980736.0
100,-759039.0,31095291904.0
101,-739158.0,27078559744.0
102,-726105.0,28000339968.0
103,-695666.0,26902743040.0
104,-857739.0,38227730432.0
105,-769893.0,35997573120.0
106,-785406.0,30326380544.0
107,-645764.0,21923756032.0
108,-693084.0,27072024576.0
109,-856623.0,35648311296.0
110,-672695.0,23964454912.0
111,-889599.0,37268738048.0
