episode,total_reward,loss
1,-964372.0,79715991552.0
2,-2127495.0,444240855040.0
3,-533302.0,21950140416.0
4,-556408.0,23612405760.0
5,-563540.0,25068488704.0
6,-499412.0,18562709504.0
7,-669643.0,32950542336.0
8,-632055.0,30765967360.0
9,-1766210.0,278713860096.0
10,-1167522.0,120861589504.0
11,-614027.0,29475022848.0
12,-472079.0,14841282560.0
13,-851474.0,59900456960.0
14,-526379.0,20279955456.0
15,-564848.0,24932110336.0
16,-493246.0,17852317696.0
17,-1140825.0,111328624640.0
18,-470281.0,15106540544.0
19,-434357.0,13443230720.0
20,-541779.0,21167190016.0
21,-550548.0,21914959872.0
22,-1246381.0,149047623680.0
23,-439667.0,13794473984.0
24,-457844.0,15548206080.0
25,-1092759.0,103808663552.0
26,-578226.0,25366020096.0
27,-503807.0,19190200320.0
28,-523599.0,18792898560.0
29,-616560.0,28552390656.0
30,-1133733.0,125618667520.0
31,-1515956.0,226735292416.0
32,-373634.0,9253925888.0
33,-555812.0,22238091264.0
34,-446257.0,13762074624.0
35,-443088.0,15217035264.0
36,-489922.0,15900641280.0
37,-761550.0,51477880832.0
38,-590273.0,26164637696.0
39,-846087.0,65696407552.0
40,-1447720.0,197911871488.0
41,-990312.0,82991742976.0
42,-1738005.0,315010711552.0
43,-887496.0,67022000128.0
44,-575931.0,24862930944.0
45,-643010.0,29167773696.0
46,-585344.0,26016231424.0
47,-431464.0,13730125824.0
48,-363584.0,9419984896.0
49,-537764.0,23178442752.0
50,-690708.0,40740888576.0
51,-508262.0,21200842752.0
52,-651740.0,32770304000.0
53,-511373.0,20298037248.0
54,-481902.0,17877401600.0
55,-459364.0,14858749952.0
56,-586145.0,28560193536.0
57,-608740.0,29271822336.0
58,-736388.0,47915892736.0
59,-797252.0,49862066176.0
60,-727438.0,40486215680.0
61,-617572.0,29352929280.0
62,-602195.0,29158277120.0
63,-550401.0,22340552704.0
64,-577173.0,26030446592.0
65,-581868.0,24690399232.0
66,-809785.0,58138771456.0
67,-472497.0,17551677440.0
68,-657124.0,34662973440.0
69,-453073.0,15296475136.0
70,-846316.0,61276139520.0
71,-842902.0,61610176512.0
72,-1560875.0,244631912448.0
73,-584291.0,26033391616.0
74,-622055.0,27707998208.0
75,-494189.0,18601103360.0
76,-512380.0,18423705600.0
77,-859286.0,68726169600.0
78,-569062.0,23785889792.0
79,-538211.0,23524960256.0
80,-572041.0,26806638592.0
81,-602814.0,27788916736.0
82,-675276.0,38510129152.0
83,-555150.0,24381816832.0
84,-917457.0,83979870208.0
85,-706079.0,36485091328.0
86,-611615.0,30269401088.0
87,-766147.0,49480503296.0
88,-586912.0,27783038976.0
89,-583733.0,26558517248.0
90,-585791.0,29600358400.0
91,-359591.0,9801517056.0
92,-614209.0,30071556096.0
93,-960566.0,93346029568.0
94,-799706.0,56078651392.0
95,-574467.0,24212744192.0
96,-849528.0,60620279808.0
97,-1914353.0,391204634624.0
98,-555879.0,23707406336.0
99,-562978.0,25316880384.0
100,-1004749.0,88877195264.0
101,-575939.0,24196454400.0
102,-524362.0,19374331904.0
103,-1202664.0,124572991488.0
104,-837281.0,59380842496.0
105,-410469.0,12416571392.0
106,-449232.0,14980031488.0
107,-531454.0,19665340416.0
108,-476239.0,15673924608.0
109,-1988006.0,353042333696.0
110,-435122.0,13370178560.0
111,-1190768.0,120265998336.0
112,-730587.0,43040837632.0
113,-601198.0,27232452608.0
114,-787508.0,52177510400.0
115,-482679.0,15654883328.0
116,-570714.0,21710522368.0
117,-470890.0,15315268608.0
118,-484674.0,17770917888.0
119,-405897.0,10747799552.0
120,-481928.0,14604383232.0
121,-531728.0,19351617536.0
122,-664787.0,33979162624.0
123,-655975.0,35208880128.0
124,-575127.0,24203857920.0
125,-814262.0,52995612672.0
126,-557853.0,23173482496.0
127,-621779.0,29846579200.0
128,-905804.0,73430147072.0
129,-605423.0,28001636352.0
130,-572069.0,24877316096.0
131,-406580.0,10789812224.0
132,-1224079.0,123043495936.0
133,-485653.0,17960265728.0
134,-427743.0,13124934656.0
135,-439112.0,12542282752.0
136,-489529.0,17903884288.0
137,-849459.0,64118738944.0
138,-1007544.0,90118234112.0
139,-868084.0,61080367104.0
140,-853691.0,62709919744.0
141,-594757.0,25860595712.0
