episode,total_reward,loss
1,-1798591.0,288657014784.0
2,-1272367.0,130671747072.0
3,-458095.0,15517703168.0
4,-569657.0,23178283008.0
5,-642537.0,29127989248.0
6,-519920.0,20738729984.0
7,-897807.0,61007093760.0
8,-497182.0,17969129472.0
9,-500881.0,17197115392.0
10,-625316.0,29349851136.0
11,-1043399.0,85088034816.0
12,-548215.0,23855269888.0
13,-363232.0,7869720576.0
14,-1163303.0,124275269632.0
15,-376544.0,9885680640.0
16,-482300.0,14354544640.0
17,-522917.0,19559843840.0
18,-1596469.0,206055456768.0
19,-534339.0,20155320320.0
20,-545097.0,21687908352.0
21,-873165.0,61489291264.0
22,-815369.0,49087647744.0
23,-603207.0,24223016960.0
24,-696240.0,33237118976.0
25,-626090.0,33408546816.0
26,-765002.0,47023095808.0
27,-415816.0,10925441024.0
28,-520851.0,18418120704.0
29,-1085401.0,97791836160.0
30,-1146802.0,101949259776.0
31,-746939.0,44151713792.0
32,-1038295.0,84302905344.0
33,-1040631.0,84217094144.0
34,-599987.0,28904519680.0
35,-3757777.0,1267579748352.0
36,-2048262.0,350957764608.0
37,-1486688.0,201545170944.0
38,-742681.0,43870273536.0
39,-537098.0,21031632896.0
40,-462846.0,15778434048.0
41,-1363311.0,151570612224.0
42,-668831.0,33196564480.0
43,-1206305.0,131366682624.0
44,-486559.0,15998850048.0
45,-1097757.0,92358082560.0
46,-315294.0,6157710848.0
47,-584939.0,25983117312.0
48,-450225.0,12836319232.0
49,-520278.0,18625259520.0
50,-1169593.0,108064391168.0
51,-674880.0,32563861504.0
52,-1032748.0,90197098496.0
53,-495311.0,17394315264.0
54,-1893092.0,282573275136.0
55,-429454.0,12545243136.0
56,-979368.0,73562759168.0
57,-769909.0,44465008640.0
58,-414215.0,10371718144.0
59,-1217383.0,130560139264.0
60,-1351344.0,131486146560.0
61,-1052754.0,91488387072.0
62,-746835.0,47341547520.0
63,-1393994.0,147651543040.0
64,-417164.0,10038454272.0
65,-452632.0,13056607232.0
66,-1293822.0,131436912640.0
67,-646472.0,29358972928.0
68,-368210.0,8683104256.0
69,-542471.0,19051122688.0
70,-1010062.0,77877420032.0
71,-590701.0,22712356864.0
72,-1406415.0,153968525312.0
73,-479621.0,15106145280.0
74,-1462312.0,169784442880.0
75,-492940.0,14719370240.0
76,-775438.0,39496392704.0
77,-595959.0,24203415552.0
78,-1425032.0,148199817216.0
79,-829993.0,49776459776.0
80,-388226.0,9076438016.0
81,-481706.0,14484911104.0
82,-913093.0,56579350528.0
83,-1930169.0,342094512128.0
84,-862801.0,54258892800.0
85,-1450094.0,140928614400.0
86,-1676903.0,263781367808.0
87,-2773631.0,660147666944.0
88,-332752.0,5953174016.0
89,-2496079.0,437028749312.0
90,-1738082.0,220036579328.0
91,-784428.0,37838548992.0
92,-377125.0,8419478528.0
93,-640121.0,30149482496.0
94,-529673.0,17389457408.0
95,-458530.0,14082368512.0
96,-599948.0,25444392960.0
97,-850090.0,57178337280.0
98,-1546210.0,196578230272.0
99,-535082.0,18090489856.0
100,-2135946.0,320899973120.0
101,-325436.0,5629175296.0
102,-311437.0,5896420352.0
103,-899705.0,54854762496.0
