episode,total_reward,loss
1,-116872.0,776431488.0
2,-118295.0,720749312.0
3,-115222.0,770909504.0
4,-98550.0,566855744.0
5,-115289.0,821090496.0
6,-121898.0,839634240.0
7,-117802.0,802759680.0
8,-116817.0,793301696.0
9,-117288.0,828517568.0
10,-112408.0,740601088.0
11,-121258.0,833443840.0
12,-116769.0,788261312.0
13,-102775.0,609485440.0
14,-115148.0,750221312.0
15,-116128.0,777726592.0
16,-127705.0,985510272.0
17,-103999.0,658432384.0
18,-102358.0,623950976.0
19,-119834.0,858294976.0
20,-115292.0,772980096.0
21,-111618.0,721888960.0
22,-106437.0,607960896.0
23,-122061.0,932085888.0
24,-119021.0,865118784.0
25,-127639.0,960938304.0
26,-113325.0,741400448.0
27,-115226.0,823351744.0
28,-127419.0,969497856.0
29,-119057.0,774191168.0
30,-118584.0,911469952.0
31,-127497.0,887426112.0
32,-114881.0,754966720.0
33,-108499.0,614342208.0
34,-116381.0,691949056.0
35,-100537.0,614897088.0
36,-123079.0,872671040.0
37,-120581.0,876792320.0
38,-126876.0,968753472.0
39,-107016.0,673711168.0
40,-111444.0,716431488.0
41,-113302.0,668406272.0
42,-113074.0,730362944.0
43,-110681.0,666583168.0
44,-121550.0,873888512.0
45,-128469.0,926702016.0
46,-110767.0,713087104.0
47,-122231.0,829458752.0
48,-109487.0,715832256.0
49,-102921.0,596144704.0
50,-100860.0,504788672.0
51,-113562.0,709612224.0
52,-111679.0,729527488.0
53,-111790.0,737254656.0
54,-122722.0,958064704.0
55,-108510.0,698456320.0
56,-115735.0,671356608.0
57,-111538.0,678020096.0
58,-115948.0,720523072.0
59,-115252.0,774405696.0
60,-108783.0,703125056.0
61,-103627.0,630067968.0
62,-102490.0,613827904.0
63,-126370.0,919187264.0
64,-104365.0,545673024.0
65,-126484.0,865643840.0
66,-116339.0,759689344.0
67,-115639.0,711888128.0
68,-106320.0,668754432.0
69,-114766.0,709899392.0
70,-98479.0,479723904.0
71,-107708.0,695742016.0
72,-106875.0,627397504.0
73,-114430.0,737984064.0
74,-114286.0,707309440.0
75,-107592.0,655798208.0
76,-102508.0,512734880.0
77,-117105.0,756232256.0
78,-104399.0,591036864.0
79,-114852.0,722557760.0
80,-104991.0,543064512.0
81,-97178.0,528449248.0
82,-115101.0,764377024.0
83,-107948.0,500248928.0
84,-111210.0,684724544.0
85,-111433.0,693570752.0
86,-116320.0,789111168.0
87,-106627.0,554845504.0
88,-108970.0,662429184.0
89,-96452.0,453532768.0
90,-108390.0,661263232.0
91,-103222.0,533105376.0
92,-107621.0,630141184.0
93,-115668.0,693716224.0
94,-103355.0,518951200.0
95,-108613.0,638194432.0
96,-110061.0,627850496.0
97,-104249.0,553777408.0
98,-99379.0,516247808.0
99,-113305.0,679863744.0
100,-103553.0,499810848.0
101,-100580.0,473208576.0
102,-107219.0,531028032.0
103,-93040.0,426256640.0
104,-107995.0,622028672.0
105,-118988.0,755694976.0
106,-116493.0,645178496.0
107,-97953.0,426664928.0
108,-99506.0,523185536.0
109,-93815.0,400832128.0
110,-99717.0,489503232.0
111,-92658.0,439891776.0
112,-99773.0,489736160.0
113,-88661.0,395667360.0
114,-101094.0,520992704.0
115,-93182.0,384497216.0
116,-95766.0,368381088.0
117,-97991.0,481988672.0
118,-105487.0,475074272.0
119,-99022.0,425107840.0
120,-95978.0,412670784.0
121,-100128.0,492311072.0
122,-99580.0,455878080.0
123,-99855.0,373126976.0
124,-97204.0,391260736.0
125,-98365.0,422954592.0
126,-104655.0,526927648.0
127,-81882.0,312341440.0
128,-96859.0,405230528.0
129,-101993.0,491604416.0
130,-81511.0,303566432.0
131,-103205.0,506084256.0
132,-94257.0,400986208.0
133,-99073.0,438100768.0
134,-92759.0,392137824.0
135,-88531.0,343938912.0
136,-82767.0,306964576.0
137,-96653.0,445528160.0
138,-93166.0,408332352.0
139,-103175.0,499096576.0
140,-91171.0,359370464.0
141,-100374.0,416406176.0
142,-80482.0,265523120.0
143,-96654.0,387064832.0
144,-85994.0,310505600.0
145,-83480.0,297997920.0
146,-94339.0,377485440.0
147,-84907.0,284057312.0
148,-83974.0,278225792.0
149,-84526.0,297697344.0
150,-86535.0,302777216.0
151,-84492.0,278693024.0
152,-88550.0,311192224.0
153,-85000.0,296617120.0
154,-86887.0,294060736.0
155,-92610.0,394505024.0
156,-96027.0,422992672.0
157,-94077.0,359925216.0
158,-87547.0,335134816.0
159,-99630.0,438563296.0
160,-87756.0,299022592.0
161,-86973.0,318160736.0
162,-90133.0,345356128.0
163,-96199.0,405423808.0
164,-90627.0,338175680.0
165,-87284.0,298549024.0
166,-89895.0,331901088.0
167,-87662.0,320496608.0
168,-82598.0,284038784.0
169,-89124.0,324053056.0
170,-87802.0,328210336.0
171,-81206.0,259895040.0
172,-77216.0,241912080.0
173,-82003.0,260717120.0
174,-84596.0,289606592.0
175,-87556.0,299602016.0
176,-89641.0,319832832.0
177,-83502.0,279658528.0
178,-83470.0,286383264.0
179,-87106.0,299393696.0
180,-79661.0,253000720.0
181,-89058.0,312479392.0
182,-82809.0,270830592.0
183,-85926.0,297356672.0
184,-87039.0,316573056.0
185,-76556.0,219011120.0
186,-76845.0,226032800.0
187,-89575.0,315586336.0
188,-91172.0,313219232.0
189,-88527.0,304876928.0
190,-84473.0,260175216.0
191,-79982.0,229211088.0
192,-80337.0,225570448.0
193,-80738.0,242754832.0
194,-88735.0,290142720.0
195,-80533.0,235810912.0
196,-83455.0,272983552.0
197,-86046.0,271571904.0
198,-80780.0,227154192.0
199,-83725.0,248023728.0
200,-76495.0,204014688.0
201,-79509.0,224880912.0
202,-82468.0,241316656.0
203,-78027.0,220066640.0
204,-78288.0,230590864.0
205,-83433.0,252285152.0
206,-83449.0,248083280.0
207,-80310.0,225676480.0
208,-84260.0,264211488.0
209,-79662.0,226680176.0
210,-78080.0,215736288.0
211,-81429.0,235535744.0
212,-76883.0,205909552.0
213,-79917.0,233449952.0
214,-73111.0,184002320.0
215,-79371.0,227878048.0
216,-90111.0,279807360.0
217,-76352.0,204477024.0
218,-79601.0,223442832.0
219,-76420.0,204774992.0
220,-81391.0,244534768.0
221,-75229.0,194390592.0
222,-75235.0,197832464.0
223,-89303.0,305357408.0
224,-83400.0,251671776.0
225,-80140.0,224199776.0
226,-80141.0,233311984.0
227,-77399.0,214410144.0
228,-78259.0,217124912.0
229,-79510.0,220101952.0
230,-79360.0,225395760.0
231,-83378.0,246599296.0
232,-79233.0,227396944.0
233,-78892.0,218198240.0
234,-81830.0,244851728.0
235,-86400.0,276218016.0
236,-84422.0,251120128.0
237,-86564.0,276591968.0
238,-81547.0,232958368.0
239,-73453.0,190991104.0
240,-77329.0,210297280.0
241,-79609.0,240496528.0
242,-80607.0,235002720.0
243,-70528.0,167574096.0
244,-78950.0,215592944.0
245,-74589.0,192395664.0
246,-75941.0,201008496.0
247,-76366.0,208323312.0
248,-75790.0,204687664.0
249,-74581.0,202167952.0
250,-78361.0,225143792.0
251,-75588.0,198415872.0
252,-74258.0,191296400.0
253,-82804.0,245047456.0
254,-72820.0,189928448.0
255,-87136.0,269833216.0
256,-78826.0,217421312.0
257,-74921.0,193116512.0
258,-85268.0,258354384.0
259,-81659.0,233413312.0
260,-73553.0,185328448.0
261,-76485.0,198710576.0
262,-79050.0,222864912.0
263,-76039.0,196545808.0
264,-75213.0,203290528.0
265,-75694.0,197318752.0
266,-76039.0,194933072.0
267,-76784.0,205044816.0
268,-73419.0,190275248.0
269,-78105.0,209846320.0
270,-75618.0,195753152.0
271,-75686.0,198419504.0
272,-85346.0,262619120.0
273,-77535.0,205701600.0
274,-72366.0,184316672.0
275,-76642.0,204450368.0
276,-75909.0,194080768.0
277,-76692.0,207329120.0
278,-77743.0,208290576.0
279,-76531.0,203087712.0
280,-80067.0,221359120.0
281,-80724.0,228947536.0
282,-77649.0,210271744.0
283,-77494.0,208196784.0
284,-83172.0,243294432.0
285,-79980.0,222361168.0
286,-75909.0,193937488.0
287,-75909.0,193922720.0
288,-77743.0,206468608.0
289,-77469.0,204880832.0
290,-78552.0,212710352.0
291,-77787.0,208324288.0
292,-75909.0,193847568.0
293,-72642.0,182905152.0
294,-75909.0,193816944.0
295,-76198.0,198771168.0
296,-73352.0,185863664.0
297,-75391.0,193259024.0
298,-78303.0,208589328.0
299,-75909.0,195301312.0
300,-78577.0,214448864.0
301,-75909.0,193707120.0
302,-75497.0,195779648.0
303,-75909.0,193675024.0
304,-75909.0,193658848.0
305,-75909.0,193642544.0
306,-75909.0,193626192.0
307,-76488.0,198426560.0
308,-75909.0,193593232.0
309,-75909.0,195137744.0
310,-76276.0,196405200.0
311,-75909.0,193543136.0
312,-73352.0,185607456.0
313,-75909.0,193509328.0
314,-75909.0,193492288.0
315,-75909.0,193475184.0
316,-75909.0,193457952.0
317,-75909.0,193440656.0
318,-75391.0,192910160.0
319,-75968.0,194263360.0
320,-75909.0,193388256.0
321,-75909.0,193370624.0
322,-75909.0,193352896.0
323,-75909.0,193335072.0
324,-75909.0,193317168.0
325,-75909.0,193299168.0
326,-75909.0,193281088.0
327,-75909.0,193262912.0
328,-75909.0,193244672.0
329,-75909.0,193226304.0
330,-75909.0,193207888.0
331,-75909.0,193189360.0
332,-75909.0,193170752.0
333,-75909.0,193152064.0
334,-76344.0,196386464.0
