episode,total_reward,loss
1,-105921.0,683040128.0
2,-105364.0,675992704.0
3,-96944.0,576936064.0
4,-116600.0,832946816.0
5,-97715.0,478097088.0
6,-107227.0,747984000.0
7,-116016.0,929236672.0
8,-123564.0,827700544.0
9,-134787.0,1079677440.0
10,-111840.0,868851392.0
11,-107648.0,731964288.0
12,-126092.0,990942144.0
13,-99022.0,569909056.0
14,-115093.0,854951808.0
15,-94032.0,513191616.0
16,-103859.0,618023808.0
17,-113912.0,804550144.0
18,-110762.0,638387008.0
19,-117354.0,794744640.0
20,-121868.0,939484416.0
21,-116272.0,867370304.0
22,-107212.0,735469120.0
23,-116092.0,878807424.0
24,-106258.0,678576512.0
25,-103375.0,648172608.0
26,-93177.0,579696768.0
27,-101426.0,611412928.0
28,-106729.0,711547968.0
29,-94132.0,514830208.0
30,-100789.0,642829440.0
31,-115493.0,750320000.0
32,-98824.0,592331456.0
33,-101958.0,704411968.0
34,-101537.0,655614272.0
35,-101753.0,603895936.0
36,-107465.0,721780928.0
37,-115272.0,910837504.0
38,-126449.0,970923264.0
39,-125429.0,970325184.0
40,-104658.0,640307264.0
41,-132012.0,1064920320.0
42,-100899.0,643953856.0
43,-116273.0,861735040.0
44,-116438.0,796164288.0
45,-109115.0,709713088.0
46,-108896.0,750241856.0
47,-99663.0,636200320.0
48,-107772.0,711141120.0
49,-98584.0,478679360.0
50,-97689.0,640462080.0
51,-107231.0,677896384.0
52,-104606.0,628568384.0
53,-112874.0,755578240.0
54,-128566.0,1184497792.0
55,-133539.0,1053269376.0
56,-100822.0,593102656.0
57,-99936.0,538631232.0
58,-104774.0,590322304.0
59,-108970.0,746429952.0
60,-101602.0,652650560.0
61,-99468.0,628600000.0
62,-104237.0,740310400.0
63,-111301.0,783973888.0
64,-127806.0,1165221504.0
65,-121627.0,732447360.0
66,-110255.0,719994368.0
67,-106825.0,766356288.0
68,-130139.0,1018000768.0
69,-106847.0,677978240.0
70,-127096.0,969019776.0
71,-101466.0,656774656.0
72,-107191.0,714693312.0
73,-127878.0,1091201664.0
74,-104135.0,637608192.0
75,-126709.0,972990720.0
76,-112948.0,760192576.0
77,-104950.0,571945408.0
78,-110800.0,761026368.0
79,-115877.0,834275392.0
80,-108892.0,553553728.0
81,-123860.0,989960512.0
82,-116989.0,817780480.0
83,-110598.0,701020352.0
84,-94653.0,445515520.0
85,-120830.0,899041280.0
86,-111849.0,732660608.0
87,-121201.0,971174336.0
88,-117579.0,919683712.0
89,-82791.0,378598208.0
90,-100153.0,527788160.0
91,-105936.0,660842240.0
92,-111508.0,792233920.0
93,-119978.0,848309120.0
94,-110472.0,611390336.0
95,-121855.0,941229504.0
96,-111307.0,825160960.0
97,-124669.0,860500992.0
98,-96319.0,628082304.0
99,-109232.0,705318720.0
100,-112053.0,784118144.0
101,-111254.0,696070784.0
102,-96812.0,532475968.0
103,-91373.0,364026272.0
104,-87018.0,442395296.0
105,-118029.0,843963456.0
106,-94973.0,518138336.0
107,-115275.0,788852352.0
108,-103109.0,594641536.0
109,-109226.0,785881856.0
110,-106659.0,492156608.0
111,-118335.0,726225984.0
112,-100184.0,599593408.0
113,-99158.0,436674592.0
114,-116315.0,723987456.0
115,-115998.0,756300096.0
116,-95662.0,444207200.0
117,-97956.0,492275712.0
118,-95710.0,524938240.0
119,-102420.0,507039104.0
120,-86162.0,352058208.0
121,-86460.0,377251360.0
122,-109505.0,586620160.0
123,-86383.0,365103776.0
124,-91937.0,432262976.0
125,-104605.0,583169792.0
126,-109268.0,602684416.0
127,-87578.0,365115936.0
128,-93512.0,443279904.0
129,-105655.0,512915424.0
130,-103647.0,489565568.0
131,-98011.0,393457216.0
132,-79618.0,220782944.0
133,-86569.0,369089824.0
134,-90096.0,354970976.0
135,-88295.0,380963744.0
136,-85988.0,347358112.0
137,-75007.0,264937696.0
138,-94758.0,375349504.0
139,-80711.0,311822400.0
140,-87169.0,342096608.0
141,-72447.0,219122160.0
142,-89470.0,369823424.0
143,-88912.0,316474528.0
144,-90512.0,366056864.0
145,-75642.0,264200256.0
146,-83886.0,323339776.0
147,-83291.0,318947072.0
148,-87544.0,336792000.0
149,-97717.0,363384896.0
150,-76625.0,221860448.0
151,-77183.0,243673376.0
152,-72341.0,206753232.0
153,-78734.0,205714960.0
154,-67879.0,183609712.0
155,-87764.0,291695968.0
156,-89093.0,332131136.0
157,-86282.0,281555520.0
158,-92157.0,354069408.0
159,-69868.0,181852384.0
160,-71392.0,198623584.0
161,-71151.0,202211168.0
162,-70889.0,196445840.0
163,-80417.0,236258672.0
164,-76190.0,216663568.0
165,-69337.0,160690464.0
166,-79981.0,232922288.0
167,-71979.0,214207376.0
168,-77344.0,256014416.0
169,-74985.0,229049280.0
170,-71279.0,196361184.0
171,-69049.0,192883216.0
172,-64148.0,150885248.0
173,-81845.0,238574448.0
174,-69587.0,165579968.0
175,-73187.0,218504752.0
176,-83599.0,263805424.0
177,-69897.0,196210848.0
178,-82005.0,251578016.0
179,-80451.0,234756192.0
180,-86689.0,273866304.0
181,-77153.0,209925744.0
182,-73373.0,186656112.0
183,-80263.0,233226368.0
184,-80644.0,229737936.0
185,-76944.0,212432320.0
186,-67491.0,178762256.0
187,-80490.0,222205552.0
188,-70397.0,188372960.0
189,-66402.0,164789664.0
190,-67461.0,146634928.0
191,-77354.0,222902880.0
192,-74905.0,211225152.0
193,-74022.0,207434880.0
194,-74351.0,209057952.0
195,-71380.0,205466320.0
196,-85064.0,273269536.0
197,-70894.0,194492896.0
198,-76952.0,216593088.0
199,-69947.0,182328192.0
200,-65854.0,165158592.0
201,-67454.0,154699056.0
202,-63567.0,153275232.0
203,-66123.0,166893744.0
204,-78612.0,239341968.0
205,-64745.0,149755280.0
206,-74814.0,202863664.0
207,-76488.0,202984224.0
208,-67666.0,153362368.0
209,-76181.0,211075120.0
210,-77121.0,209221424.0
211,-80382.0,231701408.0
212,-65908.0,166011952.0
213,-77121.0,209194768.0
214,-66108.0,155779600.0
215,-72408.0,197875280.0
216,-61879.0,135577712.0
217,-71057.0,186630128.0
218,-69208.0,162790576.0
219,-71057.0,185070448.0
220,-69947.0,183772736.0
221,-67461.0,144128224.0
222,-68276.0,167425840.0
223,-74022.0,203648080.0
224,-73549.0,192786240.0
225,-82794.0,237300016.0
226,-75909.0,194718752.0
227,-67461.0,144080560.0
228,-70894.0,194217248.0
229,-72818.0,195689728.0
230,-68276.0,167356784.0
231,-65854.0,163410496.0
232,-71117.0,177512416.0
233,-72818.0,195650016.0
234,-71057.0,186474144.0
235,-75909.0,194633584.0
236,-68276.0,167302480.0
237,-71117.0,177464496.0
238,-80326.0,237593632.0
239,-67454.0,154389408.0
240,-72818.0,195577968.0
241,-68276.0,167255584.0
242,-64745.0,149463424.0
243,-80737.0,229158384.0
244,-72818.0,195535328.0
245,-70894.0,195740960.0
246,-68276.0,167207168.0
247,-65680.0,164271136.0
248,-64745.0,149408880.0
249,-69208.0,162503248.0
250,-65198.0,151147952.0
251,-71057.0,184759888.0
252,-61879.0,135268496.0
253,-78880.0,214037728.0
254,-71804.0,189083568.0
255,-80326.0,237391696.0
256,-72408.0,197436784.0
257,-65232.0,160382288.0
258,-71057.0,184682976.0
259,-78880.0,213963344.0
260,-65854.0,163112656.0
261,-67461.0,143772080.0
262,-72408.0,197362352.0
263,-71057.0,184625968.0
264,-67461.0,143741552.0
265,-69947.0,181656752.0
266,-66108.0,153938416.0
267,-67454.0,154105952.0
268,-68276.0,166974992.0
269,-71057.0,184555168.0
270,-69208.0,162273568.0
271,-72818.0,195217440.0
272,-72818.0,195204624.0
273,-70356.0,154241696.0
274,-61879.0,135041600.0
275,-65854.0,162936240.0
276,-67461.0,143613808.0
277,-71057.0,184456896.0
278,-75909.0,194152128.0
279,-61879.0,134985792.0
280,-68859.0,147687296.0
281,-64745.0,149070096.0
282,-72408.0,197094080.0
283,-77121.0,208395344.0
284,-72818.0,195045120.0
285,-67461.0,143512064.0
286,-70894.0,193522528.0
287,-78880.0,213578496.0
288,-77121.0,208324160.0
289,-68276.0,166723296.0
290,-65680.0,163774880.0
291,-67454.0,153822240.0
292,-65232.0,159944128.0
293,-70894.0,193421424.0
294,-68276.0,166658864.0
295,-66108.0,153591264.0
296,-61879.0,134783840.0
297,-67461.0,143368192.0
298,-75909.0,193883200.0
299,-65232.0,159845632.0
300,-69208.0,161892704.0
301,-77121.0,208129712.0
