episode,total_reward,avg_reward_per_decision,epsilon
1,-347077.0,-4820.5139,0.997
2,-312864.0,-4227.8919,0.994
3,-330384.0,-4788.1739,0.991
4,-314006.0,-4422.6197,0.9881
5,-360293.0,-5147.0429,0.9851
6,-346917.0,-5256.3182,0.9821
7,-333772.0,-4635.7222,0.9792
8,-350046.0,-5385.3231,0.9763
9,-331023.0,-4797.4348,0.9733
10,-348230.0,-4974.7143,0.9704
11,-357278.0,-4894.2192,0.9675
12,-331182.0,-4536.7397,0.9646
13,-382738.0,-5242.9863,0.9617
14,-373106.0,-5740.0923,0.9588
15,-322892.0,-4484.6111,0.9559
16,-344072.0,-4468.4675,0.9531
17,-314587.0,-4430.8028,0.9502
18,-312459.0,-4280.2603,0.9474
19,-310464.0,-4372.7324,0.9445
20,-316497.0,-4586.913,0.9417
21,-326300.0,-4531.9444,0.9389
22,-299362.0,-3887.8182,0.936
23,-350986.0,-4943.4648,0.9332
24,-347765.0,-4636.8667,0.9304
25,-326746.0,-4602.0563,0.9276
26,-332493.0,-4818.7391,0.9249
27,-341821.0,-4747.5139,0.9221
28,-331185.0,-4415.8,0.9193
29,-344943.0,-4790.875,0.9166
30,-331200.0,-4536.9863,0.9138
31,-328446.0,-4499.2603,0.9111
32,-341479.0,-4614.5811,0.9083
33,-318893.0,-4368.3973,0.9056
34,-341026.0,-4671.589,0.9029
35,-298164.0,-3923.2105,0.9002
36,-341136.0,-5016.7059,0.8975
37,-352013.0,-4889.0694,0.8948
38,-359125.0,-5130.3571,0.8921
39,-332029.0,-4427.0533,0.8894
40,-350345.0,-4734.3919,0.8868
41,-363644.0,-4981.4247,0.8841
42,-354858.0,-4861.0685,0.8814
43,-303904.0,-4404.4058,0.8788
44,-321248.0,-4226.9474,0.8762
45,-346237.0,-4946.2429,0.8735
46,-289993.0,-3766.1429,0.8709
47,-306628.0,-4034.5789,0.8683
48,-356614.0,-5094.4857,0.8657
49,-309458.0,-4298.0278,0.8631
50,-367934.0,-4905.7867,0.8605
51,-365771.0,-4876.9467,0.8579
52,-322080.0,-4352.4324,0.8554
53,-323269.0,-4144.4744,0.8528
54,-355179.0,-4553.5769,0.8502
55,-361904.0,-5026.4444,0.8477
56,-345790.0,-4549.8684,0.8451
57,-300988.0,-3960.3684,0.8426
58,-345477.0,-4545.75,0.8401
59,-300694.0,-3806.2532,0.8376
60,-337837.0,-4565.3649,0.835
61,-319314.0,-4041.9494,0.8325
62,-334128.0,-4125.037,0.83
63,-302333.0,-3978.0658,0.8276
64,-316682.0,-3861.9756,0.8251
65,-342180.0,-4624.0541,0.8226
