episode,total_reward,avg_reward_per_decision,epsilon
1,-354465.0,-5137.1739,0.997
2,-319722.0,-4918.8,0.994
3,-364736.0,-5363.7647,0.991
4,-340151.0,-5233.0923,0.9881
5,-344594.0,-4994.1159,0.9851
6,-345892.0,-4941.3143,0.9821
7,-373105.0,-5740.0769,0.9792
8,-316721.0,-4009.1266,0.9763
9,-331996.0,-5269.7778,0.9733
10,-337718.0,-5040.5672,0.9704
11,-338211.0,-4697.375,0.9675
12,-329919.0,-4998.7727,0.9646
13,-330661.0,-4862.6618,0.9617
14,-322684.0,-4481.7222,0.9588
15,-314426.0,-3834.4634,0.9559
16,-337745.0,-4503.2667,0.9531
17,-335801.0,-4477.3467,0.9502
18,-351326.0,-4504.1795,0.9474
19,-354790.0,-5141.8841,0.9445
20,-369681.0,-5281.1571,0.9417
21,-321308.0,-4284.1067,0.9389
22,-334267.0,-4579.0,0.936
23,-334870.0,-4853.1884,0.9332
24,-376595.0,-5705.9848,0.9304
25,-333466.0,-4330.7273,0.9276
26,-345900.0,-4941.4286,0.9249
27,-323904.0,-4498.6667,0.9221
28,-331075.0,-4798.1884,0.9193
29,-330258.0,-4403.44,0.9166
30,-313707.0,-4357.0417,0.9138
31,-322331.0,-4415.4932,0.9111
32,-315021.0,-4773.0455,0.9083
33,-344958.0,-4999.3913,0.9056
34,-364056.0,-5433.6716,0.9029
35,-362864.0,-5183.7714,0.9002
36,-371851.0,-5550.0149,0.8975
37,-317874.0,-4674.6176,0.8948
38,-311757.0,-4390.9437,0.8921
39,-336188.0,-4605.3151,0.8894
40,-320043.0,-4156.4026,0.8868
41,-378465.0,-5046.2,0.8841
42,-318811.0,-4554.4429,0.8814
43,-373683.0,-5049.7703,0.8788
44,-320152.0,-4639.8841,0.8762
45,-367690.0,-5036.8493,0.8735
46,-367744.0,-5107.5556,0.8709
47,-357489.0,-4897.1096,0.8683
48,-331763.0,-4544.6986,0.8657
49,-340071.0,-4416.5065,0.8631
50,-331938.0,-4485.6486,0.8605
51,-308648.0,-4286.7778,0.8579
52,-348496.0,-4709.4054,0.8554
53,-321599.0,-4729.3971,0.8528
54,-341832.0,-4747.6667,0.8502
55,-334148.0,-4640.9444,0.8477
56,-347811.0,-4898.7465,0.8451
57,-291109.0,-3638.8625,0.8426
58,-312477.0,-4222.6622,0.8401
59,-326863.0,-4300.8289,0.8376
60,-322518.0,-4300.24,0.835
61,-346471.0,-4682.0405,0.8325
62,-347545.0,-4290.679,0.83
63,-336313.0,-4544.7703,0.8276
64,-350869.0,-4741.473,0.8251
65,-332638.0,-4495.1081,0.8226
66,-365061.0,-4933.2568,0.8201
67,-326253.0,-4292.8026,0.8177
68,-375404.0,-5142.5205,0.8152
69,-357412.0,-4765.4933,0.8128
70,-316504.0,-3956.3,0.8103
71,-340770.0,-4668.0822,0.8079
72,-300589.0,-3710.9753,0.8055
73,-291773.0,-3839.1184,0.8031
74,-297305.0,-3497.7059,0.8006
75,-334614.0,-4289.9231,0.7982
76,-368866.0,-4853.5,0.7959
77,-339046.0,-4461.1316,0.7935
78,-336556.0,-4155.0123,0.7911
79,-312932.0,-3816.2439,0.7887
80,-327861.0,-4313.9605,0.7863
81,-351834.0,-4886.5833,0.784
82,-337451.0,-4499.3467,0.7816
83,-377259.0,-5098.0946,0.7793
84,-345672.0,-4608.96,0.777
85,-332990.0,-4561.5068,0.7746
86,-349835.0,-4485.0641,0.7723
87,-300994.0,-3960.4474,0.77
88,-326267.0,-4027.9877,0.7677
