episode,total_reward,avg_reward_per_decision,epsilon
1,-675307.0,-4019.6845,0.997
2,-606184.0,-3861.0446,0.994
3,-672710.0,-4004.2262,0.991
4,-671327.0,-3903.064,0.9881
5,-654363.0,-3871.9704,0.9851
6,-619829.0,-3711.5509,0.9821
7,-716162.0,-4476.0125,0.9792
8,-553053.0,-3272.503,0.9763
9,-705775.0,-4226.1976,0.9733
10,-564574.0,-3360.5595,0.9704
11,-478017.0,-2747.2241,0.9675
12,-698830.0,-3926.0112,0.9646
13,-538959.0,-3151.807,0.9617
14,-735898.0,-4459.9879,0.9588
15,-601485.0,-3559.0828,0.9559
16,-613213.0,-3464.4802,0.9531
17,-1094221.0,-6672.0793,0.9502
18,-456571.0,-2685.7118,0.9474
19,-613076.0,-3627.6686,0.9445
20,-811264.0,-4716.6512,0.9417
21,-673677.0,-3871.7069,0.9389
22,-519608.0,-2935.6384,0.936
23,-718109.0,-4199.4678,0.9332
24,-856377.0,-5037.5118,0.9304
25,-508331.0,-2855.7921,0.9276
26,-703421.0,-4042.6494,0.9249
27,-566202.0,-3311.1228,0.9221
28,-544448.0,-3093.4545,0.9193
29,-573674.0,-3354.8187,0.9166
30,-494333.0,-2761.6369,0.9138
31,-931033.0,-5575.0479,0.9111
32,-613600.0,-3652.381,0.9083
33,-556058.0,-3290.284,0.9056
34,-571203.0,-3191.0782,0.9029
35,-641078.0,-3642.4886,0.9002
36,-611622.0,-3576.7368,0.8975
37,-597813.0,-3416.0743,0.8948
38,-939789.0,-5370.2229,0.8921
39,-558486.0,-3173.2159,0.8894
40,-591401.0,-3285.5611,0.8868
41,-671447.0,-3881.1965,0.8841
42,-583055.0,-3331.7429,0.8814
43,-581983.0,-3344.7299,0.8788
44,-657105.0,-3865.3235,0.8762
45,-830982.0,-4775.7586,0.8735
46,-712902.0,-4169.0175,0.8709
47,-637715.0,-3644.0857,0.8683
48,-750487.0,-4521.006,0.8657
49,-1107389.0,-6084.5549,0.8631
50,-643736.0,-3636.9266,0.8605
51,-552388.0,-3138.5682,0.8579
52,-567049.0,-3032.3476,0.8554
53,-590559.0,-3355.4489,0.8528
54,-637165.0,-3579.5787,0.8502
55,-577954.0,-3321.5747,0.8477
56,-565065.0,-3071.0054,0.8451
57,-643036.0,-3674.4914,0.8426
58,-677353.0,-3870.5886,0.8401
59,-589372.0,-3238.3077,0.8376
60,-553872.0,-2977.8065,0.835
61,-690966.0,-3994.0231,0.8325
62,-592063.0,-3166.1123,0.83
63,-630330.0,-3521.3966,0.8276
64,-598978.0,-3237.7189,0.8251
65,-630409.0,-3521.838,0.8226
66,-709802.0,-3965.3743,0.8201
67,-627752.0,-3468.2431,0.8177
68,-578363.0,-3267.5876,0.8152
69,-700216.0,-4001.2343,0.8128
70,-973541.0,-5319.8962,0.8103
71,-636234.0,-3439.1027,0.8079
72,-614943.0,-3378.8077,0.8055
73,-650915.0,-3576.456,0.8031
74,-482572.0,-2553.291,0.8006
75,-793006.0,-4333.3661,0.7982
76,-656575.0,-3549.0541,0.7959
77,-542726.0,-2965.7158,0.7935
78,-625564.0,-3456.1547,0.7911
79,-560016.0,-2978.8085,0.7887
80,-792578.0,-4403.2111,0.7863
81,-650414.0,-3405.3089,0.784
82,-638497.0,-3607.3277,0.7816
83,-650681.0,-3536.3098,0.7793
84,-497948.0,-2662.8235,0.777
85,-489482.0,-2719.3444,0.7746
86,-589154.0,-3201.9239,0.7723
87,-620905.0,-3374.4837,0.77
88,-773375.0,-4249.3132,0.7677
89,-657618.0,-3736.4659,0.7654
90,-569433.0,-3235.4148,0.7631
91,-682748.0,-3946.5202,0.7608
92,-610883.0,-3320.0163,0.7585
93,-561555.0,-3002.9679,0.7562
94,-675813.0,-3692.9672,0.754
95,-634508.0,-3339.5158,0.7517
96,-591387.0,-3341.1695,0.7494
97,-641379.0,-3393.5397,0.7472
98,-476579.0,-2521.582,0.7449
99,-491283.0,-2655.5838,0.7427
100,-704733.0,-3709.1211,0.7405
101,-530992.0,-2824.4255,0.7383
102,-610150.0,-3066.0804,0.736
103,-520120.0,-2857.8022,0.7338
104,-559280.0,-2959.1534,0.7316
105,-811877.0,-4341.5882,0.7294
106,-547794.0,-2898.381,0.7273
107,-566254.0,-3111.2857,0.7251
108,-556764.0,-2977.3476,0.7229
109,-714921.0,-3823.107,0.7207
110,-548360.0,-2841.2435,0.7186
111,-524847.0,-2776.9683,0.7164
112,-593421.0,-3225.1141,0.7143
113,-594029.0,-3176.6257,0.7121
114,-819573.0,-4406.3065,0.71
115,-495976.0,-2652.2781,0.7079
116,-810979.0,-4360.1022,0.7057
117,-511071.0,-2568.196,0.7036
118,-560493.0,-3131.2458,0.7015
119,-567579.0,-2940.8238,0.6994
120,-512861.0,-2603.3553,0.6973
121,-620133.0,-3370.288,0.6952
122,-730778.0,-3887.117,0.6931
123,-604492.0,-3148.3958,0.691
124,-500895.0,-2504.475,0.689
125,-521971.0,-2676.7744,0.6869
126,-575707.0,-3014.1728,0.6848
127,-656913.0,-3439.3351,0.6828
128,-748793.0,-3941.0158,0.6807
129,-740095.0,-3874.8429,0.6787
130,-569178.0,-2933.9072,0.6767
131,-837436.0,-4294.5436,0.6746
132,-572963.0,-3015.5947,0.6726
133,-559331.0,-2824.904,0.6706
134,-583475.0,-3070.9211,0.6686
135,-491070.0,-2518.3077,0.6666
136,-628157.0,-3237.9227,0.6646
137,-582191.0,-3146.9784,0.6626
138,-565805.0,-2946.901,0.6606
139,-593483.0,-3107.2408,0.6586
140,-596146.0,-3121.1832,0.6566
141,-558514.0,-2955.1005,0.6547
142,-630135.0,-3281.9531,0.6527
143,-558693.0,-2850.4745,0.6507
144,-495049.0,-2487.6834,0.6488
145,-528105.0,-2588.75,0.6468
146,-587607.0,-3044.5959,0.6449
147,-741935.0,-3728.3166,0.643
148,-830224.0,-4110.0198,0.641
149,-674961.0,-3533.8272,0.6391
150,-589410.0,-3053.9378,0.6372
151,-530946.0,-2824.1809,0.6353
152,-681620.0,-3531.7098,0.6334
153,-505398.0,-2477.4412,0.6315
154,-623916.0,-3088.6931,0.6296
155,-475467.0,-2489.356,0.6277
156,-455038.0,-2241.5665,0.6258
157,-663112.0,-3299.0647,0.6239
158,-556651.0,-2755.698,0.6221
159,-599144.0,-3120.5417,0.6202
160,-631331.0,-3204.7259,0.6183
161,-618873.0,-3173.7077,0.6165
162,-480831.0,-2334.1311,0.6146
163,-536199.0,-2577.8798,0.6128
164,-768270.0,-3899.8477,0.611
165,-450270.0,-2104.0654,0.6091
166,-525872.0,-2642.5729,0.6073
167,-927134.0,-4730.2755,0.6055
