episode,total_reward,avg_reward_per_decision,epsilon
1,-1138194.0,-6656.1053,0.997
2,-930582.0,-5709.092,0.994
3,-597618.0,-3600.1084,0.991
4,-574877.0,-3322.9884,0.9881
5,-613851.0,-3720.3091,0.9851
6,-746573.0,-4365.924,0.9821
7,-544638.0,-3241.8929,0.9792
8,-581369.0,-3399.8187,0.9763
9,-718129.0,-4300.1737,0.9733
10,-714253.0,-4152.6337,0.9704
11,-589900.0,-3641.358,0.9675
12,-764231.0,-4688.5337,0.9646
13,-696535.0,-3957.5852,0.9617
14,-670489.0,-3967.3905,0.9588
15,-568097.0,-3341.7471,0.9559
16,-574775.0,-3361.2573,0.9531
17,-616111.0,-3561.3353,0.9502
18,-755202.0,-4290.9205,0.9474
19,-477730.0,-2582.3243,0.9445
20,-567846.0,-3320.7368,0.9417
21,-1045889.0,-6300.5361,0.9389
22,-641931.0,-3566.2833,0.936
23,-556642.0,-3313.3452,0.9332
24,-576407.0,-3312.6839,0.9304
25,-629178.0,-3595.3029,0.9276
26,-566240.0,-3235.6571,0.9249
27,-499660.0,-2730.3825,0.9221
28,-631320.0,-3628.2759,0.9193
29,-636986.0,-3578.573,0.9166
30,-554777.0,-3244.3099,0.9138
31,-585366.0,-3216.2967,0.9111
32,-705170.0,-3984.0113,0.9083
33,-646840.0,-3717.4713,0.9056
34,-749659.0,-4435.8521,0.9029
35,-763541.0,-4338.3011,0.9002
36,-591245.0,-3437.4709,0.8975
37,-680140.0,-3821.0112,0.8948
38,-745516.0,-4260.0914,0.8921
39,-554930.0,-3032.4044,0.8894
40,-692252.0,-3911.0282,0.8868
41,-662390.0,-3942.7976,0.8841
42,-547758.0,-3009.6593,0.8814
43,-569113.0,-3270.7644,0.8788
44,-618364.0,-3473.9551,0.8762
45,-630661.0,-3563.0565,0.8735
46,-620581.0,-3486.4101,0.8709
47,-576632.0,-3276.3182,0.8683
48,-1126428.0,-6328.2472,0.8657
49,-701052.0,-4006.0114,0.8631
50,-904272.0,-5257.3953,0.8605
51,-712029.0,-4163.9123,0.8579
52,-539242.0,-2914.8216,0.8554
53,-809647.0,-4707.25,0.8528
54,-724955.0,-4119.0625,0.8502
55,-1003022.0,-5634.9551,0.8477
56,-678634.0,-3812.5506,0.8451
57,-590498.0,-3393.6667,0.8426
58,-580387.0,-3206.558,0.8401
59,-758236.0,-4212.4222,0.8376
60,-718529.0,-4105.88,0.835
61,-609019.0,-3327.9727,0.8325
62,-574023.0,-3224.8483,0.83
63,-660885.0,-3776.4857,0.8276
64,-719162.0,-3825.3298,0.8251
65,-543082.0,-2935.5784,0.8226
66,-586294.0,-3221.3956,0.8201
67,-540707.0,-2987.3315,0.8177
68,-713909.0,-3988.3184,0.8152
69,-579422.0,-3132.0108,0.8128
70,-494473.0,-2658.457,0.8103
71,-473140.0,-2571.413,0.8079
72,-662892.0,-3682.7333,0.8055
73,-667831.0,-3730.8994,0.8031
74,-659433.0,-3564.5027,0.8006
75,-901689.0,-4981.7072,0.7982
76,-549777.0,-3054.3167,0.7959
77,-915119.0,-5028.1264,0.7935
78,-675837.0,-3575.8571,0.7911
79,-505187.0,-2806.5944,0.7887
80,-532354.0,-2862.1183,0.7863
81,-687161.0,-3838.8883,0.784
82,-536939.0,-2966.5138,0.7816
83,-853862.0,-4640.5543,0.7793
84,-601593.0,-3251.8541,0.777
85,-505294.0,-2746.163,0.7746
86,-596166.0,-3349.2472,0.7723
87,-612348.0,-3346.1639,0.77
88,-678816.0,-3591.619,0.7677
