episode,total_reward,avg_reward_per_decision,epsilon
1,-393442.0,-5620.6,0.997
2,-334288.0,-4708.2817,0.994
3,-500174.0,-7465.2836,0.991
4,-418587.0,-5895.5915,0.9881
5,-320424.0,-4389.3699,0.9851
6,-368957.0,-5124.4028,0.9821
7,-460048.0,-6479.5493,0.9792
8,-317224.0,-4734.6866,0.9763
9,-388678.0,-5889.0606,0.9733
10,-324648.0,-4705.0435,0.9704
11,-375776.0,-5608.597,0.9675
12,-404992.0,-6328.0,0.9646
13,-408096.0,-5829.9429,0.9617
14,-365860.0,-5152.9577,0.9588
15,-395105.0,-5487.5694,0.9559
16,-295120.0,-3988.1081,0.9531
17,-373790.0,-5339.8571,0.9502
18,-451082.0,-6633.5588,0.9474
19,-316113.0,-4214.84,0.9445
20,-372557.0,-5103.5205,0.9417
21,-342319.0,-4564.2533,0.9389
22,-393988.0,-5880.4179,0.936
23,-370263.0,-5445.0441,0.9332
24,-380532.0,-5285.1667,0.9304
25,-388354.0,-5393.8056,0.9276
26,-377413.0,-5469.7536,0.9249
27,-423569.0,-6228.9559,0.9221
28,-349332.0,-4720.7027,0.9193
29,-334943.0,-4407.1447,0.9166
30,-366962.0,-5026.8767,0.9138
31,-444568.0,-6007.6757,0.9111
32,-323975.0,-4438.0137,0.9083
33,-328484.0,-4626.5352,0.9056
34,-350775.0,-4871.875,0.9029
35,-378613.0,-5567.8382,0.9002
36,-361329.0,-4817.72,0.8975
37,-362228.0,-5030.9444,0.8948
38,-409554.0,-5688.25,0.8921
39,-344133.0,-4987.4348,0.8894
40,-314932.0,-4143.8421,0.8868
41,-341705.0,-4680.8904,0.8841
42,-309181.0,-3913.6835,0.8814
43,-398915.0,-5464.589,0.8788
44,-393844.0,-5114.8571,0.8762
45,-351016.0,-4943.8873,0.8735
46,-448856.0,-6600.8235,0.8709
47,-425494.0,-6078.4857,0.8683
48,-559349.0,-7662.3151,0.8657
49,-329820.0,-4283.3766,0.8631
50,-371439.0,-4529.7439,0.8605
51,-318543.0,-4247.24,0.8579
52,-341039.0,-4547.1867,0.8554
53,-361802.0,-4760.5526,0.8528
54,-364979.0,-4739.987,0.8502
55,-409860.0,-5322.8571,0.8477
56,-406926.0,-5897.4783,0.8451
57,-366248.0,-5017.0959,0.8426
58,-323920.0,-4262.1053,0.8401
59,-312078.0,-4217.2703,0.8376
60,-406405.0,-5491.9595,0.835
61,-350890.0,-5085.3623,0.8325
62,-253689.0,-3338.0132,0.83
63,-329340.0,-4638.5915,0.8276
64,-313636.0,-4480.5143,0.8251
65,-310387.0,-4138.4933,0.8226
66,-321163.0,-4399.4932,0.8201
67,-368433.0,-5189.1972,0.8177
68,-312410.0,-3856.9136,0.8152
69,-480403.0,-6672.2639,0.8128
70,-396211.0,-5213.3026,0.8103
71,-325359.0,-4281.0395,0.8079
72,-352454.0,-4828.137,0.8055
73,-394338.0,-5554.0563,0.8031
74,-352687.0,-4766.0405,0.8006
75,-440890.0,-5878.5333,0.7982
76,-310339.0,-4137.8533,0.7959
77,-374859.0,-4868.2987,0.7935
78,-288816.0,-3902.9189,0.7911
79,-346220.0,-4496.3636,0.7887
80,-330487.0,-4348.5132,0.7863
81,-359813.0,-4862.3378,0.784
82,-361458.0,-4951.4795,0.7816
83,-361287.0,-4631.8846,0.7793
84,-369974.0,-5068.137,0.777
85,-332000.0,-4611.1111,0.7746
86,-412481.0,-5499.7467,0.7723
87,-342908.0,-4697.3699,0.77
88,-448606.0,-5826.0519,0.7677
89,-347393.0,-4570.9605,0.7654
90,-333075.0,-4325.6494,0.7631
91,-343874.0,-4352.8354,0.7608
92,-353493.0,-4651.2237,0.7585
93,-289633.0,-3489.5542,0.7562
94,-361397.0,-4407.2805,0.754
95,-341144.0,-4318.2785,0.7517
96,-358847.0,-4660.3506,0.7494
97,-403359.0,-5041.9875,0.7472
98,-415396.0,-5465.7368,0.7449
99,-328073.0,-4316.75,0.7427
100,-472358.0,-6055.8718,0.7405
101,-500880.0,-7054.6479,0.7383
102,-345291.0,-4603.88,0.736
103,-391404.0,-4892.55,0.7338
104,-301714.0,-3724.8642,0.7316
105,-319836.0,-3948.5926,0.7294
106,-375607.0,-5290.2394,0.7273
107,-340972.0,-4371.4359,0.7251
108,-344122.0,-4469.1169,0.7229
109,-340491.0,-4203.5926,0.7207
110,-357169.0,-4464.6125,0.7186
111,-388371.0,-4979.1154,0.7164
112,-412358.0,-5727.1944,0.7143
113,-318096.0,-3832.4819,0.7121
114,-335316.0,-4089.2195,0.71
115,-333243.0,-4063.939,0.7079
116,-386905.0,-5090.8553,0.7057
117,-449245.0,-5911.1184,0.7036
118,-383350.0,-4978.5714,0.7015
119,-266359.0,-3329.4875,0.6994
120,-347494.0,-4455.0513,0.6973
121,-398703.0,-4862.2317,0.6952
122,-277279.0,-3509.8608,0.6931
123,-275600.0,-3320.4819,0.691
124,-293285.0,-3859.0132,0.689
125,-293087.0,-3574.2317,0.6869
126,-451318.0,-5571.8272,0.6848
127,-446317.0,-5510.0864,0.6828
128,-314560.0,-3981.7722,0.6807
129,-418589.0,-5507.75,0.6787
130,-265531.0,-3404.2436,0.6767
131,-327606.0,-4095.075,0.6746
132,-335355.0,-4040.4217,0.6726
133,-347470.0,-4136.5476,0.6706
134,-502185.0,-6607.6974,0.6686
135,-504933.0,-6473.5,0.6666
136,-322863.0,-3985.963,0.6646
137,-379203.0,-4861.5769,0.6626
138,-319264.0,-4093.1282,0.6606
139,-332035.0,-4312.1429,0.6586
140,-252687.0,-2871.4432,0.6566
141,-301016.0,-3716.2469,0.6547
142,-328437.0,-4105.4625,0.6527
143,-361770.0,-4522.125,0.6507
144,-414755.0,-5530.0667,0.6488
145,-381608.0,-4542.9524,0.6468
146,-304773.0,-3958.0909,0.6449
147,-509115.0,-6363.9375,0.643
148,-392569.0,-4907.1125,0.641
149,-327531.0,-3994.2805,0.6391
150,-332582.0,-4055.878,0.6372
151,-444262.0,-5769.6364,0.6353
152,-289381.0,-3326.2184,0.6334
153,-326794.0,-3937.2771,0.6315
154,-307864.0,-3709.2048,0.6296
155,-412645.0,-5290.3205,0.6277
156,-393290.0,-5107.6623,0.6258
157,-227241.0,-2673.4235,0.6239
158,-276451.0,-3214.5465,0.6221
159,-523116.0,-7069.1351,0.6202
160,-290736.0,-3420.4235,0.6183
161,-286465.0,-3720.3247,0.6165
162,-291361.0,-3553.1829,0.6146
163,-306503.0,-3980.5584,0.6128
164,-396104.0,-4772.3373,0.611
165,-334833.0,-3679.4835,0.6091
166,-313475.0,-3687.9412,0.6073
167,-403663.0,-4922.7195,0.6055
168,-274640.0,-3269.5238,0.6037
169,-336836.0,-3962.7765,0.6018
170,-327762.0,-4097.025,0.6
171,-353364.0,-4206.7143,0.5982
172,-305631.0,-3868.7468,0.5964
173,-329811.0,-4071.7407,0.5947
174,-398248.0,-4685.2706,0.5929
175,-307189.0,-3701.0723,0.5911
176,-389304.0,-5332.9315,0.5893
177,-312988.0,-4118.2632,0.5875
178,-323585.0,-3852.2024,0.5858
179,-315511.0,-4045.0128,0.584
180,-338324.0,-4229.05,0.5823
181,-283183.0,-3539.7875,0.5805
182,-374806.0,-4685.075,0.5788
183,-266489.0,-3249.8659,0.5771
184,-284800.0,-3651.2821,0.5753
185,-257388.0,-2958.4828,0.5736
186,-304732.0,-3716.2439,0.5719
187,-267385.0,-3109.1279,0.5702
188,-303217.0,-3525.7791,0.5684
189,-480747.0,-6085.4051,0.5667
190,-379408.0,-4516.7619,0.565
191,-364458.0,-4499.4815,0.5633
192,-287637.0,-3465.506,0.5617
193,-347137.0,-3944.7386,0.56
194,-365362.0,-4199.5632,0.5583
195,-273222.0,-3252.6429,0.5566
196,-283370.0,-3498.3951,0.5549
197,-287980.0,-3599.75,0.5533
198,-282944.0,-3290.0465,0.5516
199,-292319.0,-3284.4831,0.55
200,-322145.0,-3660.7386,0.5483
201,-301311.0,-3630.253,0.5467
202,-331247.0,-3764.1705,0.545
203,-281492.0,-3162.8315,0.5434
204,-367593.0,-4428.8313,0.5418
205,-392847.0,-4676.75,0.5401
206,-295298.0,-3515.4524,0.5385
207,-316606.0,-3517.8444,0.5369
208,-420915.0,-5010.8929,0.5353
209,-414696.0,-4507.5652,0.5337
210,-359879.0,-4613.8333,0.5321
211,-347874.0,-4092.6353,0.5305
212,-357793.0,-4160.3837,0.5289
213,-270105.0,-3215.5357,0.5273
214,-302949.0,-3606.5357,0.5257
215,-570149.0,-6787.4881,0.5242
216,-307401.0,-3659.5357,0.5226
217,-278641.0,-3166.375,0.521
218,-300543.0,-3577.8929,0.5195
219,-298905.0,-3645.1829,0.5179
220,-255995.0,-2876.3483,0.5163
221,-378390.0,-4451.6471,0.5148
222,-333792.0,-3881.3023,0.5132
223,-248753.0,-2926.5059,0.5117
224,-406820.0,-5149.6203,0.5102
225,-295618.0,-3477.8588,0.5086
226,-308572.0,-3546.8046,0.5071
227,-305577.0,-3512.3793,0.5056
228,-360037.0,-4286.1548,0.5041
229,-255927.0,-2722.6277,0.5026
230,-265996.0,-2923.033,0.5011
231,-342020.0,-4023.7647,0.4996
232,-277137.0,-3185.4828,0.4981
233,-389336.0,-4374.5618,0.4966
234,-398780.0,-4430.8889,0.4951
235,-345997.0,-3887.6067,0.4936
236,-324068.0,-3952.0488,0.4921
237,-289647.0,-3254.4607,0.4906
238,-333383.0,-3584.7634,0.4892
239,-315243.0,-3708.7412,0.4877
240,-355425.0,-4085.3448,0.4862
241,-308103.0,-3582.593,0.4848
242,-321590.0,-3828.4524,0.4833
243,-314084.0,-3529.0337,0.4819
244,-251974.0,-2768.9451,0.4804
245,-271063.0,-3011.8111,0.479
246,-297247.0,-3064.4021,0.4775
247,-342772.0,-3939.908,0.4761
248,-275701.0,-3029.6813,0.4747
249,-340810.0,-3917.3563,0.4733
250,-221393.0,-2170.5196,0.4718
251,-288358.0,-3239.9775,0.4704
252,-253131.0,-2909.5517,0.469
253,-259341.0,-2881.5667,0.4676
254,-262993.0,-2890.033,0.4662
255,-331351.0,-3562.914,0.4648
256,-391327.0,-4207.8172,0.4634
257,-286589.0,-3220.1011,0.462
258,-305997.0,-3517.2069,0.4606
259,-293744.0,-3300.4944,0.4592
260,-322207.0,-3540.7363,0.4579
261,-292792.0,-3289.7978,0.4565
262,-293645.0,-3191.7935,0.4551
263,-282063.0,-3099.5934,0.4538
264,-272966.0,-3101.8864,0.4524
265,-306362.0,-3442.2697,0.451
266,-386805.0,-4550.6471,0.4497
267,-314909.0,-3578.5114,0.4483
268,-355344.0,-4038.0,0.447
269,-383620.0,-4359.3182,0.4457
270,-301160.0,-3422.2727,0.4443
271,-327786.0,-3949.2289,0.443
272,-305930.0,-3642.0238,0.4417
273,-352708.0,-3963.0112,0.4403
274,-302178.0,-3395.2584,0.439
275,-247066.0,-2745.1778,0.4377
276,-384878.0,-4581.881,0.4364
277,-247591.0,-2633.9468,0.4351
278,-270349.0,-3072.1477,0.4338
279,-331351.0,-3808.6322,0.4325
280,-360699.0,-3796.8316,0.4312
281,-270778.0,-3008.6444,0.4299
282,-279233.0,-3246.8953,0.4286
283,-358496.0,-3939.5165,0.4273
284,-233196.0,-2620.1798,0.426
285,-289203.0,-3109.7097,0.4247
286,-306664.0,-3333.3043,0.4235
287,-276410.0,-3177.1264,0.4222
288,-271721.0,-3123.2299,0.4209
289,-270536.0,-3074.2727,0.4197
290,-281758.0,-3130.6444,0.4184
291,-309335.0,-3555.5747,0.4171
292,-328105.0,-3815.1744,0.4159
293,-371075.0,-4314.8256,0.4146
294,-221108.0,-2403.3478,0.4134
295,-321999.0,-3538.4505,0.4122
296,-299026.0,-3359.8427,0.4109
297,-277354.0,-3081.7111,0.4097
298,-283220.0,-3146.8889,0.4085
299,-320886.0,-3565.4,0.4072
300,-282908.0,-3009.6596,0.406
301,-397175.0,-4413.0556,0.4048
302,-300088.0,-3125.9167,0.4036
303,-264022.0,-3143.119,0.4024
304,-317967.0,-3654.7931,0.4012
305,-225557.0,-2399.5426,0.4
306,-347305.0,-3946.6477,0.3988
307,-440846.0,-4898.2889,0.3976
308,-340918.0,-3746.3516,0.3964
309,-286895.0,-3223.5393,0.3952
310,-255198.0,-2867.3933,0.394
311,-312551.0,-3551.7159,0.3928
312,-314513.0,-3418.6196,0.3916
313,-256699.0,-2673.9479,0.3905
314,-286425.0,-3047.0745,0.3893
315,-308508.0,-3390.1978,0.3881
316,-242483.0,-2635.6848,0.387
317,-264938.0,-2818.4894,0.3858
318,-279679.0,-2975.3085,0.3846
319,-347336.0,-3859.2889,0.3835
320,-242298.0,-2722.4494,0.3823
321,-310523.0,-3412.3407,0.3812
322,-251840.0,-2767.4725,0.3801
323,-295417.0,-3176.5269,0.3789
324,-299424.0,-3219.6129,0.3778
325,-273922.0,-2766.8889,0.3766
326,-309112.0,-3288.4255,0.3755
327,-272426.0,-3095.75,0.3744
328,-272187.0,-2991.0659,0.3733
329,-292272.0,-3044.5,0.3721
330,-383053.0,-4032.1368,0.371
331,-263314.0,-2771.7263,0.3699
332,-269320.0,-2748.1633,0.3688
333,-307637.0,-3307.9247,0.3677
334,-275551.0,-2995.1196,0.3666
335,-287914.0,-3163.8901,0.3655
336,-271277.0,-2981.0659,0.3644
337,-230629.0,-2353.3571,0.3633
338,-294285.0,-3164.3548,0.3622
339,-234523.0,-2468.6632,0.3611
340,-298760.0,-3319.5556,0.36
341,-367702.0,-3911.7234,0.359
342,-260595.0,-2686.5464,0.3579
343,-260314.0,-2683.6495,0.3568
344,-261801.0,-2815.0645,0.3557
345,-266630.0,-2898.1522,0.3547
346,-351217.0,-3776.5269,0.3536
347,-344318.0,-3783.7143,0.3525
348,-247393.0,-2689.0543,0.3515
349,-416051.0,-4622.7889,0.3504
350,-223924.0,-2308.4948,0.3494
351,-279023.0,-2968.3298,0.3483
352,-310641.0,-3235.8438,0.3473
353,-256150.0,-2668.2292,0.3463
354,-252310.0,-2772.6374,0.3452
355,-235865.0,-2431.5979,0.3442
356,-307622.0,-3139.0,0.3431
357,-301573.0,-3242.7204,0.3421
358,-326179.0,-3397.6979,0.3411
359,-309408.0,-3291.5745,0.3401
360,-413817.0,-4649.6292,0.339
361,-328914.0,-3575.1522,0.338
362,-275965.0,-2904.8947,0.337
363,-325173.0,-3459.2872,0.336
