episode,total_reward,avg_reward_per_decision,epsilon
1,-405087.0,-5705.4507,0.997
2,-307900.0,-3998.7013,0.994
3,-376198.0,-5153.3973,0.991
4,-329011.0,-4112.6375,0.9881
5,-322977.0,-4820.5522,0.9851
6,-396308.0,-5661.5429,0.9821
7,-519051.0,-6920.68,0.9792
8,-356397.0,-5091.3857,0.9763
9,-350295.0,-4933.7324,0.9733
10,-441698.0,-6134.6944,0.9704
11,-449207.0,-6417.2429,0.9675
12,-356665.0,-5023.4507,0.9646
13,-320142.0,-4326.2432,0.9617
14,-574811.0,-7767.7162,0.9588
15,-418559.0,-5733.6849,0.9559
16,-334812.0,-4650.1667,0.9531
17,-504528.0,-6911.3425,0.9502
18,-406676.0,-5495.6216,0.9474
19,-322561.0,-4418.6438,0.9445
20,-373139.0,-5111.4932,0.9417
21,-371744.0,-4891.3684,0.9389
22,-346288.0,-4946.9714,0.936
23,-347370.0,-4824.5833,0.9332
24,-453854.0,-5894.2078,0.9304
25,-419248.0,-6550.75,0.9276
26,-446423.0,-6565.0441,0.9249
27,-446083.0,-6028.1486,0.9221
28,-323410.0,-4430.274,0.9193
29,-407466.0,-6173.7273,0.9166
30,-574205.0,-7975.0694,0.9138
31,-414504.0,-4819.814,0.9111
32,-476402.0,-5955.025,0.9083
33,-461563.0,-5842.5696,0.9056
34,-296090.0,-3947.8667,0.9029
35,-291491.0,-4164.1571,0.9002
36,-361143.0,-4880.3108,0.8975
37,-434289.0,-6681.3692,0.8948
38,-380545.0,-5436.3571,0.8921
39,-365670.0,-5299.5652,0.8894
40,-371900.0,-4535.3659,0.8868
41,-333909.0,-4637.625,0.8841
42,-313257.0,-4291.1918,0.8814
43,-429547.0,-5965.9306,0.8788
44,-447826.0,-6134.6027,0.8762
45,-523299.0,-6977.32,0.8735
46,-426814.0,-5767.7568,0.8709
47,-451551.0,-6450.7286,0.8683
48,-406700.0,-5020.9877,0.8657
49,-387599.0,-5309.5753,0.8631
50,-370365.0,-5073.4932,0.8605
51,-338009.0,-4447.4868,0.8579
52,-541467.0,-7124.5658,0.8554
53,-398933.0,-5049.7848,0.8528
54,-417031.0,-6132.8088,0.8502
55,-583165.0,-7289.5625,0.8477
56,-484796.0,-6828.1127,0.8451
57,-366332.0,-5159.6056,0.8426
58,-381906.0,-5025.0789,0.8401
59,-398828.0,-5048.4557,0.8376
60,-298501.0,-4145.8472,0.835
61,-471041.0,-6927.0735,0.8325
62,-419531.0,-5378.6026,0.83
63,-475731.0,-5731.6988,0.8276
64,-541179.0,-7028.2987,0.8251
65,-323217.0,-4427.6301,0.8226
66,-385800.0,-5144.0,0.8201
67,-341963.0,-4621.1216,0.8177
68,-488769.0,-5750.2235,0.8152
69,-410515.0,-5263.0128,0.8128
70,-613484.0,-7668.55,0.8103
71,-490565.0,-5982.5,0.8079
72,-449596.0,-5764.0513,0.8055
73,-453482.0,-6212.0822,0.8031
74,-371763.0,-5163.375,0.8006
75,-401156.0,-5278.3684,0.7982
76,-326682.0,-4242.6234,0.7959
77,-386898.0,-5449.2676,0.7935
78,-277116.0,-3646.2632,0.7911
79,-331041.0,-4355.8026,0.7887
80,-354032.0,-4370.7654,0.7863
81,-334813.0,-4464.1733,0.784
82,-387756.0,-5035.7922,0.7816
83,-282420.0,-3530.25,0.7793
84,-381926.0,-4657.6341,0.777
85,-395291.0,-4596.407,0.7746
86,-419424.0,-5114.9268,0.7723
87,-478626.0,-6215.9221,0.77
88,-384048.0,-4923.6923,0.7677
89,-323522.0,-4044.025,0.7654
90,-654707.0,-7439.8523,0.7631
91,-556366.0,-6623.4048,0.7608
92,-308732.0,-3958.1026,0.7585
93,-566486.0,-7081.075,0.7562
94,-397069.0,-4963.3625,0.754
95,-378461.0,-4915.0779,0.7517
96,-351710.0,-4396.375,0.7494
97,-420553.0,-5533.5921,0.7472
98,-365522.0,-4300.2588,0.7449
99,-401075.0,-5570.4861,0.7427
100,-349972.0,-4729.3514,0.7405
101,-605721.0,-7297.8434,0.7383
102,-468305.0,-5711.0366,0.736
103,-413687.0,-5303.6795,0.7338
104,-302807.0,-3833.0,0.7316
105,-357095.0,-4463.6875,0.7294
106,-358480.0,-4425.679,0.7273
107,-498830.0,-6158.3951,0.7251
108,-350052.0,-4487.8462,0.7229
109,-414718.0,-5183.975,0.7207
110,-351001.0,-4280.5,0.7186
111,-281826.0,-3567.4177,0.7164
112,-310341.0,-3978.7308,0.7143
113,-383024.0,-4728.6914,0.7121
114,-408101.0,-5232.0641,0.71
115,-316395.0,-3954.9375,0.7079
116,-454846.0,-5757.5443,0.7057
117,-376791.0,-4485.6071,0.7036
118,-343975.0,-4299.6875,0.7015
119,-294213.0,-3677.6625,0.6994
120,-363885.0,-4665.1923,0.6973
121,-322212.0,-3882.0723,0.6952
122,-639159.0,-8090.6203,0.6931
123,-397322.0,-4905.2099,0.691
124,-319479.0,-4149.0779,0.689
125,-315173.0,-3939.6625,0.6869
126,-373439.0,-4445.7024,0.6848
127,-358874.0,-4272.3095,0.6828
128,-321472.0,-4069.2658,0.6807
129,-425764.0,-5389.4177,0.6787
130,-340961.0,-4315.962,0.6767
131,-476524.0,-6270.0526,0.6746
132,-350587.0,-4612.9868,0.6726
133,-371056.0,-4417.3333,0.6706
134,-331857.0,-4200.7215,0.6686
135,-327309.0,-4143.1519,0.6666
136,-419609.0,-5055.5301,0.6646
137,-332065.0,-4548.8356,0.6626
138,-447822.0,-5970.96,0.6606
139,-442673.0,-5675.2949,0.6586
140,-282753.0,-3579.1519,0.6566
141,-324504.0,-3957.3659,0.6547
142,-402213.0,-5223.5455,0.6527
143,-438353.0,-5281.3614,0.6507
144,-394495.0,-4587.1512,0.6488
145,-549699.0,-6958.2152,0.6468
146,-325324.0,-3536.1304,0.6449
147,-371032.0,-4524.7805,0.643
148,-475611.0,-5945.1375,0.641
149,-276663.0,-3254.8588,0.6391
150,-324054.0,-3724.7586,0.6372
151,-382564.0,-4500.7529,0.6353
152,-287876.0,-3554.0247,0.6334
153,-351265.0,-4390.8125,0.6315
154,-423520.0,-5041.9048,0.6296
155,-287132.0,-3681.1795,0.6277
156,-351330.0,-4337.4074,0.6258
157,-373986.0,-4674.825,0.6239
158,-385870.0,-4593.6905,0.6221
159,-344128.0,-3866.6067,0.6202
160,-453536.0,-5464.2892,0.6183
161,-431763.0,-5607.3117,0.6165
162,-323055.0,-3713.2759,0.6146
163,-355377.0,-4180.9059,0.6128
164,-360730.0,-4453.4568,0.611
165,-365084.0,-4452.2439,0.6091
166,-424068.0,-4874.3448,0.6073
167,-473166.0,-5257.4,0.6055
168,-349417.0,-4423.0,0.6037
169,-390309.0,-4646.5357,0.6018
170,-360098.0,-4236.4471,0.6
171,-403710.0,-5175.7692,0.5982
172,-359386.0,-4436.8642,0.5964
173,-348500.0,-4198.7952,0.5947
174,-288349.0,-3432.7262,0.5929
175,-312757.0,-3636.7093,0.5911
176,-285687.0,-3442.012,0.5893
177,-280273.0,-3417.9634,0.5875
178,-498871.0,-5869.0706,0.5858
179,-466885.0,-5187.6111,0.584
180,-470490.0,-5601.0714,0.5823
181,-373772.0,-4296.2299,0.5805
182,-412957.0,-4746.6322,0.5788
183,-340414.0,-4052.5476,0.5771
184,-355839.0,-4137.6628,0.5753
185,-348769.0,-4152.0119,0.5736
186,-268446.0,-3050.5227,0.5719
187,-279796.0,-3587.1282,0.5702
188,-351173.0,-4180.631,0.5684
189,-408352.0,-5104.4,0.5667
190,-415942.0,-4570.7912,0.565
191,-305514.0,-3511.6552,0.5633
192,-338890.0,-3986.9412,0.5617
193,-445588.0,-5304.619,0.56
194,-274794.0,-2986.8913,0.5583
195,-386294.0,-4292.1556,0.5566
196,-416303.0,-5076.8659,0.5549
197,-327064.0,-3759.3563,0.5533
198,-506530.0,-5691.3483,0.5516
199,-330994.0,-3804.5287,0.55
200,-274984.0,-3089.7079,0.5483
201,-337077.0,-3874.4483,0.5467
202,-378703.0,-4403.5233,0.545
203,-357572.0,-4414.4691,0.5434
204,-318126.0,-3976.575,0.5418
205,-326830.0,-3985.7317,0.5401
206,-427615.0,-5279.1975,0.5385
207,-257135.0,-2921.9886,0.5369
208,-320364.0,-3768.9882,0.5353
209,-318561.0,-3792.3929,0.5337
210,-286459.0,-3255.2159,0.5321
211,-302574.0,-3438.3409,0.5305
212,-369725.0,-4154.2135,0.5289
213,-441912.0,-5260.8571,0.5273
214,-423136.0,-5223.9012,0.5257
215,-385051.0,-4583.9405,0.5242
216,-412658.0,-4585.0889,0.5226
217,-311855.0,-3543.8068,0.521
218,-341333.0,-3750.9121,0.5195
219,-273758.0,-3075.9326,0.5179
220,-351520.0,-3661.6667,0.5163
221,-314228.0,-3611.8161,0.5148
222,-293323.0,-3295.764,0.5132
223,-289535.0,-3574.5062,0.5117
224,-290227.0,-3374.7326,0.5102
225,-334632.0,-3677.2747,0.5086
226,-293221.0,-3086.5368,0.5071
227,-276949.0,-3297.0119,0.5056
228,-575471.0,-6323.8571,0.5041
229,-358657.0,-4427.8642,0.5026
