episode,total_reward,avg_reward_per_decision,epsilon
1,-1110263.0,-15420.3194,0.997
2,-1272626.0,-17197.6486,0.994
3,-1209082.0,-16792.8056,0.991
4,-1056338.0,-14470.3836,0.9881
5,-1109673.0,-14995.5811,0.9851
6,-1067140.0,-14821.3889,0.9821
7,-1247927.0,-16863.8784,0.9792
8,-1182200.0,-17385.2941,0.9763
9,-1335863.0,-18814.9718,0.9733
10,-1361347.0,-18151.2933,0.9704
11,-1074743.0,-15575.9855,0.9675
12,-1326523.0,-18683.4225,0.9646
13,-1190004.0,-15657.9474,0.9617
14,-1105691.0,-16502.8507,0.9588
15,-1053454.0,-14046.0533,0.9559
16,-1617916.0,-21572.2133,0.9531
17,-1462486.0,-18281.075,0.9502
18,-974977.0,-13541.3472,0.9474
19,-1112122.0,-15234.5479,0.9445
20,-1471326.0,-18863.1538,0.9417
21,-1513882.0,-20185.0933,0.9389
22,-1683873.0,-21314.8481,0.936
23,-1269170.0,-17150.9459,0.9332
24,-995724.0,-13276.32,0.9304
25,-1438613.0,-18683.2857,0.9276
26,-1052516.0,-14223.1892,0.9249
27,-1094521.0,-13854.6962,0.9221
28,-1160667.0,-14880.3462,0.9193
29,-1036660.0,-14398.0556,0.9166
30,-1299460.0,-17098.1579,0.9138
31,-1193054.0,-15907.3867,0.9111
32,-1344712.0,-17239.8974,0.9083
33,-1097202.0,-14629.36,0.9056
34,-1025706.0,-13676.08,0.9029
35,-1196087.0,-15334.4487,0.9002
36,-1210790.0,-16816.5278,0.8975
37,-1232686.0,-16886.1096,0.8948
38,-1529199.0,-19605.1154,0.8921
39,-1195248.0,-14400.5783,0.8894
40,-1314435.0,-16638.4177,0.8868
41,-1614779.0,-18776.5,0.8841
42,-1573990.0,-18737.9762,0.8814
43,-987034.0,-12037.0,0.8788
44,-961271.0,-12015.8875,0.8762
45,-1216092.0,-15393.5696,0.8735
46,-932734.0,-12113.4286,0.8709
47,-1078167.0,-14186.4079,0.8683
48,-1294193.0,-15407.0595,0.8657
49,-1275932.0,-15752.2469,0.8631
50,-1310305.0,-15598.869,0.8605
51,-1081110.0,-14040.3896,0.8579
52,-1073780.0,-13945.1948,0.8554
53,-1276510.0,-16796.1842,0.8528
54,-947225.0,-11840.3125,0.8502
55,-1033008.0,-14549.4085,0.8477
56,-1230989.0,-15582.1392,0.8451
57,-1049559.0,-13630.6364,0.8426
58,-1099455.0,-14659.4,0.8401
59,-1315601.0,-16653.1772,0.8376
60,-1333542.0,-17318.7273,0.835
61,-1245681.0,-15008.2048,0.8325
62,-1135658.0,-14375.4177,0.83
63,-1301974.0,-16908.7532,0.8276
64,-1329879.0,-17271.1558,0.8251
65,-1318169.0,-15327.5465,0.8226
66,-1282968.0,-16037.1,0.8201
67,-1267213.0,-16896.1733,0.8177
68,-1396814.0,-16055.3333,0.8152
69,-1245435.0,-15765.0,0.8128
70,-1332503.0,-16250.0366,0.8103
71,-1104155.0,-14339.6753,0.8079
72,-1543366.0,-18594.7711,0.8055
