episode,total_reward,avg_reward_per_decision,epsilon
1,-1304181.0,-16508.6203,0.997
2,-1055155.0,-13883.6184,0.994
3,-1047958.0,-13972.7733,0.991
4,-1633603.0,-20678.519,0.9881
5,-1228803.0,-17307.0845,0.9851
6,-1145073.0,-16358.1857,0.9821
7,-1388763.0,-17804.6538,0.9792
8,-1132259.0,-15947.3099,0.9763
9,-1531264.0,-20692.7568,0.9733
10,-1233161.0,-16225.8026,0.9704
11,-1070629.0,-14666.1507,0.9675
12,-1678900.0,-20986.25,0.9646
13,-1191114.0,-17015.9143,0.9617
14,-1239945.0,-16985.5479,0.9588
15,-1074017.0,-14712.5616,0.9559
16,-1347561.0,-18210.2838,0.9531
17,-1225091.0,-16119.6184,0.9502
18,-1103443.0,-14911.3919,0.9474
19,-1142415.0,-14103.8889,0.9445
20,-1349993.0,-17307.6026,0.9417
21,-1260197.0,-16581.5395,0.9389
22,-1279580.0,-16404.8718,0.936
23,-1474413.0,-20766.3803,0.9332
24,-1266891.0,-16242.1923,0.9304
25,-1141530.0,-14449.7468,0.9276
26,-1382237.0,-16455.2024,0.9249
27,-1186646.0,-15821.9467,0.9221
28,-1572268.0,-20419.0649,0.9193
29,-1588402.0,-19370.7561,0.9166
30,-1227045.0,-16808.8356,0.9138
31,-1282815.0,-16659.9351,0.9111
32,-1255664.0,-16521.8947,0.9083
33,-1213020.0,-14975.5556,0.9056
34,-1295965.0,-17052.1711,0.9029
35,-1350671.0,-16471.5976,0.9002
36,-1537431.0,-19710.6538,0.8975
37,-1162229.0,-15093.8831,0.8948
38,-1345412.0,-18181.2432,0.8921
39,-1543129.0,-20575.0533,0.8894
40,-1186940.0,-14836.75,0.8868
41,-1052289.0,-13490.8846,0.8841
42,-1170179.0,-13766.8118,0.8814
43,-1128831.0,-13438.4643,0.8788
44,-985639.0,-13689.4306,0.8762
45,-1688166.0,-20587.3902,0.8735
46,-872943.0,-10777.0741,0.8709
47,-1202684.0,-16703.9444,0.8683
48,-1255635.0,-16306.9481,0.8657
49,-1241358.0,-15138.5122,0.8631
50,-1534844.0,-18492.0964,0.8605
51,-1360495.0,-16005.8235,0.8579
52,-1302443.0,-16486.6203,0.8554
53,-1056397.0,-13372.1139,0.8528
54,-1167157.0,-14774.1392,0.8502
55,-1153840.0,-15384.5333,0.8477
56,-1053663.0,-13008.1852,0.8451
57,-1219261.0,-15052.6049,0.8426
58,-1211266.0,-14250.1882,0.8401
59,-1396556.0,-16052.3678,0.8376
60,-1247982.0,-14682.1412,0.835
61,-1403539.0,-15423.5055,0.8325
62,-1178674.0,-14919.9241,0.83
63,-1270670.0,-15687.284,0.8276
64,-1242505.0,-15152.5,0.8251
65,-1301334.0,-16900.4416,0.8226
66,-1535123.0,-19936.6623,0.8201
67,-1289268.0,-17422.5405,0.8177
68,-1139651.0,-13567.2738,0.8152
69,-1356468.0,-16342.988,0.8128
70,-1013039.0,-11644.1264,0.8103
71,-845867.0,-11278.2267,0.8079
72,-1298721.0,-16439.5063,0.8055
73,-1166418.0,-14764.7848,0.8031
74,-1389315.0,-16344.8824,0.8006
75,-897999.0,-10690.4643,0.7982
76,-979595.0,-12093.7654,0.7959
77,-1257787.0,-14973.6548,0.7935
78,-1329127.0,-18460.0972,0.7911
79,-1435815.0,-18892.3026,0.7887
80,-936395.0,-12653.9865,0.7863
81,-1053764.0,-12397.2235,0.784
82,-1090123.0,-14157.4416,0.7816
83,-1280893.0,-16421.7051,0.7793
84,-1378604.0,-17674.4103,0.777
85,-888784.0,-11850.4533,0.7746
86,-1027273.0,-12527.7195,0.7723
87,-1057054.0,-13050.0494,0.77
88,-1414618.0,-16840.6905,0.7677
89,-1332006.0,-15857.2143,0.7654
90,-1166045.0,-14220.061,0.7631
91,-939491.0,-11052.8353,0.7608
92,-1231900.0,-15208.642,0.7585
93,-1185129.0,-14814.1125,0.7562
94,-1132848.0,-14905.8947,0.754
95,-1519328.0,-18528.3902,0.7517
96,-1164480.0,-13540.4651,0.7494
97,-1323596.0,-16544.95,0.7472
98,-936637.0,-10071.3656,0.7449
99,-1110064.0,-15000.8649,0.7427
100,-973245.0,-11725.8434,0.7405
101,-939009.0,-11592.7037,0.7383
102,-1064180.0,-12668.8095,0.736
103,-1035297.0,-11764.7386,0.7338
104,-1136708.0,-13217.5349,0.7316
105,-1123673.0,-13538.2289,0.7294
106,-1256667.0,-14960.3214,0.7273
107,-1143523.0,-13453.2118,0.7251
108,-1013991.0,-12674.8875,0.7229
109,-1357950.0,-17409.6154,0.7207
110,-1409769.0,-18796.92,0.7186
111,-1326937.0,-14268.1398,0.7164
112,-854953.0,-10686.9125,0.7143
113,-974904.0,-10832.2667,0.7121
114,-1223809.0,-13906.9205,0.71
115,-1217854.0,-14161.093,0.7079
116,-1267387.0,-14910.4353,0.7057
117,-1257467.0,-15524.284,0.7036
118,-1033714.0,-12161.3412,0.7015
119,-1288685.0,-15161.0,0.6994
120,-1170877.0,-13009.7444,0.6973
121,-1069150.0,-13885.0649,0.6952
122,-1598873.0,-18377.8506,0.6931
123,-1179563.0,-14562.5062,0.691
124,-1299359.0,-14437.3222,0.689
