episode,total_reward,avg_reward_per_decision,epsilon
1,-1054530.0,-15283.0435,0.997
2,-532863.0,-7722.6522,0.994
3,-847546.0,-12841.6061,0.991
4,-515140.0,-7465.7971,0.9881
5,-1185273.0,-18519.8906,0.9851
6,-580244.0,-9210.2222,0.9821
7,-753749.0,-10468.7361,0.9792
8,-512221.0,-7317.4429,0.9763
9,-652063.0,-8811.6622,0.9733
10,-533050.0,-7615.0,0.9704
11,-377586.0,-5172.411,0.9675
12,-2285412.0,-31307.0137,0.9646
13,-489038.0,-6269.7179,0.9617
14,-467161.0,-6146.8553,0.9588
15,-746286.0,-10974.7941,0.9559
16,-1056535.0,-15312.1014,0.9531
17,-640977.0,-9566.8209,0.9502
18,-443442.0,-6426.6957,0.9474
19,-372898.0,-5179.1389,0.9445
20,-2903641.0,-38205.8026,0.9417
21,-790195.0,-11620.5147,0.9389
22,-418923.0,-5900.3239,0.936
23,-987387.0,-13713.7083,0.9332
24,-500254.0,-7045.831,0.9304
25,-974826.0,-13173.3243,0.9276
26,-1658838.0,-23697.6857,0.9249
27,-657620.0,-9530.7246,0.9221
28,-520844.0,-7659.4706,0.9193
29,-441507.0,-6218.4085,0.9166
30,-463132.0,-6344.274,0.9138
31,-432751.0,-5694.0921,0.9111
32,-648977.0,-9271.1,0.9083
33,-597573.0,-8185.9315,0.9056
34,-563522.0,-8287.0882,0.9029
35,-960170.0,-14330.8955,0.9002
36,-599489.0,-8212.1781,0.8975
37,-696593.0,-9542.3699,0.8948
38,-812494.0,-11284.6389,0.8921
39,-983380.0,-13658.0556,0.8894
40,-2196425.0,-30088.0137,0.8868
41,-374450.0,-5200.6944,0.8841
42,-439461.0,-6020.0137,0.8814
43,-584108.0,-7893.3514,0.8788
44,-572096.0,-7429.8182,0.8762
45,-500929.0,-6505.5714,0.8735
46,-560692.0,-7787.3889,0.8709
47,-1176967.0,-16577.0,0.8683
48,-633607.0,-9051.5286,0.8657
49,-733843.0,-10483.4714,0.8631
50,-825440.0,-11005.8667,0.8605
51,-429012.0,-5571.5844,0.8579
52,-947690.0,-12806.6216,0.8554
53,-1174574.0,-15454.9211,0.8528
54,-564073.0,-8295.1912,0.8502
55,-517217.0,-6385.3951,0.8477
56,-425535.0,-5910.2083,0.8451
57,-851359.0,-11351.4533,0.8426
58,-778733.0,-10246.4868,0.8401
59,-570665.0,-7817.3288,0.8376
60,-624546.0,-8674.25,0.835
61,-409367.0,-5458.2267,0.8325
62,-1553399.0,-20991.8784,0.83
63,-608052.0,-8000.6842,0.8276
64,-387451.0,-5381.2639,0.8251
65,-2223050.0,-29250.6579,0.8226
66,-397696.0,-5848.4706,0.8201
67,-452597.0,-5802.5256,0.8177
68,-697167.0,-8714.5875,0.8152
69,-799097.0,-11254.8873,0.8128
70,-542295.0,-7328.3108,0.8103
71,-427511.0,-5213.5488,0.8079
72,-1598122.0,-21892.0822,0.8055
73,-809194.0,-10509.013,0.8031
74,-445233.0,-5708.1154,0.8006
75,-452954.0,-5733.5949,0.7982
76,-702821.0,-9370.9467,0.7959
77,-808822.0,-11233.6389,0.7935
78,-796352.0,-10908.9315,0.7911
79,-502876.0,-6795.6216,0.7887
80,-592660.0,-7408.25,0.7863
81,-539522.0,-7598.9014,0.784
82,-924019.0,-12000.2468,0.7816
83,-564036.0,-8174.4348,0.7793
84,-898186.0,-11664.7532,0.777
85,-581776.0,-7458.6667,0.7746
86,-610463.0,-8032.4079,0.7723
87,-917862.0,-11767.4615,0.77
88,-416721.0,-5631.3649,0.7677
89,-730390.0,-8907.1951,0.7654
90,-522934.0,-7262.9722,0.7631
91,-395447.0,-5135.6753,0.7608
92,-453162.0,-5885.2208,0.7585
93,-515197.0,-6778.9079,0.7562
94,-660325.0,-8688.4868,0.754
95,-1635063.0,-19939.7927,0.7517
96,-720809.0,-9361.1558,0.7494
97,-641101.0,-8435.5395,0.7472
98,-814923.0,-10315.481,0.7449
99,-514239.0,-6766.3026,0.7427
100,-667722.0,-8142.9512,0.7405
101,-576162.0,-7581.0789,0.7383
102,-609808.0,-7919.5844,0.736
103,-332787.0,-4497.1216,0.7338
104,-455224.0,-5989.7895,0.7316
105,-788590.0,-10110.1282,0.7294
106,-529307.0,-7057.4267,0.7273
107,-1771548.0,-23309.8421,0.7251
108,-716895.0,-9190.9615,0.7229
109,-782831.0,-11183.3,0.7207
110,-485671.0,-6147.7342,0.7186
111,-792198.0,-9902.475,0.7164
112,-830234.0,-10644.0256,0.7143
113,-500799.0,-6339.2278,0.7121
114,-533080.0,-6834.359,0.71
115,-1078133.0,-14185.9605,0.7079
116,-501668.0,-6600.8947,0.7057
117,-593155.0,-7508.2911,0.7036
118,-1015060.0,-12688.25,0.7015
