episode,total_reward,avg_reward_per_decision,epsilon
1,-708825.0,-10423.8971,0.997
2,-651560.0,-8804.8649,0.994
3,-1255492.0,-16519.6316,0.991
4,-1978667.0,-27481.4861,0.9881
5,-683854.0,-9367.863,0.9851
6,-416201.0,-5861.9859,0.9821
7,-408882.0,-5525.4324,0.9792
8,-533426.0,-7307.2055,0.9763
9,-653339.0,-9751.3284,0.9733
10,-428827.0,-6400.403,0.9704
11,-807966.0,-11068.0274,0.9675
12,-1643159.0,-22509.0274,0.9646
13,-959281.0,-12298.4744,0.9617
14,-525892.0,-7106.6486,0.9588
15,-499040.0,-7338.8235,0.9559
16,-414099.0,-5915.7,0.9531
17,-578083.0,-8028.9306,0.9502
18,-1417945.0,-18657.1711,0.9474
19,-452227.0,-6749.6567,0.9445
20,-611338.0,-8151.1733,0.9417
21,-361602.0,-5092.9859,0.9389
22,-737487.0,-10102.5616,0.936
23,-837252.0,-10734.0,0.9332
24,-579971.0,-7837.4459,0.9304
25,-494994.0,-6428.4935,0.9276
26,-819275.0,-11703.9286,0.9249
27,-559800.0,-7176.9231,0.9221
28,-1020309.0,-14370.5493,0.9193
29,-870285.0,-11760.6081,0.9166
30,-2595718.0,-35077.2703,0.9138
31,-652719.0,-8702.92,0.9111
32,-651361.0,-9578.8382,0.9083
33,-577095.0,-7798.5811,0.9056
34,-883289.0,-11622.2237,0.9029
35,-954443.0,-12725.9067,0.9002
36,-1277367.0,-16589.1818,0.8975
37,-753412.0,-10181.2432,0.8948
38,-1039418.0,-12832.321,0.8921
39,-1824545.0,-24993.7671,0.8894
40,-1193350.0,-16574.3056,0.8868
41,-600287.0,-8111.9865,0.8841
42,-542609.0,-7046.8701,0.8814
43,-724616.0,-9410.5974,0.8788
44,-671521.0,-9074.6081,0.8762
45,-1299331.0,-16447.2278,0.8735
46,-904181.0,-13495.2388,0.8709
47,-737557.0,-9578.6623,0.8683
48,-843068.0,-11548.8767,0.8657
49,-426003.0,-5680.04,0.8631
50,-412446.0,-5573.5946,0.8605
51,-1618893.0,-20492.3165,0.8579
52,-524586.0,-7388.5352,0.8554
53,-521766.0,-7348.8169,0.8528
54,-563018.0,-7608.3514,0.8502
55,-1901655.0,-26411.875,0.8477
56,-623853.0,-8318.04,0.8451
57,-1037393.0,-13831.9067,0.8426
58,-401423.0,-5081.3038,0.8401
59,-940396.0,-13245.0141,0.8376
60,-495424.0,-6605.6533,0.835
61,-881362.0,-10618.8193,0.8325
62,-630737.0,-9010.5286,0.83
63,-456759.0,-5931.9351,0.8276
64,-599759.0,-7891.5658,0.8251
65,-653469.0,-8067.5185,0.8226
66,-2018807.0,-26218.2727,0.8201
67,-377836.0,-5037.8133,0.8177
68,-458319.0,-5875.8846,0.8152
69,-1134656.0,-14008.0988,0.8128
70,-841224.0,-9781.6744,0.8103
71,-880669.0,-12063.9589,0.8079
72,-954946.0,-11789.4568,0.8055
73,-1606868.0,-20340.1013,0.8031
74,-2745468.0,-37100.9189,0.8006
75,-816356.0,-10466.1026,0.7982
76,-2546511.0,-32234.3165,0.7959
77,-589480.0,-8075.0685,0.7935
78,-455868.0,-5998.2632,0.7911
79,-937124.0,-12330.5789,0.7887
80,-446831.0,-6038.2568,0.7863
81,-2186948.0,-29958.1918,0.784
82,-923850.0,-11548.125,0.7816
83,-390666.0,-4823.037,0.7793
84,-965944.0,-12544.7273,0.777
85,-540972.0,-7410.5753,0.7746
86,-374463.0,-4680.7875,0.7723
87,-997640.0,-13301.8667,0.77
88,-345604.0,-4800.0556,0.7677
89,-1611927.0,-20665.7308,0.7654
90,-649738.0,-7828.1687,0.7631
91,-1872635.0,-24968.4667,0.7608
92,-574398.0,-6920.4578,0.7585
93,-479688.0,-6395.84,0.7562
94,-865058.0,-11090.4872,0.754
95,-456290.0,-6166.0811,0.7517
96,-483181.0,-5965.1975,0.7494
97,-390506.0,-5277.1081,0.7472
98,-496339.0,-6530.7763,0.7449
99,-465505.0,-5541.7262,0.7427
100,-1208440.0,-14216.9412,0.7405
101,-903781.0,-12213.2568,0.7383
102,-544356.0,-7258.08,0.736
103,-534007.0,-6935.1558,0.7338
104,-609937.0,-8025.4868,0.7316
105,-2388329.0,-28097.9882,0.7294
106,-540750.0,-7210.0,0.7273
107,-977355.0,-11775.3614,0.7251
108,-2587058.0,-30082.0698,0.7229
109,-913418.0,-10874.0238,0.7207
110,-1484291.0,-18324.5802,0.7186
111,-1198566.0,-15366.2308,0.7164
112,-709372.0,-9586.1081,0.7143
113,-1161681.0,-13200.9205,0.7121
114,-649033.0,-7915.0366,0.71
115,-855304.0,-10691.3,0.7079
116,-1494767.0,-18453.9136,0.7057
117,-1017139.0,-12108.7976,0.7036
118,-479508.0,-6393.44,0.7015
119,-462141.0,-6080.8026,0.6994
120,-1433162.0,-17477.5854,0.6973
121,-1573071.0,-18727.0357,0.6952
122,-816625.0,-9495.6395,0.6931
123,-648037.0,-8203.0,0.691
124,-1137253.0,-13071.8736,0.689
125,-454370.0,-5541.0976,0.6869
126,-1422535.0,-15805.9444,0.6848
127,-580086.0,-6988.988,0.6828
128,-587959.0,-6758.1494,0.6807
129,-864373.0,-10671.2716,0.6787
130,-393475.0,-4575.2907,0.6767
131,-641390.0,-8017.375,0.6746
132,-1127578.0,-12960.6667,0.6726
133,-852271.0,-10926.5513,0.6706
134,-461648.0,-4663.1111,0.6686
135,-398534.0,-4981.675,0.6666
136,-772295.0,-9901.2179,0.6646
137,-724857.0,-8053.9667,0.6626
138,-445115.0,-5298.9881,0.6606
139,-358587.0,-4597.2692,0.6586
140,-702050.0,-8259.4118,0.6566
141,-522563.0,-6372.7195,0.6547
142,-640818.0,-7539.0353,0.6527
143,-424843.0,-5118.5904,0.6507
144,-460783.0,-5688.679,0.6488
145,-365111.0,-4621.6582,0.6468
146,-448530.0,-5339.6429,0.6449
147,-586614.0,-7425.4937,0.643
148,-483622.0,-5373.5778,0.641
149,-638485.0,-7511.5882,0.6391
150,-405302.0,-4825.0238,0.6372
151,-621079.0,-7057.7159,0.6353
152,-414369.0,-4708.7386,0.6334
153,-1660821.0,-20253.9146,0.6315
154,-1081608.0,-13190.3415,0.6296
155,-1435897.0,-16133.6742,0.6277
156,-293214.0,-3759.1538,0.6258
157,-1250953.0,-14055.6517,0.6239
158,-314014.0,-3694.2824,0.6221
159,-472632.0,-5694.3614,0.6202
160,-478356.0,-5627.7176,0.6183
161,-1395891.0,-17233.2222,0.6165
162,-524735.0,-6399.2073,0.6146
163,-359798.0,-4441.9506,0.6128
164,-1320399.0,-16102.4268,0.611
165,-1493379.0,-19911.72,0.6091
166,-385440.0,-4700.4878,0.6073
167,-3541931.0,-43194.2805,0.6055
168,-397688.0,-4909.7284,0.6037
169,-744314.0,-8860.881,0.6018
170,-1105090.0,-13314.3373,0.6
171,-2148961.0,-24420.0114,0.5982
172,-673294.0,-8744.0779,0.5964
173,-1912283.0,-21730.4886,0.5947
174,-313564.0,-3523.191,0.5929
175,-386645.0,-4548.7647,0.5911
176,-380086.0,-4419.6047,0.5893
177,-314300.0,-3880.2469,0.5875
178,-1697581.0,-18451.9674,0.5858
179,-711152.0,-7565.4468,0.584
180,-1022562.0,-12320.0241,0.5823
181,-1161044.0,-14513.05,0.5805
182,-451747.0,-5314.6706,0.5788
183,-894890.0,-9833.956,0.5771
184,-416065.0,-5266.6456,0.5753
185,-875909.0,-10427.4881,0.5736
186,-508879.0,-5592.0769,0.5719
187,-1074804.0,-12213.6818,0.5702
188,-1112227.0,-13563.7439,0.5684
189,-779898.0,-9510.9512,0.5667
190,-2222431.0,-26776.2771,0.565
191,-896279.0,-9958.6556,0.5633
192,-666946.0,-6947.3542,0.5617
193,-1533548.0,-17230.8764,0.56
194,-354365.0,-4169.0,0.5583
195,-480570.0,-5588.0233,0.5566
196,-1024380.0,-12195.0,0.5549
197,-435706.0,-4685.0108,0.5533
198,-373859.0,-4673.2375,0.5516
199,-401351.0,-5145.5256,0.55
200,-458320.0,-5208.1818,0.5483
201,-1329654.0,-14773.9333,0.5467
202,-1377283.0,-16396.2262,0.545
203,-615595.0,-7158.0814,0.5434
204,-382458.0,-4297.2809,0.5418
205,-589876.0,-6939.7176,0.5401
206,-1568259.0,-19851.3797,0.5385
207,-810691.0,-8908.6923,0.5369
208,-2414205.0,-28740.5357,0.5353
209,-303349.0,-3527.314,0.5337
210,-1091000.0,-12540.2299,0.5321
211,-607355.0,-6393.2105,0.5305
212,-311163.0,-3175.1327,0.5289
213,-349574.0,-3841.4725,0.5273
214,-542261.0,-6025.1222,0.5257
215,-515774.0,-6447.175,0.5242
216,-651171.0,-7316.5281,0.5226
217,-407033.0,-5152.3165,0.521
218,-925849.0,-10063.5761,0.5195
219,-849985.0,-10624.8125,0.5179
220,-968726.0,-11671.3976,0.5163
221,-1311199.0,-13948.9255,0.5148
222,-3370567.0,-37039.1978,0.5132
223,-457630.0,-5028.9011,0.5117
224,-443871.0,-5222.0118,0.5102
225,-755995.0,-7793.7629,0.5086
226,-442849.0,-5032.375,0.5071
227,-1130383.0,-12286.7717,0.5056
228,-996729.0,-11456.6552,0.5041
229,-744879.0,-8096.5109,0.5026
230,-995602.0,-11712.9647,0.5011
231,-805343.0,-8753.7283,0.4996
232,-483770.0,-5625.2326,0.4981
233,-1601005.0,-18835.3529,0.4966
234,-552872.0,-6009.4783,0.4951
235,-1260601.0,-14658.1512,0.4936
236,-408862.0,-4699.5632,0.4921
237,-380333.0,-4003.5053,0.4906
238,-1764093.0,-17819.1212,0.4892
239,-1174990.0,-13352.1591,0.4877
240,-1086008.0,-12628.0,0.4862
241,-455601.0,-5177.2841,0.4848
242,-323664.0,-3720.2759,0.4833
243,-313382.0,-3521.1461,0.4819
244,-345381.0,-3795.3956,0.4804
245,-427844.0,-4551.5319,0.479
246,-297382.0,-3232.413,0.4775
247,-1058314.0,-12450.7529,0.4761
248,-662834.0,-7532.2045,0.4747
249,-668467.0,-7596.2159,0.4733
250,-1908246.0,-21202.7333,0.4718
251,-632229.0,-7024.7667,0.4704
252,-1741419.0,-20016.3103,0.469
253,-555947.0,-5672.9286,0.4676
254,-1353260.0,-14396.383,0.4662
255,-2095111.0,-22772.9457,0.4648
256,-1620897.0,-18212.3258,0.4634
257,-473541.0,-5381.1477,0.462
258,-328118.0,-3771.4713,0.4606
259,-498398.0,-5191.6458,0.4592
260,-3812380.0,-40130.3158,0.4579
261,-673078.0,-7316.0652,0.4565
262,-489127.0,-5822.9405,0.4551
263,-404532.0,-4303.5319,0.4538
264,-988664.0,-10517.7021,0.4524
265,-478844.0,-5441.4091,0.451
266,-1732112.0,-20620.381,0.4497
267,-1129068.0,-12977.7931,0.4483
268,-1365509.0,-14682.8925,0.447
269,-390961.0,-4493.8046,0.4457
270,-2228625.0,-23459.2105,0.4443
271,-296527.0,-2995.2222,0.443
272,-401355.0,-4410.4945,0.4417
273,-378560.0,-4160.0,0.4403
274,-732933.0,-7881.0,0.439
275,-521699.0,-5670.6413,0.4377
276,-282761.0,-3107.2637,0.4364
277,-730577.0,-9247.8101,0.4351
278,-422170.0,-4588.8043,0.4338
279,-444718.0,-4584.7216,0.4325
280,-784198.0,-8617.5604,0.4312
281,-376318.0,-4325.4943,0.4299
282,-491306.0,-5013.3265,0.4286
283,-969362.0,-10423.2473,0.4273
284,-873322.0,-9596.9451,0.426
285,-811300.0,-9658.3333,0.4247
286,-608078.0,-6756.4222,0.4235
287,-365528.0,-3888.5957,0.4222
288,-774316.0,-8700.1798,0.4209
289,-698681.0,-7277.9271,0.4197
290,-785003.0,-8263.1895,0.4184
291,-355300.0,-3947.7778,0.4171
292,-510709.0,-5803.5114,0.4159
293,-328848.0,-3536.0,0.4146
294,-1098244.0,-11322.1031,0.4134
295,-578758.0,-6808.9176,0.4122
296,-323794.0,-3519.5,0.4109
297,-391860.0,-4610.1176,0.4097
298,-1538947.0,-16199.4421,0.4085
299,-667091.0,-7096.7128,0.4072
300,-2159930.0,-22499.2708,0.406
301,-1754088.0,-20161.931,0.4048
302,-999532.0,-10747.6559,0.4036
303,-620376.0,-6670.7097,0.4024
304,-896916.0,-9342.875,0.4012
305,-301944.0,-3354.9333,0.4
306,-2513856.0,-25138.56,0.3988
307,-318786.0,-3503.1429,0.3976
308,-965146.0,-10267.5106,0.3964
309,-1216417.0,-12804.3895,0.3952
310,-1194947.0,-12712.2021,0.394
311,-608662.0,-6340.2292,0.3928
312,-499203.0,-5485.7473,0.3916
313,-300154.0,-3262.5435,0.3905
314,-394384.0,-4286.7826,0.3893
315,-355138.0,-3818.6882,0.3881
316,-1250810.0,-13449.5699,0.387
317,-1074094.0,-11426.5319,0.3858
318,-4212082.0,-41703.7822,0.3846
319,-351821.0,-3824.1413,0.3835
320,-313629.0,-3409.0109,0.3823
321,-282523.0,-2825.23,0.3812
322,-398657.0,-4582.2644,0.3801
323,-385047.0,-4185.2935,0.3789
324,-708309.0,-7783.6154,0.3778
325,-2219882.0,-24129.1522,0.3766
326,-1074700.0,-11312.6316,0.3755
327,-435393.0,-4947.6477,0.3744
328,-677505.0,-6984.5876,0.3733
329,-507260.0,-5339.5789,0.3721
330,-397195.0,-4565.4598,0.371
331,-298852.0,-3113.0417,0.3699
332,-559244.0,-5825.4583,0.3688
333,-383547.0,-4408.5862,0.3677
334,-519717.0,-5905.875,0.3666
335,-278596.0,-2842.8163,0.3655
336,-990346.0,-10535.5957,0.3644
337,-402154.0,-4371.2391,0.3633
338,-689652.0,-7183.875,0.3622
339,-305931.0,-3254.5851,0.3611
340,-709792.0,-7471.4947,0.36
341,-384025.0,-3840.25,0.359
342,-648622.0,-6686.8247,0.3579
343,-557133.0,-5743.6392,0.3568
344,-718092.0,-7180.92,0.3557
345,-752056.0,-7674.0408,0.3547
346,-816465.0,-7850.625,0.3536
347,-682599.0,-6627.1748,0.3525
348,-463829.0,-5211.5618,0.3515
349,-483749.0,-5258.1413,0.3504
350,-1061085.0,-10827.398,0.3494
351,-1152600.0,-11882.4742,0.3483
352,-635153.0,-6829.6022,0.3473
353,-1461854.0,-15387.9368,0.3463
354,-421153.0,-4679.4778,0.3452
355,-708621.0,-6813.6635,0.3442
356,-378649.0,-4071.4946,0.3431
357,-1191177.0,-13235.3,0.3421
358,-1344419.0,-13859.9897,0.3411
359,-300963.0,-3201.734,0.3401
360,-1222622.0,-12604.3505,0.339
361,-498505.0,-5192.7604,0.338
362,-3306534.0,-32417.0,0.337
363,-614016.0,-5961.3204,0.336
364,-405702.0,-3938.8544,0.335
365,-821532.0,-7976.0388,0.334
366,-280513.0,-2984.1809,0.333
367,-822746.0,-8570.2708,0.332
368,-673173.0,-7012.2188,0.331
369,-352951.0,-3676.5729,0.33
370,-263826.0,-2536.7885,0.329
371,-1737184.0,-17371.84,0.328
372,-379827.0,-3617.4,0.327
373,-1199876.0,-12369.8557,0.3261
374,-570855.0,-5596.6176,0.3251
375,-829721.0,-8921.7312,0.3241
376,-386268.0,-4065.9789,0.3231
377,-487120.0,-5127.5789,0.3222
378,-364202.0,-3833.7053,0.3212
379,-364041.0,-3872.7766,0.3202
380,-893472.0,-8934.72,0.3193
381,-751644.0,-6711.1071,0.3183
382,-416430.0,-4293.0928,0.3174
383,-913512.0,-9227.3939,0.3164
384,-1197035.0,-12091.2626,0.3155
385,-3265115.0,-32980.9596,0.3145
386,-359338.0,-3948.7692,0.3136
387,-1020773.0,-11217.2857,0.3126
388,-1504826.0,-15200.2626,0.3117
389,-459561.0,-4376.7714,0.3108
390,-1274146.0,-13412.0632,0.3098
391,-531663.0,-5778.9457,0.3089
392,-321864.0,-3388.0421,0.308
393,-449387.0,-4993.1889,0.307
394,-314903.0,-2943.0187,0.3061
395,-712598.0,-6918.4272,0.3052
396,-1688571.0,-17963.5213,0.3043
397,-1831306.0,-18131.7426,0.3034
398,-326781.0,-3671.6966,0.3025
399,-325935.0,-3542.7717,0.3016
400,-1208764.0,-12461.4845,0.3007
401,-443488.0,-4479.6768,0.2997
402,-286205.0,-3110.9239,0.2989
403,-1046007.0,-10565.7273,0.298
404,-281877.0,-3030.9355,0.2971
405,-627471.0,-6536.1562,0.2962
406,-1128193.0,-11875.7158,0.2953
407,-894639.0,-9036.7576,0.2944
408,-456419.0,-5128.3034,0.2935
409,-478057.0,-4467.8224,0.2926
410,-369418.0,-3731.4949,0.2918
411,-1143184.0,-11908.1667,0.2909
412,-321276.0,-3180.9505,0.29
413,-480255.0,-5396.1236,0.2891
414,-308407.0,-3316.2043,0.2883
415,-2134569.0,-21134.3465,0.2874
416,-444813.0,-4782.9355,0.2865
417,-289659.0,-3017.2812,0.2857
418,-1199328.0,-12758.8085,0.2848
419,-402188.0,-3867.1923,0.284
420,-1597319.0,-16992.7553,0.2831
421,-1746898.0,-16960.1748,0.2823
422,-396075.0,-4169.2105,0.2814
423,-766579.0,-7300.7524,0.2806
424,-1964477.0,-18889.2019,0.2797
425,-330321.0,-3551.8387,0.2789
426,-528469.0,-5682.4624,0.2781
427,-825437.0,-7936.8942,0.2772
428,-533544.0,-5737.0323,0.2764
429,-470392.0,-5285.3034,0.2756
430,-649639.0,-7138.8901,0.2747
431,-821852.0,-8743.1064,0.2739
432,-410805.0,-4235.1031,0.2731
433,-539590.0,-5506.0204,0.2723
434,-273640.0,-2736.4,0.2715
435,-487023.0,-5236.8065,0.2706
436,-1233161.0,-12331.61,0.2698
437,-625596.0,-5846.6916,0.269
438,-1506043.0,-14621.7767,0.2682
439,-1222146.0,-11751.4038,0.2674
440,-2521536.0,-24480.932,0.2666
441,-335244.0,-3528.8842,0.2658
442,-339402.0,-3171.9813,0.265
443,-438188.0,-4381.88,0.2642
444,-293547.0,-3026.2577,0.2634
445,-2539963.0,-23961.9151,0.2626
446,-788117.0,-7803.1386,0.2618
447,-505018.0,-5260.6042,0.2611
448,-833246.0,-8679.6458,0.2603
449,-641745.0,-6230.534,0.2595
450,-987709.0,-9497.2019,0.2587
451,-396291.0,-3847.4854,0.2579
452,-1291730.0,-12541.068,0.2572
453,-954094.0,-8834.2037,0.2564
454,-559456.0,-5228.5607,0.2556
455,-547865.0,-5072.8241,0.2549
456,-799326.0,-7612.6286,0.2541
457,-1453668.0,-13713.8491,0.2533
458,-468498.0,-4684.98,0.2526
459,-328571.0,-3458.6421,0.2518
460,-332811.0,-3361.7273,0.2511
461,-428252.0,-4325.7778,0.2503
462,-509811.0,-4592.8919,0.2496
463,-359615.0,-3669.5408,0.2488
464,-1164907.0,-11649.07,0.2481
465,-1090603.0,-10486.5673,0.2473
466,-286223.0,-2920.6429,0.2466
467,-780007.0,-7222.287,0.2458
468,-1258556.0,-11986.2476,0.2451
469,-875579.0,-9120.6146,0.2444
470,-1742906.0,-17968.1031,0.2436
471,-437818.0,-4467.5306,0.2429
472,-323807.0,-3372.9896,0.2422
473,-1116887.0,-10637.019,0.2414
474,-457826.0,-4488.4902,0.2407
475,-527556.0,-5172.1176,0.24
476,-598954.0,-6174.7835,0.2393
477,-368108.0,-3644.6337,0.2386
478,-405050.0,-4091.4141,0.2378
479,-3503107.0,-33683.7212,0.2371
480,-950052.0,-8962.7547,0.2364
481,-774869.0,-7826.9596,0.2357
482,-1028363.0,-10181.8119,0.235
