episode,total_reward,avg_reward_per_decision,epsilon
1,-107491.0,-1395.987,0.997
2,-119111.0,-1588.1467,0.994
3,-122034.0,-1564.5385,0.991
4,-133925.0,-1739.2857,0.9881
5,-128496.0,-1713.28,0.9851
6,-105312.0,-1316.4,0.9821
7,-109898.0,-1408.9487,0.9792
8,-107309.0,-1511.3944,0.9763
9,-115404.0,-1498.7532,0.9733
10,-111924.0,-1533.2055,0.9704
11,-108782.0,-1431.3421,0.9675
12,-126038.0,-1518.5301,0.9646
13,-106864.0,-1424.8533,0.9617
14,-112706.0,-1523.0541,0.9588
15,-98316.0,-1244.5063,0.9559
16,-111073.0,-1405.9873,0.9531
17,-123322.0,-1644.2933,0.9502
18,-103646.0,-1328.7949,0.9474
19,-120588.0,-1607.84,0.9445
20,-120345.0,-1626.2838,0.9417
21,-109320.0,-1438.4211,0.9389
22,-135374.0,-1692.175,0.936
23,-97858.0,-1193.3902,0.9332
24,-111519.0,-1448.2987,0.9304
25,-119771.0,-1555.4675,0.9276
26,-101017.0,-1262.7125,0.9249
27,-117869.0,-1437.4268,0.9221
28,-117419.0,-1449.6173,0.9193
29,-130803.0,-1635.0375,0.9166
30,-118281.0,-1536.1169,0.9138
31,-102462.0,-1249.5366,0.9111
32,-103233.0,-1290.4125,0.9083
33,-127388.0,-1592.35,0.9056
34,-103347.0,-1291.8375,0.9029
35,-119849.0,-1556.4805,0.9002
36,-107186.0,-1356.7848,0.8975
37,-108131.0,-1368.7468,0.8948
38,-131534.0,-1664.9873,0.8921
39,-115161.0,-1339.0814,0.8894
40,-99468.0,-1259.0886,0.8868
41,-95887.0,-1169.3537,0.8841
42,-108653.0,-1325.0366,0.8814
43,-110624.0,-1316.9524,0.8788
44,-109417.0,-1334.3537,0.8762
45,-116370.0,-1531.1842,0.8735
46,-115654.0,-1393.4217,0.8709
47,-115244.0,-1388.4819,0.8683
48,-108255.0,-1370.3165,0.8657
49,-110248.0,-1328.2892,0.8631
50,-115326.0,-1406.4146,0.8605
51,-129519.0,-1682.0649,0.8579
52,-111884.0,-1300.9767,0.8554
53,-117834.0,-1419.6867,0.8528
54,-116945.0,-1461.8125,0.8502
55,-108579.0,-1308.1807,0.8477
56,-99989.0,-1190.3452,0.8451
57,-105287.0,-1299.8395,0.8426
58,-111226.0,-1407.9241,0.8401
59,-90976.0,-1181.5065,0.8376
60,-110439.0,-1330.5904,0.835
61,-105552.0,-1256.5714,0.8325
62,-111084.0,-1338.3614,0.83
63,-114082.0,-1408.4198,0.8276
64,-109429.0,-1367.8625,0.8251
65,-118087.0,-1440.0854,0.8226
66,-110932.0,-1246.427,0.8201
67,-129392.0,-1597.4321,0.8177
68,-104403.0,-1200.0345,0.8152
69,-100713.0,-1184.8588,0.8128
70,-102883.0,-1169.125,0.8103
71,-93189.0,-1150.4815,0.8079
72,-102171.0,-1188.0349,0.8055
73,-104643.0,-1308.0375,0.8031
74,-101177.0,-1176.4767,0.8006
75,-113362.0,-1333.6706,0.7982
76,-112196.0,-1319.9529,0.7959
77,-103822.0,-1207.2326,0.7935
78,-108537.0,-1339.963,0.7911
79,-103655.0,-1233.9881,0.7887
80,-100297.0,-1194.0119,0.7863
81,-121399.0,-1395.3908,0.784
82,-109032.0,-1298.0,0.7816
83,-117484.0,-1415.4699,0.7793
84,-116353.0,-1352.9419,0.777
85,-103938.0,-1208.5814,0.7746
86,-112091.0,-1383.8395,0.7723
87,-107611.0,-1312.3293,0.77
88,-107969.0,-1255.4535,0.7677
89,-120944.0,-1457.1566,0.7654
90,-102716.0,-1237.5422,0.7631
91,-124338.0,-1397.0562,0.7608
92,-110189.0,-1394.7975,0.7585
93,-97453.0,-1133.1744,0.7562
94,-104480.0,-1173.9326,0.754
95,-115443.0,-1443.0375,0.7517
96,-103290.0,-1215.1765,0.7494
97,-111963.0,-1399.5375,0.7472
98,-102848.0,-1195.907,0.7449
99,-108809.0,-1250.6782,0.7427
100,-109059.0,-1239.3068,0.7405
101,-106551.0,-1268.4643,0.7383
102,-106415.0,-1251.9412,0.736
103,-86442.0,-960.4667,0.7338
104,-105464.0,-1270.6506,0.7316
105,-108413.0,-1322.1098,0.7294
106,-111340.0,-1279.7701,0.7273
107,-98231.0,-1129.092,0.7251
108,-94275.0,-1071.3068,0.7229
109,-120380.0,-1468.0488,0.7207
110,-107581.0,-1208.7753,0.7186
111,-108474.0,-1322.8537,0.7164
112,-129316.0,-1539.4762,0.7143
113,-105780.0,-1230.0,0.7121
114,-100611.0,-1197.75,0.71
115,-93188.0,-1035.4222,0.7079
116,-108436.0,-1260.8837,0.7057
117,-105258.0,-1299.4815,0.7036
118,-110076.0,-1196.4783,0.7015
119,-124938.0,-1487.3571,0.6994
120,-115074.0,-1307.6591,0.6973
121,-114438.0,-1412.8148,0.6952
122,-102162.0,-1216.2143,0.6931
123,-112395.0,-1459.6753,0.691
124,-96165.0,-1092.7841,0.689
125,-105405.0,-1285.4268,0.6869
126,-123583.0,-1471.2262,0.6848
127,-119656.0,-1329.5111,0.6828
128,-106534.0,-1145.5269,0.6807
129,-113528.0,-1351.5238,0.6787
130,-98587.0,-1071.5978,0.6767
131,-112665.0,-1310.0581,0.6746
132,-107584.0,-1156.8172,0.6726
133,-97658.0,-1109.75,0.6706
134,-107086.0,-1176.7692,0.6686
135,-89663.0,-985.3077,0.6666
136,-100674.0,-1144.0227,0.6646
137,-100143.0,-1065.3511,0.6626
138,-109816.0,-1206.7692,0.6606
139,-115235.0,-1355.7059,0.6586
140,-102830.0,-1130.0,0.6566
141,-123628.0,-1329.3333,0.6547
142,-114975.0,-1306.5341,0.6527
143,-111681.0,-1213.9239,0.6507
144,-104840.0,-1115.3191,0.6488
145,-106807.0,-1186.7444,0.6468
146,-110687.0,-1216.3407,0.6449
147,-103762.0,-1152.9111,0.643
148,-88327.0,-1015.2529,0.641
149,-99092.0,-1065.5054,0.6391
