episode,total_reward,avg_reward_per_decision,epsilon
1,-103636.0,-1328.6667,0.997
2,-106809.0,-1547.9565,0.994
3,-132247.0,-1889.2429,0.991
4,-105121.0,-1420.5541,0.9881
5,-94355.0,-1258.0667,0.9851
6,-111381.0,-1637.9559,0.9821
7,-109775.0,-1546.1268,0.9792
8,-117089.0,-1649.1408,0.9763
9,-95826.0,-1330.9167,0.9733
10,-105031.0,-1346.5513,0.9704
11,-97692.0,-1320.1622,0.9675
12,-118043.0,-1573.9067,0.9646
13,-127823.0,-1800.3239,0.9617
14,-107108.0,-1373.1795,0.9588
15,-102427.0,-1365.6933,0.9559
16,-87593.0,-1094.9125,0.9531
17,-119116.0,-1631.726,0.9502
18,-98582.0,-1314.4267,0.9474
19,-119003.0,-1545.4935,0.9445
20,-101684.0,-1287.1392,0.9417
21,-109658.0,-1481.8649,0.9389
22,-108406.0,-1426.3947,0.936
23,-113476.0,-1533.4595,0.9332
24,-112503.0,-1461.0779,0.9304
25,-114242.0,-1655.6812,0.9276
26,-106778.0,-1442.9459,0.9249
27,-134075.0,-1697.1519,0.9221
28,-110753.0,-1559.9014,0.9193
29,-103929.0,-1506.2174,0.9166
30,-91240.0,-1285.0704,0.9138
31,-107154.0,-1428.72,0.9111
32,-102632.0,-1425.4444,0.9083
33,-107176.0,-1391.8961,0.9056
34,-105241.0,-1315.5125,0.9029
35,-107639.0,-1494.9861,0.9002
36,-114995.0,-1493.4416,0.8975
37,-109672.0,-1482.0541,0.8948
38,-115777.0,-1523.3816,0.8921
39,-99959.0,-1388.3194,0.8894
40,-100434.0,-1321.5,0.8868
41,-120732.0,-1724.7429,0.8841
42,-136960.0,-1850.8108,0.8814
43,-142139.0,-1870.25,0.8788
44,-117555.0,-1610.3425,0.8762
45,-113234.0,-1397.9506,0.8735
46,-92875.0,-1190.7051,0.8709
47,-108526.0,-1307.5422,0.8683
48,-109687.0,-1388.443,0.8657
49,-100342.0,-1374.5479,0.8631
50,-87277.0,-1195.5753,0.8605
51,-106535.0,-1383.5714,0.8579
52,-91479.0,-1143.4875,0.8554
53,-128260.0,-1687.6316,0.8528
54,-120090.0,-1622.8378,0.8502
55,-110404.0,-1380.05,0.8477
56,-101004.0,-1231.7561,0.8451
57,-105304.0,-1350.0513,0.8426
58,-113012.0,-1412.65,0.8401
59,-96608.0,-1271.1579,0.8376
60,-104146.0,-1407.3784,0.835
61,-116600.0,-1457.5,0.8325
62,-107175.0,-1339.6875,0.83
63,-114109.0,-1481.9351,0.8276
64,-102362.0,-1263.7284,0.8251
65,-107654.0,-1398.1039,0.8226
66,-113595.0,-1646.3043,0.8201
67,-102361.0,-1383.2568,0.8177
68,-102431.0,-1384.2027,0.8152
69,-96170.0,-1265.3947,0.8128
70,-108639.0,-1324.8659,0.8103
71,-105659.0,-1427.8243,0.8079
72,-112730.0,-1426.962,0.8055
73,-117410.0,-1486.2025,0.8031
74,-94763.0,-1169.9136,0.8006
75,-100838.0,-1260.475,0.7982
76,-103325.0,-1396.2838,0.7959
77,-100454.0,-1271.5696,0.7935
78,-102311.0,-1263.0988,0.7911
79,-106170.0,-1166.7033,0.7887
80,-132080.0,-1572.381,0.7863
81,-120232.0,-1561.4545,0.784
82,-111949.0,-1417.0759,0.7816
83,-99681.0,-1215.622,0.7793
84,-99949.0,-1135.7841,0.777
85,-105542.0,-1302.9877,0.7746
86,-106312.0,-1380.6753,0.7723
87,-95482.0,-1256.3421,0.77
88,-124303.0,-1534.6049,0.7677
89,-102302.0,-1328.5974,0.7654
90,-106068.0,-1325.85,0.7631
91,-90286.0,-1025.9773,0.7608
92,-114002.0,-1373.5181,0.7585
93,-91910.0,-1242.027,0.7562
